train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
0.99519229	0.875	0.99981502	0.96527778	0.06229318	0.28758949	0.75261781	11.0	1.0	2.0	10.0	125.3703661	311.0	0.0	1.0
0.90865386	0.875	0.97752497	0.97916667	0.22491302	0.25645781	0.75261781	10.0	2.0	1.0	11.0	156.67192292	71.0	1.0	1.0
0.89473683	0.73913044	0.96628184	0.79545455	0.27502648	0.53893867	0.47727273	9.0	3.0	3.0	8.0	187.66213012	29.0	2.0	1.0
0.94258374	0.9130435	0.9899212	0.9469697	0.184898	0.27592406	0.82575758	11.0	1.0	1.0	10.0	221.69199705	119.0	3.0	1.0
0.94258374	0.9130435	0.99084081	0.96212121	0.17536842	0.2751919	0.82575758	10.0	1.0	1.0	11.0	255.9525733	130.0	4.0	1.0
0.93779904	0.95652175	0.98378824	1.0	0.19726588	0.16881	0.91605722	10.0	1.0	0.0	12.0	287.69668007	106.0	5.0	1.0
0.87081337	0.95652175	0.96821762	0.93939394	0.27322491	0.33949854	0.91605722	10.0	1.0	0.0	12.0	336.18373895	38.0	6.0	1.0
1.0	0.9130435	1.0	0.98484848	0.03890393	0.18662957	0.82575758	10.0	1.0	1.0	11.0	380.23676038	457.0	7.0	1.0
0.91387558	0.78260869	0.98003297	0.91666667	0.2248602	0.39930506	0.58930667	10.0	1.0	4.0	8.0	413.1550436	71.0	8.0	1.0
0.9665072	0.82608694	0.99258106	0.9469697	0.15296625	0.30734335	0.6992059	11.0	0.0	4.0	8.0	447.88599443	195.0	9.0	1.0
0.94711536	0.91666669	0.99176841	0.97222222	0.15941495	0.23806318	0.84515425	12.0	0.0	2.0	10.0	482.27712822	136.0	0.0	2.0
0.87019229	0.83333331	0.95421754	0.86805556	0.31262823	0.48809032	0.70710678	12.0	0.0	4.0	8.0	514.54505754	19.0	1.0	2.0
1.0	1.0	1.0	1.0	0.03422854	0.05310609	1.0	12.0	0.0	0.0	11.0	565.13021469	500.0	2.0	2.0
0.97129184	0.82608694	0.99404435	0.93181818	0.1351942	0.39248683	0.66414149	9.0	3.0	1.0	10.0	600.14787102	165.0	3.0	2.0
0.92344499	0.86956519	0.98708555	0.93181818	0.20742864	0.31450681	0.74047959	9.0	2.0	1.0	11.0	632.61605954	100.0	4.0	2.0
0.88516748	0.82608694	0.96748489	0.88636364	0.2896379	0.4250969	0.65909298	8.0	3.0	1.0	11.0	663.33421826	38.0	5.0	2.0
0.98086125	0.9130435	0.99899249	0.95454545	0.08397698	0.24287812	0.83971912	11.0	0.0	2.0	10.0	705.63546014	274.0	6.0	2.0
1.0	1.0	1.0	1.0	0.03520275	0.05673795	1.0	11.0	0.0	0.0	12.0	757.27506614	500.0	7.0	2.0
0.93779904	0.86956519	0.98818465	0.9469697	0.20198026	0.34174615	0.76277007	8.0	3.0	0.0	12.0	792.23340678	106.0	8.0	2.0
0.97129184	0.82608694	0.99578677	0.9469697	0.12634634	0.35705422	0.66414149	10.0	1.0	3.0	9.0	830.50032902	200.0	9.0	2.0
0.86538464	0.875	0.95958195	0.92361111	0.30845482	0.36453235	0.77459667	9.0	3.0	0.0	12.0	861.92671752	22.0	0.0	3.0
1.0	0.95833331	1.0	0.98611111	0.05285171	0.13779007	0.91986621	11.0	1.0	0.0	12.0	909.11616421	404.0	1.0	3.0
0.94736844	0.78260869	0.98964633	0.92424242	0.19177148	0.40834918	0.56818182	9.0	3.0	2.0	9.0	947.20523	144.0	2.0	3.0
0.93301433	0.86956519	0.98350742	0.96212121	0.19511983	0.271819	0.74047959	11.0	1.0	2.0	9.0	981.6931746	87.0	3.0	3.0
0.95693779	0.9130435	0.99221469	0.88636364	0.15255791	0.39268811	0.83971912	11.0	0.0	2.0	10.0	1020.21687388	165.0	4.0	3.0
0.94258374	0.86956519	0.98736032	0.98484848	0.18425259	0.22306785	0.76277007	8.0	3.0	0.0	12.0	1054.26937962	110.0	5.0	3.0
0.98086125	0.82608694	0.99422971	0.93939394	0.13202965	0.35673528	0.6992059	11.0	0.0	4.0	8.0	1092.43245673	198.0	6.0	3.0
0.90909094	0.78260869	0.97270562	0.87878788	0.25688522	0.43800645	0.58930667	10.0	1.0	4.0	8.0	1125.50693226	48.0	7.0	3.0
0.98564595	0.86956519	0.99844294	0.95454545	0.09077937	0.27717066	0.74242424	10.0	1.0	2.0	10.0	1166.32901978	245.0	8.0	3.0
0.93779904	0.95652175	0.991024	0.96212121	0.18168233	0.25858399	0.91666667	11.0	0.0	1.0	11.0	1203.30193233	127.0	9.0	3.0
0.89903843	0.79166669	0.97012579	0.83333333	0.25518729	0.48681923	0.58536941	10.0	2.0	3.0	9.0	1236.54350352	36.0	0.0	4.0
0.96634614	0.95833331	0.99324824	0.98611111	0.15308167	0.19029778	0.91986621	12.0	0.0	1.0	11.0	1273.43991613	146.0	1.0	4.0
0.94258374	0.86956519	0.98772219	0.93939394	0.18792737	0.2659887	0.74047959	11.0	1.0	2.0	9.0	1307.32353425	110.0	2.0	4.0
0.89473683	0.9130435	0.97003848	0.9469697	0.2802833	0.38198092	0.82575758	11.0	1.0	1.0	10.0	1340.80096698	40.0	3.0	4.0
1.0	0.95652175	1.0	1.0	0.0369327	0.0785144	0.91666667	11.0	0.0	1.0	11.0	1395.22374368	500.0	4.0	4.0
0.94258374	0.86956519	0.98919216	0.96969697	0.17813649	0.30565743	0.76764947	11.0	0.0	3.0	9.0	1432.88348961	121.0	5.0	4.0
0.97607654	0.82608694	0.99688588	0.93181818	0.12074552	0.40666609	0.65151515	9.0	2.0	2.0	10.0	1471.96464753	181.0	6.0	4.0
0.89473683	0.86956519	0.97499542	0.93181818	0.23698799	0.33854497	0.74242424	10.0	1.0	2.0	10.0	1507.88296723	47.0	7.0	4.0
1.0	0.82608694	1.0	0.95454545	0.03718191	0.24556103	0.65151515	9.0	2.0	2.0	10.0	1560.69123793	500.0	8.0	4.0
1.0	0.9130435	1.0	0.93939394	0.04488667	0.27250303	0.82575758	10.0	1.0	1.0	11.0	1615.48753643	500.0	9.0	4.0
0.99519229	0.875	0.99916759	0.95833333	0.07039091	0.27695316	0.75261781	11.0	1.0	2.0	10.0	1661.17489266	288.0	0.0	5.0
0.87980771	0.79166669	0.96753607	0.86805556	0.29223138	0.45473319	0.60246408	11.0	1.0	4.0	8.0	1694.45356011	20.0	1.0	5.0
0.99043059	0.95652175	0.99844237	0.99242424	0.09212302	0.10906956	0.91605722	12.0	0.0	1.0	10.0	1737.51140666	283.0	2.0	5.0
1.0	0.9130435	1.0	0.97727273	0.03053147	0.16904588	0.82575758	11.0	1.0	1.0	10.0	1791.73222995	500.0	3.0	5.0
0.97129184	0.82608694	0.99313061	0.95454545	0.15788814	0.31916015	0.65151515	9.0	2.0	2.0	10.0	1833.59312487	183.0	4.0	5.0
0.99043059	0.9130435	0.99853453	0.9469697	0.08734264	0.27168056	0.83971912	11.0	0.0	2.0	10.0	1878.90867591	278.0	5.0	5.0
0.87081337	0.86956519	0.96913354	0.86363636	0.29297921	0.43842767	0.74047959	9.0	2.0	1.0	11.0	1914.89629388	30.0	6.0	5.0
0.9952153	0.9130435	0.99917567	0.97727273	0.0766691	0.17924305	0.83971912	11.0	0.0	2.0	10.0	1964.06113696	366.0	7.0	5.0
0.99043059	0.9130435	0.99706906	0.93939394	0.09688667	0.40920601	0.83743579	9.0	2.0	0.0	12.0	2006.67989254	229.0	8.0	5.0
0.87081337	0.82608694	0.95594431	0.92424242	0.31075998	0.36635505	0.66414149	10.0	1.0	3.0	9.0	2041.72109962	23.0	9.0	5.0
0.92788464	0.83333331	0.98751387	0.90972222	0.21654724	0.44100199	0.6761234	9.0	3.0	1.0	11.0	2081.11150861	68.0	0.0	6.0
0.92788464	0.83333331	0.98890122	0.96527778	0.1824979	0.35239124	0.6761234	11.0	1.0	3.0	9.0	2120.46081662	98.0	1.0	6.0
1.0	0.9130435	1.0	0.99242424	0.03388095	0.17439662	0.83971912	10.0	2.0	0.0	11.0	2178.86298347	500.0	2.0	6.0
1.0	0.9130435	1.0	0.96969697	0.04233831	0.18997105	0.82575758	11.0	1.0	1.0	10.0	2236.72325873	500.0	3.0	6.0
0.90909094	0.86956519	0.9740795	0.95454545	0.25103715	0.3055799	0.74242424	10.0	1.0	2.0	10.0	2274.77835846	61.0	4.0	6.0
0.93779904	0.82608694	0.98433779	0.91666667	0.20230513	0.34147186	0.65909298	8.0	3.0	1.0	11.0	2314.07678628	102.0	5.0	6.0
0.91866028	0.82608694	0.98287232	0.9469697	0.21366638	0.31507931	0.65151515	9.0	2.0	2.0	10.0	2350.27704787	81.0	6.0	6.0
