train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
0.9074074	0.84615386	0.95026834	0.925	0.30588394	0.35758954	0.69282032	8.0	0.0	2.0	3.0	54.18858957	22.0	0.0	1.0
0.95412844	0.91666669	0.97937063	0.84375	0.21759798	0.33542678	0.81649658	8.0	0.0	1.0	3.0	75.92173338	62.0	1.0	1.0
0.98165137	0.91666669	1.0	0.96875	0.10831088	0.32500026	0.83666003	7.0	1.0	0.0	4.0	100.09487319	149.0	2.0	1.0
0.95412844	0.75	0.98661029	0.82857143	0.2015644	0.63741046	0.52915026	7.0	0.0	3.0	2.0	134.48516536	61.0	3.0	1.0
0.91743118	0.75	0.95278365	0.8	0.29778921	0.53731316	0.47809144	6.0	1.0	2.0	3.0	154.8068614	29.0	4.0	1.0
1.0	0.83333331	1.0	1.0	0.01664996	0.21888983	0.68313005	7.0	0.0	2.0	3.0	187.78829551	500.0	5.0	1.0
0.89908254	0.75	0.92142354	0.71428571	0.37143233	0.55101079	0.52915026	7.0	0.0	3.0	2.0	208.80971479	16.0	6.0	1.0
0.94495416	0.75	0.96652572	1.0	0.26023224	0.40088785	0.5976143	4.0	3.0	0.0	5.0	231.41259432	35.0	7.0	1.0
1.0	0.83333331	1.0	1.0	0.02757245	0.26876691	0.71428571	5.0	2.0	0.0	5.0	258.55452776	326.0	8.0	1.0
0.88073397	0.83333331	0.92635659	0.85714286	0.36736806	0.40333465	0.71428571	5.0	2.0	0.0	5.0	278.67803049	15.0	9.0	1.0
0.9537037	0.92307693	0.98962433	1.0	0.18868679	0.28805611	0.84327404	8.0	0.0	1.0	4.0	302.62759733	94.0	0.0	2.0
0.95412844	0.91666669	0.99370629	0.84375	0.1743597	0.39735189	0.81649658	8.0	0.0	1.0	3.0	325.12935448	60.0	1.0	2.0
0.89908254	0.66666669	0.92237762	0.875	0.36332272	0.54499477	0.15811388	7.0	1.0	3.0	1.0	347.35736299	14.0	2.0	2.0
0.88990825	0.75	0.93551797	0.82857143	0.33489044	0.50737685	0.47809144	6.0	1.0	2.0	3.0	370.20488095	16.0	3.0	2.0
0.93577981	0.83333331	0.98661029	0.91428571	0.20626127	0.41218308	0.71428571	5.0	2.0	0.0	5.0	394.99116826	58.0	4.0	2.0
0.92660552	0.83333331	0.95348837	0.77142857	0.29939366	0.45371673	0.68313005	7.0	0.0	2.0	3.0	414.73498178	26.0	5.0	2.0
0.98165137	0.91666669	0.99682875	1.0	0.14738064	0.22500515	0.84515425	6.0	1.0	0.0	5.0	444.65782976	142.0	6.0	2.0
1.0	1.0	1.0	1.0	0.01765676	0.02875445	1.0	7.0	0.0	0.0	5.0	475.2593267	500.0	7.0	2.0
1.0	0.91666669	1.0	1.0	0.02102241	0.13885774	0.83666003	7.0	0.0	1.0	4.0	507.26118517	500.0	8.0	2.0
0.81651378	0.41666666	0.92212826	0.37142857	0.40014598	1.07652724	-0.16903085	3.0	4.0	3.0	2.0	531.47851062	6.0	9.0	2.0
0.96296299	0.92307693	0.98747764	0.925	0.20076878	0.26608515	0.84327404	8.0	0.0	1.0	4.0	553.94600558	71.0	0.0	3.0
0.99082571	0.91666669	0.99825175	0.75	0.12327655	0.39749315	0.81649658	8.0	0.0	1.0	3.0	577.81394458	130.0	1.0	3.0
0.83486241	0.66666669	0.90944056	0.65625	0.43477236	0.76665419	0.15811388	7.0	1.0	3.0	1.0	603.53773069	6.0	2.0	3.0
1.0	0.75	1.0	0.94285714	0.06297798	0.32211354	0.47809144	6.0	1.0	2.0	3.0	635.45769382	263.0	3.0	3.0
0.85321099	0.41666666	0.90028189	0.51428571	0.40591489	0.75163537	-0.16903085	3.0	4.0	3.0	2.0	657.44184232	8.0	4.0	3.0
0.97247708	0.91666669	0.99577167	0.97142857	0.16540861	0.27685568	0.83666003	7.0	0.0	1.0	4.0	681.60380626	81.0	5.0	3.0
0.96330273	0.91666669	0.98766737	0.91428571	0.17235137	0.47616425	0.83666003	7.0	0.0	1.0	4.0	704.78676033	68.0	6.0	3.0
0.98165137	0.83333331	0.99330514	0.91428571	0.1678036	0.38309261	0.71428571	5.0	2.0	0.0	5.0	729.85720873	91.0	7.0	3.0
0.94495416	0.83333331	0.97709655	0.94285714	0.24253271	0.34392297	0.68313005	7.0	0.0	2.0	3.0	758.76883864	41.0	8.0	3.0
0.94495416	0.83333331	0.98273432	0.91428571	0.22206067	0.3415961	0.65714286	6.0	1.0	1.0	4.0	784.74307466	54.0	9.0	3.0
0.81481481	0.69230771	0.8980322	0.7	0.42455402	0.65732181	0.41475753	5.0	3.0	1.0	4.0	808.52438092	9.0	0.0	4.0
1.0	0.83333331	1.0	0.90625	0.06246126	0.3654542	0.625	7.0	1.0	1.0	3.0	838.56224418	245.0	1.0	4.0
0.98165137	0.91666669	0.99965035	1.0	0.126395	0.24239182	0.81649658	8.0	0.0	1.0	3.0	867.50504494	124.0	2.0	4.0
0.91743118	0.75	0.95278365	0.74285714	0.30129361	0.6687209	0.50709255	5.0	2.0	1.0	4.0	893.56631207	25.0	3.0	4.0
0.98165137	0.83333331	0.99964764	0.94285714	0.11199039	0.29893419	0.65714286	6.0	1.0	1.0	4.0	922.87414503	131.0	4.0	4.0
0.95412844	0.83333331	0.96335447	0.85714286	0.24609925	0.52169228	0.65714286	6.0	1.0	1.0	4.0	953.85556746	48.0	5.0	4.0
1.0	0.83333331	1.0	0.91428571	0.01538989	0.30139467	0.65714286	6.0	1.0	1.0	4.0	989.9666574	471.0	6.0	4.0
0.96330273	0.83333331	0.98238196	0.8	0.21100367	0.60498554	0.68313005	7.0	0.0	2.0	3.0	1014.14213848	58.0	7.0	4.0
0.90825689	0.66666669	0.96300211	0.82857143	0.28204084	0.47625914	0.29277002	6.0	1.0	3.0	2.0	1038.27874088	31.0	8.0	4.0
0.97247708	0.91666669	0.99718111	0.97142857	0.16048218	0.33774439	0.84515425	6.0	1.0	0.0	5.0	1063.49863386	114.0	9.0	4.0
0.99074072	0.76923078	1.0	0.8	0.10579333	0.46837851	0.50069396	7.0	1.0	2.0	3.0	1094.76888967	174.0	0.0	5.0
0.98165137	0.75	0.9972028	0.75	0.14074133	0.50241023	0.40824829	7.0	1.0	2.0	2.0	1121.73761344	110.0	1.0	5.0
0.86238533	0.66666669	0.92342657	0.75	0.37649643	0.5888465	0.25	6.0	2.0	2.0	2.0	1145.56820965	13.0	2.0	5.0
1.0	0.91666669	1.0	1.0	0.01589112	0.16433965	0.84515425	6.0	1.0	0.0	5.0	1185.64226913	500.0	3.0	5.0
0.99082571	0.91666669	1.0	0.97142857	0.07556032	0.28354144	0.83666003	7.0	0.0	1.0	4.0	1218.35070801	229.0	4.0	5.0
0.95412844	0.75	0.9820296	0.85714286	0.1926376	0.54470485	0.47809144	6.0	1.0	2.0	3.0	1245.78416729	83.0	5.0	5.0
0.92660552	0.66666669	0.98062016	0.77142857	0.22033328	0.69448996	0.29277002	6.0	1.0	3.0	2.0	1275.75651598	56.0	6.0	5.0
0.93577981	0.91666669	0.98801973	0.97142857	0.21968729	0.23925185	0.84515425	6.0	1.0	0.0	5.0	1302.02327204	55.0	7.0	5.0
0.98165137	0.83333331	0.99859056	0.94285714	0.13644624	0.38765064	0.68313005	7.0	0.0	2.0	3.0	1328.1647644	94.0	8.0	5.0
0.82568806	0.75	0.89464412	0.85714286	0.42073559	0.52604216	0.50709255	5.0	2.0	1.0	4.0	1353.89233875	14.0	9.0	5.0
1.0	0.92307693	1.0	0.975	0.07532117	0.19913299	0.85391256	7.0	1.0	0.0	5.0	1386.96700311	208.0	0.0	6.0
0.95412844	0.75	0.98461538	0.75	0.19508594	0.52421588	0.40824829	7.0	1.0	2.0	2.0	1415.53307509	64.0	1.0	6.0
0.86238533	0.66666669	0.91888112	0.8125	0.37049065	0.59281284	0.35355339	5.0	3.0	1.0	3.0	1443.62846828	12.0	2.0	6.0
0.87155962	0.75	0.93058492	0.88571429	0.36154839	0.44213858	0.47809144	6.0	1.0	2.0	3.0	1467.49249625	15.0	3.0	6.0
0.94495416	0.83333331	0.98942918	0.94285714	0.18999663	0.33408177	0.65714286	6.0	1.0	1.0	4.0	1495.0725677	68.0	4.0	6.0
0.94495416	0.75	0.98625793	0.82857143	0.20750166	0.53643793	0.52915026	7.0	0.0	3.0	2.0	1522.37615657	65.0	5.0	6.0
0.81651378	0.75	0.89816772	0.71428571	0.42862096	0.64907825	0.50709255	5.0	2.0	1.0	4.0	1546.3232379	8.0	6.0	6.0
0.96330273	0.91666669	0.9820296	0.88571429	0.20719958	0.31878296	0.83666003	7.0	0.0	1.0	4.0	1571.86220288	61.0	7.0	6.0
0.99082571	0.83333331	0.9982382	0.85714286	0.13546377	0.45946372	0.65714286	6.0	1.0	1.0	4.0	1606.03629732	86.0	8.0	6.0
0.94495416	0.83333331	0.9820296	0.85714286	0.20476039	0.43166327	0.68313005	7.0	0.0	2.0	3.0	1633.09379363	55.0	9.0	6.0
0.7962963	0.69230771	0.89051878	0.7	0.43262396	0.66036481	0.31754265	7.0	1.0	3.0	2.0	1659.57104611	8.0	0.0	7.0
0.97247708	0.83333331	0.98846154	0.875	0.1787885	0.45413199	0.63245553	8.0	0.0	2.0	2.0	1687.76338005	79.0	1.0	7.0
0.92660552	0.83333331	0.9472028	0.8125	0.30104357	0.46521401	0.625	7.0	1.0	1.0	3.0	1717.99646449	26.0	2.0	7.0
0.8440367	0.83333331	0.9119098	0.88571429	0.3879817	0.46605667	0.71428571	5.0	2.0	0.0	5.0	1749.93783593	14.0	3.0	7.0
0.95412844	0.91666669	0.9837914	0.94285714	0.20408627	0.33829203	0.83666003	7.0	0.0	1.0	4.0	1780.03372598	53.0	4.0	7.0
0.86238533	0.75	0.92107118	0.85714286	0.38389719	0.47387636	0.50709255	5.0	2.0	1.0	4.0	1805.48108077	17.0	5.0	7.0
0.98165137	0.66666669	0.99400987	0.82857143	0.15078921	0.57653362	0.37142857	4.0	3.0	1.0	4.0	1836.16549706	91.0	6.0	7.0
0.96330273	0.75	0.99224806	0.91428571	0.16798067	0.36123982	0.47809144	6.0	1.0	2.0	3.0	1865.67109776	90.0	7.0	7.0
0.98165137	0.75	0.99365751	0.85714286	0.18221741	0.44861427	0.47809144	6.0	1.0	2.0	3.0	1895.4164753	94.0	8.0	7.0
