train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
0.9191919	0.81818181	0.98627002	0.83333333	0.18094669	0.38171855	0.38888889	8.0	1.0	1.0	1.0	42.60275555	41.0	0.0	1.0
0.97979796	0.72727275	0.99771167	0.88888889	0.10896557	0.36824086	-0.1490712	8.0	1.0	2.0	0.0	60.90996313	75.0	1.0	1.0
0.92929292	0.81818181	0.97597254	0.88888889	0.19239515	0.2770054	0.38888889	8.0	1.0	1.0	1.0	79.11040998	48.0	2.0	1.0
0.969697	0.90909094	0.98855835	1.0	0.14194671	0.11915013	0.67082039	9.0	0.0	1.0	1.0	96.77107406	72.0	3.0	1.0
1.0	0.81818181	1.0	0.88888889	0.06136336	0.24533185	0.38888889	8.0	1.0	1.0	1.0	118.57507849	286.0	4.0	1.0
0.969697	0.81818181	0.99704841	0.95833333	0.11887986	0.20158033	0.54166667	7.0	1.0	1.0	2.0	137.45434761	101.0	5.0	1.0
0.98989898	0.81818181	1.0	0.91666667	0.07301388	0.44092882	0.51639778	8.0	0.0	2.0	1.0	157.38410473	151.0	6.0	1.0
0.97979796	0.90909094	0.99704841	0.95833333	0.13224004	0.22303109	0.76980036	8.0	0.0	1.0	2.0	174.53192759	74.0	7.0	1.0
0.92929292	0.90909094	0.97343566	0.70833333	0.2519311	0.60412067	0.76980036	8.0	0.0	1.0	2.0	190.69023466	15.0	8.0	1.0
0.95959598	0.90909094	0.99527745	1.0	0.13217539	0.17219903	0.76980036	8.0	0.0	1.0	2.0	208.36945987	75.0	9.0	1.0
0.97979796	0.81818181	0.99713959	0.88888889	0.10611001	0.28719035	0.38888889	8.0	1.0	1.0	1.0	228.93509173	92.0	0.0	2.0
0.97979796	0.81818181	0.99599542	0.94444444	0.11499976	0.26057869	0.38888889	8.0	1.0	1.0	1.0	247.37820959	110.0	1.0	2.0
1.0	0.81818181	1.0	0.94444444	0.04790269	0.22346705	0.38888889	8.0	1.0	1.0	1.0	269.05114532	251.0	2.0	2.0
0.94949496	0.81818181	0.98913043	0.94444444	0.15159384	0.29794806	0.0	9.0	0.0	2.0	0.0	286.5089314	63.0	3.0	2.0
1.0	1.0	1.0	1.0	0.05505859	0.15178691	1.0	9.0	0.0	0.0	2.0	307.91261721	209.0	4.0	2.0
0.969697	0.90909094	0.99409681	1.0	0.13642473	0.17146741	0.81009259	7.0	1.0	0.0	3.0	325.74393797	66.0	5.0	2.0
0.90909094	0.81818181	0.98760331	1.0	0.17955652	0.29376522	0.51639778	8.0	0.0	2.0	1.0	348.54106164	45.0	6.0	2.0
0.90909094	0.81818181	0.97874852	0.83333333	0.20221163	0.60337257	0.51639778	8.0	0.0	2.0	1.0	365.48512983	40.0	7.0	2.0
0.90909094	0.81818181	0.96458087	0.70833333	0.2459371	0.52241749	0.51639778	8.0	0.0	2.0	1.0	382.46374679	20.0	8.0	2.0
0.95959598	0.72727275	0.99173554	0.875	0.12933281	0.36735681	0.24056261	7.0	1.0	2.0	1.0	401.3864584	77.0	9.0	2.0
0.97979796	0.81818181	0.99771167	0.88888889	0.09687523	0.33674002	0.38888889	8.0	1.0	1.0	1.0	420.71043563	112.0	0.0	3.0
1.0	1.0	1.0	1.0	0.01258899	0.06639899	1.0	9.0	0.0	0.0	2.0	448.66064501	500.0	1.0	3.0
0.90909094	0.81818181	0.95995423	0.61111111	0.26835791	0.46071261	0.0	9.0	0.0	2.0	0.0	467.21135926	20.0	2.0	3.0
0.92929292	0.81818181	0.9708238	0.88888889	0.21947184	0.31459367	0.0	9.0	0.0	2.0	0.0	488.01251292	30.0	3.0	3.0
0.89898992	0.81818181	0.98455378	0.61111111	0.25949794	0.45141488	0.38888889	8.0	1.0	1.0	1.0	507.645154	21.0	4.0	3.0
0.97979796	0.81818181	0.99940968	1.0	0.07231201	0.27645439	0.51639778	8.0	0.0	2.0	1.0	532.45061612	153.0	5.0	3.0
0.97979796	0.90909094	0.99881936	0.95833333	0.08252472	0.21694408	0.76980036	8.0	0.0	1.0	2.0	554.18884397	147.0	6.0	3.0
0.97979796	0.81818181	0.99940968	1.0	0.10104788	0.20911533	0.51639778	8.0	0.0	2.0	1.0	574.4768579	126.0	7.0	3.0
1.0	0.81818181	1.0	0.95833333	0.05132307	0.25760275	0.54166667	7.0	1.0	1.0	2.0	599.46079278	256.0	8.0	3.0
