train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
0.70044053	0.65384614	0.71836735	0.45751634	0.59336042	0.71479138	0.13789005	2.0	7.0	2.0	15.0	119.8289094	9.0	0.0	1.0
0.64757711	0.61538464	0.68001701	0.51633987	0.61397762	0.70430138	-0.00973262	1.0	8.0	2.0	15.0	148.89712429	9.0	1.0	1.0
0.73568285	0.69230771	0.79710884	0.68627451	0.54808484	0.59663835	0.24331548	2.0	7.0	1.0	16.0	178.9060452	25.0	2.0	1.0
0.7149123	0.60000002	0.76719577	0.65441176	0.57202542	0.63146153	-0.20228869	0.0	8.0	2.0	15.0	211.93362665	20.0	3.0	1.0
0.84649122	0.75999999	0.93564189	0.73611111	0.42014831	0.5782285	0.45833333	4.0	5.0	1.0	15.0	245.63384438	58.0	4.0	1.0
0.64912283	0.60000002	0.70616554	0.71527778	0.60311178	0.60995362	-0.15309311	0.0	9.0	1.0	15.0	283.78543496	9.0	5.0	1.0
0.66666669	0.60000002	0.72516892	0.43055556	0.59291694	0.67058643	-0.02051525	1.0	8.0	2.0	14.0	323.11302328	14.0	6.0	1.0
0.7368421	0.60000002	0.81798986	0.65972222	0.53996069	0.62141632	-0.02051525	1.0	8.0	2.0	14.0	370.36876416	25.0	7.0	1.0
0.78070176	0.72000003	0.89864865	0.625	0.44717976	0.65327797	0.37872604	5.0	4.0	3.0	13.0	404.77464294	60.0	8.0	1.0
0.67982459	0.68000001	0.72010135	0.55555556	0.59786175	0.66717044	0.23592536	2.0	7.0	1.0	15.0	440.28875089	13.0	9.0	1.0
0.70044053	0.73076922	0.78528912	0.77777778	0.56419531	0.5476207	0.39674602	2.0	7.0	0.0	17.0	480.52183747	22.0	0.0	2.0
0.75330395	0.69230771	0.84387755	0.66666667	0.5090385	0.61970671	0.26035959	3.0	6.0	2.0	15.0	511.75548601	36.0	1.0	2.0
0.76211452	0.61538464	0.85663265	0.7254902	0.49624409	0.57052784	0.05522779	2.0	7.0	3.0	14.0	544.46010017	56.0	2.0	2.0
0.7719298	0.63999999	0.86016629	0.66176471	0.49825529	0.60980381	0.14514393	3.0	5.0	4.0	13.0	581.55448937	43.0	3.0	2.0
0.86842108	0.68000001	0.95160473	0.73611111	0.36759916	0.62238146	0.25	3.0	6.0	2.0	14.0	625.00796556	157.0	4.0	2.0
0.67543858	0.63999999	0.67749155	0.41666667	0.6104027	0.72271514	0.0	0.0	9.0	0.0	16.0	666.00067616	9.0	5.0	2.0
0.79385966	0.68000001	0.88826014	0.70833333	0.462239	0.58907505	0.25	3.0	6.0	2.0	14.0	708.6049304	68.0	6.0	2.0
0.65350878	0.63999999	0.69670608	0.57638889	0.60998846	0.66079887	0.08600781	1.0	8.0	1.0	15.0	745.07356668	13.0	7.0	2.0
0.67105263	0.56	0.68606419	0.53125	0.60961208	0.70427903	-0.10001653	1.0	8.0	3.0	13.0	774.47481298	9.0	8.0	2.0
0.64035088	0.63999999	0.69087838	0.63194444	0.61436624	0.64119544	0.08600781	1.0	8.0	1.0	15.0	818.4128511	8.0	9.0	2.0
0.66079295	0.76923078	0.73732993	0.62745098	0.58500449	0.60240959	0.49636359	3.0	6.0	0.0	17.0	847.25881052	16.0	0.0	3.0
