filename	train_acc	val_acc	train_auc	val_auc	train_los	val_los	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
/home/ubuntu/gene-abundance/experiment/results/fc_model/qtf_pc576_10_fillseqf_nb10_auy_gray/cirgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0gray_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_fc_o1adam_lr-1.0de0.0e500_20200225_140421c255.0di-1ch1dfc0.0file_sum_ok.txt	0.995	0.875	1.0	0.965	0.062	0.288	0.753	11.0	1.0	2.0	10.0	125.37	311.0	0	1
/home/ubuntu/gene-abundance/experiment/results/fc_model/qtf_pc576_10_fillseqf_nb10_auy_gray/cirgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0gray_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_fc_o1adam_lr-1.0de0.0e500_20200225_140421c255.0di-1ch1dfc0.0file_sum_ok.txt	0.909	0.875	0.978	0.979	0.225	0.256	0.753	10.0	2.0	1.0	11.0	156.672	71.0	0	2
/home/ubuntu/gene-abundance/experiment/results/fc_model/qtf_pc576_10_fillseqf_nb10_auy_gray/cirgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0gray_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_fc_o1adam_lr-1.0de0.0e500_20200225_140421c255.0di-1ch1dfc0.0file_sum_ok.txt	0.895	0.739	0.966	0.795	0.275	0.539	0.477	9.0	3.0	3.0	8.0	187.662	29.0	0	3
/home/ubuntu/gene-abundance/experiment/results/fc_model/qtf_pc576_10_fillseqf_nb10_auy_gray/cirgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0gray_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_fc_o1adam_lr-1.0de0.0e500_20200225_140421c255.0di-1ch1dfc0.0file_sum_ok.txt	0.943	0.913	0.99	0.947	0.185	0.276	0.826	11.0	1.0	1.0	10.0	221.692	119.0	0	4
/home/ubuntu/gene-abundance/experiment/results/fc_model/qtf_pc576_10_fillseqf_nb10_auy_gray/cirgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0gray_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_fc_o1adam_lr-1.0de0.0e500_20200225_140421c255.0di-1ch1dfc0.0file_sum_ok.txt	0.943	0.913	0.991	0.962	0.175	0.275	0.826	10.0	1.0	1.0	11.0	255.953	130.0	0	5
/home/ubuntu/gene-abundance/experiment/results/fc_model/qtf_pc576_10_fillseqf_nb10_auy_gray/cirgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0gray_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_fc_o1adam_lr-1.0de0.0e500_20200225_140421c255.0di-1ch1dfc0.0file_sum_ok.txt	0.938	0.957	0.984	1.0	0.197	0.169	0.916	10.0	1.0	0.0	12.0	287.697	106.0	0	6
/home/ubuntu/gene-abundance/experiment/results/fc_model/qtf_pc576_10_fillseqf_nb10_auy_gray/cirgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0gray_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_fc_o1adam_lr-1.0de0.0e500_20200225_140421c255.0di-1ch1dfc0.0file_sum_ok.txt	0.871	0.957	0.968	0.939	0.273	0.339	0.916	10.0	1.0	0.0	12.0	336.184	38.0	0	7
/home/ubuntu/gene-abundance/experiment/results/fc_model/qtf_pc576_10_fillseqf_nb10_auy_gray/cirgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0gray_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_fc_o1adam_lr-1.0de0.0e500_20200225_140421c255.0di-1ch1dfc0.0file_sum_ok.txt	1.0	0.913	1.0	0.985	0.039	0.187	0.826	10.0	1.0	1.0	11.0	380.237	457.0	0	8
/home/ubuntu/gene-abundance/experiment/results/fc_model/qtf_pc576_10_fillseqf_nb10_auy_gray/cirgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0gray_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_fc_o1adam_lr-1.0de0.0e500_20200225_140421c255.0di-1ch1dfc0.0file_sum_ok.txt	0.914	0.783	0.98	0.917	0.225	0.399	0.589	10.0	1.0	4.0	8.0	413.155	71.0	0	9
/home/ubuntu/gene-abundance/experiment/results/fc_model/qtf_pc576_10_fillseqf_nb10_auy_gray/cirgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0gray_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_fc_o1adam_lr-1.0de0.0e500_20200225_140421c255.0di-1ch1dfc0.0file_sum_ok.txt	0.967	0.826	0.993	0.947	0.153	0.307	0.699	11.0	0.0	4.0	8.0	447.886	195.0	1	0
