train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
0.60841423	0.62857145	0.82311044	0.6372549	0.64407564	0.68936427	0.25671802	13.0	5.0	8.0	9.0	197.57487583	55.0	0.0	1.0
0.45631069	0.54285717	0.7196665	0.53267974	0.75600237	0.72879014	0.08221556	14.0	4.0	12.0	5.0	238.58602881	10.0	1.0	1.0
0.66666669	0.62857145	0.84506452	0.66993464	0.62127224	0.63191909	0.25573908	12.0	6.0	7.0	10.0	285.70665145	90.0	2.0	1.0
0.71844661	0.62857145	0.88050947	0.68300654	0.57212839	0.63676962	0.25573908	12.0	6.0	7.0	10.0	334.25234389	102.0	3.0	1.0
0.63548386	0.61764705	0.82369593	0.66435986	0.65364447	0.66514924	0.25819889	14.0	3.0	10.0	7.0	379.99279332	59.0	4.0	1.0
0.91935486	0.70588237	0.98867657	0.76816609	0.28583879	0.61083328	0.41176471	12.0	5.0	5.0	12.0	447.99861693	500.0	5.0	1.0
0.55806452	0.47058824	0.78726947	0.56055363	0.69728659	0.72322977	-0.06666667	12.0	5.0	13.0	4.0	489.13953519	30.0	6.0	1.0
0.7870968	0.7647059	0.94746264	0.79238754	0.44299099	0.5568291	0.52941176	13.0	4.0	4.0	13.0	550.76397014	354.0	7.0	1.0
0.65483868	0.64705884	0.83131427	0.62629758	0.62266986	0.67866985	0.29411765	11.0	6.0	6.0	11.0	603.91413927	57.0	8.0	1.0
0.38709676	0.47058824	0.66092169	0.56055363	0.78766102	0.71049731	-0.0727393	13.0	4.0	14.0	3.0	643.71756268	8.0	9.0	1.0
0.67637539	0.60000002	0.81904642	0.73856209	0.64143121	0.60353778	0.19802951	12.0	6.0	8.0	9.0	691.53237152	39.0	0.0	2.0
0.85436893	0.65714288	0.96019775	0.71895425	0.39943805	0.6375247	0.32720526	15.0	3.0	9.0	8.0	749.69390082	353.0	1.0	2.0
0.88673139	0.77142859	0.97787833	0.81045752	0.34455611	0.53280717	0.54458115	15.0	3.0	5.0	12.0	816.72552609	478.0	2.0	2.0
0.5825243	0.54285717	0.80266466	0.58823529	0.69017436	0.69899022	0.08221556	14.0	4.0	12.0	5.0	858.10372019	30.0	3.0	2.0
0.46774194	0.55882353	0.72686399	0.60207612	0.75385092	0.69285642	0.15430335	15.0	2.0	13.0	4.0	909.63229537	18.0	4.0	2.0
0.68709677	0.64705884	0.8591649	0.71972318	0.60181819	0.60954952	0.29617444	10.0	7.0	5.0	12.0	960.6827848	96.0	5.0	2.0
0.65806454	0.61764705	0.85908164	0.70588235	0.60422164	0.64460968	0.24618298	13.0	4.0	9.0	8.0	1008.37268472	76.0	6.0	2.0
0.62903225	0.64705884	0.79330586	0.71972318	0.66727924	0.60671204	0.29617444	12.0	5.0	7.0	10.0	1050.69398046	30.0	7.0	2.0
0.43870968	0.52941179	0.69664044	0.67820069	0.77103489	0.65814746	0.06666667	13.0	4.0	12.0	5.0	1103.41418219	9.0	8.0	2.0
0.70322579	0.67647058	0.89796428	0.71626298	0.5456324	0.63941593	0.35355339	11.0	6.0	5.0	12.0	1157.65447402	102.0	9.0	2.0
0.55663431	0.5714286	0.79524887	0.59803922	0.69169352	0.70123686	0.14002801	12.0	6.0	9.0	8.0	1202.82222152	30.0	0.0	3.0
0.60194176	0.5714286	0.82780292	0.52614379	0.64814271	0.73603485	0.15169701	15.0	3.0	12.0	5.0	1249.76041007	44.0	1.0	3.0
0.49514562	0.60000002	0.75607508	0.61437908	0.73452372	0.67714269	0.20406349	14.0	4.0	10.0	7.0	1297.37616706	13.0	2.0	3.0
0.69902915	0.62857145	0.86408581	0.73856209	0.57696718	0.59066154	0.25671802	13.0	5.0	8.0	9.0	1342.41787863	65.0	3.0	3.0
