train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
1.0	0.69999999	1.0	0.84	0.14038245	0.51396525	0.5	2.0	3.0	0.0	5.0	45.52326941	330.0	0.0	1.0
0.63953489	0.40000001	0.79495614	0.44	0.58765244	0.82280463	-0.21821789	1.0	4.0	2.0	3.0	70.05175304	12.0	1.0	1.0
0.87209302	0.80000001	0.92105263	0.8	0.41347991	0.52590549	0.6	4.0	1.0	1.0	4.0	86.26572275	60.0	2.0	1.0
0.74418604	0.5	0.82160393	0.66666667	0.57995123	0.63446403	0.0	2.0	2.0	3.0	3.0	105.12786078	16.0	3.0	1.0
0.82558137	0.80000001	0.90834697	0.83333333	0.43169188	0.50583404	0.58333333	3.0	1.0	1.0	5.0	121.09667158	56.0	4.0	1.0
0.96511626	0.80000001	0.99127114	0.79166667	0.21846626	0.52446264	0.66666667	4.0	0.0	2.0	4.0	137.76817441	180.0	5.0	1.0
0.7241379	0.55555558	0.81784188	0.5	0.57670634	0.79001439	0.1	2.0	2.0	2.0	3.0	155.68906736	13.0	6.0	1.0
0.82758623	0.55555558	0.89903846	0.55	0.44071065	0.71049541	0.15811388	3.0	1.0	3.0	2.0	173.84482718	42.0	7.0	1.0
0.75862068	0.22222222	0.84027778	0.3	0.51926449	0.84062839	-0.5976143	2.0	2.0	5.0	0.0	190.04256725	23.0	8.0	1.0
0.85057473	0.66666669	0.92361111	0.85	0.41118535	0.59599042	0.47809144	4.0	0.0	3.0	2.0	208.25052214	59.0	9.0	1.0
1.0	0.80000001	1.0	0.76	0.14565088	0.50557107	0.65465367	5.0	0.0	2.0	3.0	228.46022105	318.0	0.0	2.0
0.83720928	0.80000001	0.91557018	0.88	0.42910136	0.58796728	0.65465367	3.0	2.0	0.0	5.0	245.78483105	60.0	1.0	2.0
0.87209302	0.69999999	0.94133772	0.8	0.41448362	0.5594855	0.40824829	3.0	2.0	1.0	4.0	262.70437312	49.0	2.0	2.0
0.76744187	0.60000002	0.8619749	0.70833333	0.51920968	0.59985107	0.25	3.0	1.0	3.0	3.0	279.55590963	21.0	3.0	2.0
0.76744187	0.60000002	0.84397163	0.66666667	0.52659288	0.72023964	0.16666667	2.0	2.0	2.0	4.0	295.77443361	16.0	4.0	2.0
0.70930231	0.60000002	0.80250955	0.625	0.57843752	0.69732559	0.25	3.0	1.0	3.0	3.0	313.37010336	16.0	5.0	2.0
0.68965518	0.77777779	0.79220085	0.6	0.58175605	0.70222586	0.5976143	2.0	2.0	0.0	5.0	331.42054534	13.0	6.0	2.0
0.62068963	0.11111111	0.74626068	0.25	0.6310352	0.90583938	-0.79056942	1.0	3.0	5.0	0.0	349.82616687	8.0	7.0	2.0
0.79310346	0.55555558	0.86752137	0.55	0.50385794	0.69525903	0.1	2.0	2.0	2.0	3.0	365.96082735	27.0	8.0	2.0
0.82758623	0.66666669	0.89155983	0.75	0.46727531	0.5819813	0.31622777	2.0	2.0	1.0	4.0	383.82195139	41.0	9.0	2.0
0.81395346	0.80000001	0.90076754	0.88	0.45852184	0.42734995	0.6	4.0	1.0	1.0	4.0	401.29412484	47.0	0.0	3.0
0.75581396	0.69999999	0.85964912	0.48	0.52974615	0.75064433	0.5	2.0	3.0	0.0	5.0	418.93887043	18.0	1.0	3.0
0.66279072	0.30000001	0.76370614	0.32	0.62860289	0.77926719	-0.40824829	2.0	3.0	4.0	1.0	435.98976231	8.0	2.0	3.0
0.91860467	0.89999998	0.96181124	0.875	0.3314311	0.42137274	0.81649658	4.0	0.0	1.0	5.0	458.55956697	112.0	3.0	3.0
0.73255813	0.60000002	0.80141844	0.66666667	0.60796985	0.64418691	0.16666667	2.0	2.0	2.0	4.0	474.34568214	9.0	4.0	3.0
