train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
0.97596157	0.875	0.9963929	0.9375	0.13683775	0.34315592	0.77459667	12.0	0.0	3.0	9.0	83.87067175	27.0	0.0	1.0
1.0	0.875	1.0	0.97222222	0.01151008	0.19511048	0.75261781	11.0	1.0	2.0	10.0	120.37288451	172.0	1.0	1.0
0.89473683	0.69565219	0.97626901	0.81818182	0.25499504	0.53635452	0.39393939	8.0	4.0	3.0	8.0	149.57352996	9.0	2.0	1.0
1.0	0.9130435	1.0	0.96969697	0.02162261	0.22554701	0.82575758	11.0	1.0	1.0	10.0	182.72586417	122.0	3.0	1.0
1.0	0.82608694	1.0	0.9469697	0.04384798	0.28934802	0.65151515	9.0	2.0	2.0	10.0	215.91076565	81.0	4.0	1.0
0.98086125	0.95652175	0.99972522	0.98484848	0.10408853	0.15007681	0.91605722	10.0	1.0	0.0	12.0	245.60768342	38.0	5.0	1.0
0.93301433	0.86956519	0.991024	0.93939394	0.19205423	0.31815388	0.74242424	10.0	1.0	2.0	10.0	292.78871322	18.0	6.0	1.0
1.0	0.82608694	1.0	0.96969697	0.02891805	0.23264589	0.65151515	9.0	2.0	2.0	10.0	326.42329478	109.0	7.0	1.0
0.92344499	0.82608694	0.98571167	0.91666667	0.21653795	0.36033057	0.66414149	10.0	1.0	3.0	9.0	355.46542335	15.0	8.0	1.0
0.98564595	0.82608694	0.99899249	0.93939394	0.12454088	0.31313601	0.66414149	10.0	1.0	3.0	9.0	386.47876501	39.0	9.0	1.0
0.98557693	0.875	0.99953755	0.96527778	0.10343631	0.25792243	0.77459667	12.0	0.0	3.0	9.0	417.98945665	37.0	0.0	2.0
0.99519229	0.83333331	0.99898261	0.89583333	0.09145266	0.47183132	0.70710678	12.0	0.0	4.0	8.0	448.8386538	37.0	1.0	2.0
1.0	0.9130435	1.0	0.98484848	0.01458396	0.15269278	0.82575758	11.0	1.0	1.0	10.0	484.6505959	160.0	2.0	2.0
0.89473683	0.73913044	0.97489463	0.92424242	0.2552568	0.36516377	0.48856385	8.0	4.0	2.0	9.0	517.44026017	9.0	3.0	2.0
0.99043059	0.78260869	0.99990841	0.9469697	0.08046266	0.27627526	0.56490196	8.0	3.0	2.0	10.0	549.52175283	50.0	4.0	2.0
0.95693779	0.82608694	0.99697747	0.86363636	0.16255445	0.46440133	0.65151515	9.0	2.0	2.0	10.0	579.29301906	23.0	5.0	2.0
0.9952153	0.86956519	0.99981682	0.9469697	0.0792084	0.31719418	0.74242424	10.0	1.0	2.0	10.0	612.30313492	50.0	6.0	2.0
1.0	0.95652175	1.0	1.0	0.01536864	0.08800514	0.91666667	11.0	0.0	1.0	11.0	648.62866831	149.0	7.0	2.0
1.0	0.86956519	1.0	0.96969697	0.02476717	0.2634359	0.76277007	8.0	3.0	0.0	12.0	685.68497014	124.0	8.0	2.0
0.90909094	0.82608694	0.97362154	0.90909091	0.25573287	0.37543715	0.66414149	10.0	1.0	3.0	9.0	716.57289267	11.0	9.0	2.0
0.90865386	0.875	0.98159452	0.91666667	0.233722	0.37846518	0.77459667	9.0	3.0	0.0	12.0	750.89871454	10.0	0.0	3.0
1.0	0.95833331	1.0	1.0	0.06419706	0.12522067	0.91986621	12.0	0.0	1.0	11.0	783.36870503	62.0	1.0	3.0
0.9665072	0.73913044	0.99541873	0.90909091	0.16203245	0.41429249	0.48856385	8.0	4.0	2.0	9.0	815.38927722	31.0	2.0	3.0
1.0	0.86956519	1.0	0.97727273	0.05298275	0.24264446	0.74047959	11.0	1.0	2.0	9.0	848.06184006	59.0	3.0	3.0
1.0	0.82608694	1.0	0.92424242	0.05872455	0.34338733	0.66414149	10.0	1.0	3.0	9.0	880.79790115	68.0	4.0	3.0
0.94736844	0.86956519	0.99203151	0.98484848	0.1784807	0.26447143	0.76277007	8.0	3.0	0.0	12.0	913.8870852	21.0	5.0	3.0
0.95693779	0.82608694	0.99450449	0.93939394	0.15466839	0.3517598	0.66414149	10.0	1.0	3.0	9.0	944.39590359	27.0	6.0	3.0
0.91387558	0.78260869	0.98470416	0.84848485	0.23315041	0.48748993	0.58930667	10.0	1.0	4.0	8.0	976.21740866	12.0	7.0	3.0
0.98086125	0.78260869	0.99935886	0.91666667	0.09775012	0.32507689	0.56818182	9.0	2.0	3.0	9.0	1008.37753463	41.0	8.0	3.0
0.99043059	0.86956519	0.99917567	0.96212121	0.1124914	0.27000213	0.74242424	10.0	1.0	2.0	10.0	1042.8222394	41.0	9.0	3.0
0.93269229	0.83333331	0.98631151	0.875	0.18938284	0.47448899	0.66666667	10.0	2.0	2.0	10.0	1075.61508703	15.0	0.0	4.0
0.97596157	0.91666669	0.99704033	0.97916667	0.1407505	0.2112055	0.84515425	12.0	0.0	2.0	10.0	1107.98231983	29.0	1.0	4.0
0.96172249	0.9130435	0.99541873	0.93181818	0.14623432	0.34043712	0.82575758	11.0	1.0	1.0	10.0	1140.60166597	28.0	2.0	4.0
0.95215309	0.82608694	0.99697636	0.90151515	0.15965417	0.41611638	0.66414149	9.0	3.0	1.0	10.0	1172.22043943	22.0	3.0	4.0
1.0	1.0	1.0	1.0	0.00080198	0.04386644	1.0	11.0	0.0	0.0	12.0	1225.90934062	500.0	4.0	4.0
0.98564595	0.9130435	0.99945045	0.98484848	0.09826996	0.25406953	0.83971912	11.0	0.0	2.0	10.0	1259.16276407	40.0	5.0	4.0
0.9952153	0.82608694	0.99990841	0.92424242	0.07690155	0.3522209	0.65151515	9.0	2.0	2.0	10.0	1294.16455054	50.0	6.0	4.0
0.91866028	0.82608694	0.98021616	0.92424242	0.22925456	0.35575296	0.66414149	10.0	1.0	3.0	9.0	1326.03797793	12.0	7.0	4.0
1.0	0.82608694	1.0	0.95454545	0.02537921	0.28258893	0.65151515	9.0	2.0	2.0	10.0	1363.59326601	120.0	8.0	4.0
0.97607654	0.82608694	0.9966111	0.90909091	0.13568418	0.35644591	0.65151515	9.0	2.0	2.0	10.0	1396.72691488	30.0	9.0	4.0
0.97596157	0.875	0.9981502	0.96527778	0.12220552	0.29411658	0.77459667	12.0	0.0	3.0	9.0	1431.21665597	30.0	0.0	5.0
0.92788464	0.83333331	0.98224195	0.90277778	0.21260987	0.42765745	0.6761234	11.0	1.0	3.0	9.0	1466.29359221	12.0	1.0	5.0
1.0	0.9130435	1.0	0.99242424	0.03691103	0.14634323	0.82575758	11.0	1.0	1.0	10.0	1502.45487666	91.0	2.0	5.0
1.0	0.86956519	1.0	0.95454545	0.02893896	0.25298041	0.74242424	10.0	2.0	1.0	10.0	1538.33558702	99.0	3.0	5.0
0.99043059	0.86956519	0.99990841	0.96212121	0.09988049	0.25888257	0.74242424	10.0	1.0	2.0	10.0	1573.40579152	47.0	4.0	5.0
0.9952153	0.86956519	0.99990841	0.92424242	0.06619496	0.31982225	0.74242424	10.0	1.0	2.0	10.0	1611.04708219	62.0	5.0	5.0
0.91866028	0.82608694	0.98479575	0.85606061	0.22958636	0.45052959	0.65151515	9.0	2.0	2.0	10.0	1645.01671696	12.0	6.0	5.0
0.9952153	0.86956519	1.0	0.97727273	0.0608526	0.22726616	0.74047959	9.0	2.0	1.0	11.0	1683.48702049	68.0	7.0	5.0
0.98564595	0.86956519	0.99871771	0.92424242	0.09921849	0.37801768	0.76277007	8.0	3.0	0.0	12.0	1716.46514058	38.0	8.0	5.0
0.93301433	0.78260869	0.99019967	0.87121212	0.18275351	0.41788127	0.58930667	10.0	1.0	4.0	8.0	1749.4666543	17.0	9.0	5.0
