train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
0.92592591	0.76923078	0.97209302	0.8	0.28148584	0.47370017	0.50069396	7.0	1.0	2.0	3.0	54.25837731	9.0	0.0	1.0
1.0	0.91666669	1.0	0.9375	0.04714193	0.23003955	0.81649658	8.0	0.0	1.0	3.0	77.61844492	62.0	1.0	1.0
1.0	0.91666669	1.0	0.96875	0.040313	0.35555139	0.83666003	7.0	1.0	0.0	4.0	100.17094016	73.0	2.0	1.0
0.99082571	0.83333331	1.0	0.8	0.09987721	0.65423268	0.68313005	7.0	0.0	2.0	3.0	133.89045501	33.0	3.0	1.0
0.95412844	0.83333331	0.99260042	0.82857143	0.21115047	0.53822595	0.68313005	7.0	0.0	2.0	3.0	153.80659127	15.0	4.0	1.0
1.0	1.0	1.0	1.0	0.00114916	0.06940555	1.0	7.0	0.0	0.0	5.0	185.82040238	500.0	5.0	1.0
0.85321099	0.66666669	0.93093728	0.65714286	0.36444117	0.61448616	0.29277002	6.0	1.0	3.0	2.0	207.13450217	6.0	6.0	1.0
1.0	0.83333331	1.0	0.91428571	0.01493938	0.40449509	0.71428571	5.0	2.0	0.0	5.0	229.96640539	114.0	7.0	1.0
1.0	0.91666669	1.0	0.94285714	0.00919242	0.28275016	0.84515425	6.0	1.0	0.0	5.0	255.44245434	168.0	8.0	1.0
0.93577981	0.66666669	0.96899225	0.85714286	0.27183647	0.47049654	0.31428571	5.0	2.0	2.0	3.0	275.21229529	11.0	9.0	1.0
1.0	0.92307693	1.0	1.0	0.0369657	0.2290445	0.84327404	8.0	0.0	1.0	4.0	298.73352432	76.0	0.0	2.0
0.98165137	0.83333331	0.99440559	0.75	0.16253699	0.58026522	0.63245553	8.0	0.0	2.0	2.0	320.58780384	20.0	1.0	2.0
0.90825689	0.66666669	0.95944056	0.8125	0.30948436	0.60046095	0.15811388	7.0	1.0	3.0	1.0	343.0917325	8.0	2.0	2.0
0.92660552	0.75	0.95947851	0.82857143	0.30812907	0.51143235	0.50709255	5.0	2.0	1.0	4.0	368.35594988	8.0	3.0	2.0
1.0	0.75	1.0	0.8	0.04105049	0.46085012	0.50709255	5.0	2.0	1.0	4.0	393.4171679	58.0	4.0	2.0
1.0	0.91666669	1.0	0.94285714	0.07638126	0.28784516	0.83666003	7.0	0.0	1.0	4.0	415.02988815	42.0	5.0	2.0
1.0	0.83333331	1.0	0.94285714	0.02884688	0.28669626	0.71428571	5.0	2.0	0.0	5.0	442.07327986	97.0	6.0	2.0
1.0	0.91666669	1.0	0.97142857	0.00123401	0.20614864	0.84515425	6.0	1.0	0.0	5.0	473.96563959	500.0	7.0	2.0
1.0	0.75	1.0	0.82857143	0.03788695	0.49196234	0.47809144	6.0	1.0	2.0	3.0	497.6623683	72.0	8.0	2.0
0.88990825	0.41666666	0.96053559	0.34285714	0.31018455	1.19660389	-0.16903085	3.0	4.0	3.0	2.0	522.64517736	6.0	9.0	2.0
1.0	0.92307693	1.0	0.975	0.0273693	0.20484307	0.84327404	8.0	0.0	1.0	4.0	547.86409473	93.0	0.0	3.0
0.96330273	0.83333331	0.9951049	0.75	0.21721581	0.55965632	0.625	7.0	1.0	1.0	3.0	568.77984428	13.0	1.0	3.0
0.87155962	0.66666669	0.95629371	0.53125	0.32719158	0.79992747	0.15811388	7.0	1.0	3.0	1.0	591.2958591	6.0	2.0	3.0
1.0	0.75	1.0	0.88571429	0.06080927	0.37877783	0.47809144	6.0	1.0	2.0	3.0	618.67895555	53.0	3.0	3.0
0.96330273	0.41666666	0.99048626	0.4	0.20625079	0.93502808	-0.11952286	2.0	5.0	2.0	3.0	641.3312006	14.0	4.0	3.0
0.94495416	0.83333331	0.96511628	1.0	0.29745128	0.34641668	0.68313005	7.0	0.0	2.0	3.0	663.76422405	10.0	5.0	3.0
0.98165137	0.83333331	0.99964764	0.85714286	0.14465435	0.50075728	0.68313005	7.0	0.0	2.0	3.0	684.49935865	24.0	6.0	3.0
1.0	0.91666669	1.0	0.94285714	0.04897356	0.33702025	0.84515425	6.0	1.0	0.0	5.0	705.5304606	63.0	7.0	3.0
0.94495416	0.91666669	0.97850599	1.0	0.26091816	0.35322323	0.83666003	7.0	0.0	1.0	4.0	733.5263083	11.0	8.0	3.0
1.0	0.91666669	1.0	0.91428571	0.03116899	0.31226996	0.83666003	7.0	0.0	1.0	4.0	758.65389943	78.0	9.0	3.0
0.87037039	0.61538464	0.95062612	0.65	0.34128076	0.79250246	0.21957752	5.0	3.0	2.0	3.0	782.01726127	6.0	0.0	4.0
0.99082571	0.66666669	1.0	0.875	0.10995424	0.46610907	0.25	6.0	2.0	2.0	2.0	805.99158025	35.0	1.0	4.0
0.91743118	0.91666669	0.97762238	0.96875	0.28337463	0.3066594	0.81649658	8.0	0.0	1.0	3.0	833.04511523	11.0	2.0	4.0
0.98165137	0.75	0.98872445	0.71428571	0.18994854	0.69179028	0.50709255	5.0	2.0	1.0	4.0	857.71070433	17.0	3.0	4.0
0.99082571	0.75	1.0	0.88571429	0.09113804	0.37926176	0.47809144	6.0	1.0	2.0	3.0	886.15488887	36.0	4.0	4.0
0.96330273	0.58333331	0.98731501	0.71428571	0.20552676	0.6781432	0.11952286	5.0	2.0	3.0	2.0	915.7408576	16.0	5.0	4.0
0.98165137	0.83333331	1.0	0.94285714	0.12871411	0.3595902	0.65714286	6.0	1.0	1.0	4.0	938.96376443	25.0	6.0	4.0
0.99082571	0.83333331	1.0	0.8	0.10794189	0.60979813	0.68313005	7.0	0.0	2.0	3.0	963.85429239	32.0	7.0	4.0
