train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
0.969697	0.72727275	0.99542334	0.88888889	0.14551446	0.4207772	0.24056261	7.0	2.0	1.0	1.0	38.48017502	14.0	0.0	1.0
0.95959598	0.81818181	0.99713959	0.88888889	0.11973991	0.33428809	0.0	9.0	0.0	2.0	0.0	55.40069771	18.0	1.0	1.0
0.94949496	0.81818181	0.99199085	0.94444444	0.16535652	0.28034917	0.38888889	8.0	1.0	1.0	1.0	71.31464744	14.0	2.0	1.0
1.0	0.90909094	1.0	1.0	0.06129405	0.1617779	0.67082039	9.0	0.0	1.0	1.0	87.54801774	36.0	3.0	1.0
1.0	0.90909094	1.0	0.88888889	0.03274145	0.28119683	0.67082039	9.0	0.0	1.0	1.0	104.43550277	84.0	4.0	1.0
0.97979796	0.90909094	0.99881936	1.0	0.11467432	0.12944938	0.76980036	8.0	0.0	1.0	2.0	121.48017812	24.0	5.0	1.0
1.0	0.81818181	1.0	0.95833333	0.06332951	0.33807847	0.54166667	7.0	1.0	1.0	2.0	139.60607195	37.0	6.0	1.0
0.98989898	0.81818181	1.0	0.95833333	0.0845121	0.33808291	0.54166667	7.0	1.0	1.0	2.0	157.56660366	28.0	7.0	1.0
0.89898992	0.90909094	0.98051948	0.66666667	0.20982927	0.58055103	0.76980036	8.0	0.0	1.0	2.0	174.32309413	9.0	8.0	1.0
1.0	0.90909094	1.0	1.0	0.08365201	0.2242927	0.76980036	8.0	0.0	1.0	2.0	190.6059711	28.0	9.0	1.0
1.0	0.90909094	1.0	0.88888889	0.05334209	0.29931965	0.67082039	9.0	0.0	1.0	1.0	211.14027524	42.0	0.0	2.0
1.0	0.81818181	1.0	0.88888889	0.02784836	0.2807484	0.38888889	8.0	1.0	1.0	1.0	229.06101727	76.0	1.0	2.0
1.0	0.81818181	1.0	0.88888889	0.06185952	0.31345406	0.38888889	8.0	1.0	1.0	1.0	246.99266076	41.0	2.0	2.0
1.0	0.90909094	1.0	0.94444444	0.0430864	0.24367601	0.67082039	9.0	0.0	1.0	1.0	264.39241219	51.0	3.0	2.0
1.0	1.0	1.0	1.0	0.00082983	0.14417529	1.0	9.0	0.0	0.0	2.0	291.66315198	500.0	4.0	2.0
1.0	0.90909094	1.0	1.0	0.05930988	0.14466459	0.81009259	7.0	1.0	0.0	3.0	310.48119831	40.0	5.0	2.0
0.969697	0.72727275	0.99704841	1.0	0.13448198	0.39364672	0.0	8.0	0.0	3.0	0.0	330.90698266	17.0	6.0	2.0
0.95959598	0.90909094	0.99409681	0.83333333	0.13999864	0.46071145	0.76980036	8.0	0.0	1.0	2.0	348.8860085	17.0	7.0	2.0
0.93939394	0.72727275	0.97992916	0.70833333	0.19933227	0.64667344	0.24056261	7.0	1.0	2.0	1.0	364.75525022	10.0	8.0	2.0
0.969697	0.81818181	0.99704841	0.79166667	0.12166904	0.47644615	0.51639778	8.0	0.0	2.0	1.0	382.34553909	18.0	9.0	2.0
1.0	0.90909094	1.0	0.94444444	0.02931705	0.18418936	0.76980036	8.0	1.0	0.0	2.0	402.30432892	65.0	0.0	3.0
1.0	1.0	1.0	1.0	0.00086289	0.03523451	1.0	9.0	0.0	0.0	2.0	431.31941676	500.0	1.0	3.0
0.90909094	0.81818181	0.97025172	0.61111111	0.23847781	0.49470079	0.38888889	8.0	1.0	1.0	1.0	449.27414393	8.0	2.0	3.0
0.90909094	0.81818181	0.98684211	0.94444444	0.18518243	0.29766464	0.0	9.0	0.0	2.0	0.0	471.43758321	11.0	3.0	3.0
0.89898992	0.81818181	0.99141876	0.77777778	0.20540532	0.4231146	0.38888889	8.0	1.0	1.0	1.0	488.92473412	9.0	4.0	3.0
0.98989898	0.81818181	1.0	0.95833333	0.0889166	0.30972019	0.51639778	8.0	0.0	2.0	1.0	510.83064079	28.0	5.0	3.0
1.0	0.90909094	1.0	0.875	0.06753635	0.31712055	0.76980036	8.0	0.0	1.0	2.0	530.28125048	37.0	6.0	3.0
1.0	0.90909094	1.0	1.0	0.06817569	0.19562286	0.76980036	8.0	0.0	1.0	2.0	549.75339365	39.0	7.0	3.0
1.0	0.90909094	1.0	1.0	0.00114368	0.12015183	0.76980036	8.0	0.0	1.0	2.0	580.04819226	500.0	8.0	3.0
0.98989898	0.90909094	1.0	0.875	0.0961925	0.34699911	0.81009259	7.0	1.0	0.0	3.0	602.58724093	27.0	9.0	3.0
1.0	1.0	1.0	1.0	0.00088592	0.03436492	1.0	9.0	0.0	0.0	2.0	633.2869556	500.0	0.0	4.0
1.0	0.90909094	1.0	1.0	0.00127403	0.09524081	0.76980036	8.0	1.0	0.0	2.0	661.4894228	398.0	1.0	4.0
0.98989898	0.90909094	1.0	0.83333333	0.1026856	0.39593288	0.67082039	9.0	0.0	1.0	1.0	680.03365016	25.0	2.0	4.0
0.9191919	0.90909094	0.97139588	0.77777778	0.23045252	0.42956668	0.67082039	9.0	0.0	1.0	1.0	701.05412674	10.0	3.0	4.0
0.94949496	0.81818181	0.99427918	0.94444444	0.1568903	0.28088081	0.38888889	8.0	1.0	1.0	1.0	721.92025924	16.0	4.0	4.0
0.97979796	0.72727275	0.99527745	0.91666667	0.13571119	0.34734547	0.24056261	7.0	1.0	2.0	1.0	740.75458217	20.0	5.0	4.0
0.969697	0.72727275	0.99173554	0.79166667	0.12757023	0.51330096	0.24056261	7.0	1.0	2.0	1.0	759.71081877	19.0	6.0	4.0
1.0	0.90909094	1.0	1.0	0.06584663	0.22202486	0.76980036	8.0	0.0	1.0	2.0	778.58028555	38.0	7.0	4.0
0.95959598	0.72727275	0.99232586	0.75	0.14123443	0.55068517	0.0	8.0	0.0	3.0	0.0	797.54636073	18.0	8.0	4.0
1.0	0.90909094	1.0	1.0	0.00817128	0.16580872	0.76980036	8.0	0.0	1.0	2.0	822.19377851	158.0	9.0	4.0
1.0	0.90909094	1.0	1.0	0.00082856	0.06731226	0.67082039	9.0	0.0	1.0	1.0	855.06426239	500.0	0.0	5.0
0.8888889	0.90909094	0.96796339	0.55555556	0.25376019	0.50932622	0.67082039	9.0	0.0	1.0	1.0	874.82538247	6.0	1.0	5.0
1.0	0.90909094	1.0	0.94444444	0.02958415	0.23169951	0.67082039	9.0	0.0	1.0	1.0	896.65523291	65.0	2.0	5.0
0.969697	0.81818181	0.99656751	0.88888889	0.12822926	0.35276386	0.0	9.0	0.0	2.0	0.0	916.85339832	17.0	3.0	5.0
0.98989898	0.90909094	1.0	0.94444444	0.07501837	0.21718155	0.67082039	9.0	0.0	1.0	1.0	937.17013812	31.0	4.0	5.0
0.92929292	0.72727275	0.97697757	0.83333333	0.20693227	0.59912968	0.0	8.0	0.0	3.0	0.0	956.64790273	10.0	5.0	5.0
1.0	0.90909094	1.0	0.91666667	0.03847206	0.2988632	0.81009259	7.0	1.0	0.0	3.0	980.87428689	49.0	6.0	5.0
0.94949496	0.72727275	0.99173554	0.875	0.16134174	0.41562623	0.38575837	6.0	2.0	1.0	2.0	999.8385036	12.0	7.0	5.0
1.0	0.81818181	1.0	0.91666667	0.06543001	0.36124927	0.51639778	8.0	0.0	2.0	1.0	1020.31413531	38.0	8.0	5.0
1.0	0.90909094	1.0	1.0	0.05655197	0.17395243	0.76980036	8.0	0.0	1.0	2.0	1043.33856797	36.0	9.0	5.0
0.90909094	0.63636363	0.97368421	0.61111111	0.24526588	0.5073421	-0.22222222	7.0	2.0	2.0	0.0	1066.17122364	6.0	0.0	6.0
0.98989898	0.90909094	1.0	0.94444444	0.08160661	0.29947385	0.67082039	9.0	0.0	1.0	1.0	1088.63545465	26.0	1.0	6.0
0.97979796	0.90909094	0.99713959	0.94444444	0.13167535	0.26192272	0.67082039	9.0	0.0	1.0	1.0	1110.62999535	21.0	2.0	6.0
0.98989898	0.81818181	1.0	0.88888889	0.07745247	0.29019406	0.38888889	8.0	1.0	1.0	1.0	1132.405164	32.0	3.0	6.0
0.93939394	0.81818181	0.99256293	0.61111111	0.18092789	0.51618457	0.0	9.0	0.0	2.0	0.0	1153.1487658	9.0	4.0	6.0
0.98989898	0.81818181	1.0	0.91666667	0.09746262	0.44145089	0.51639778	8.0	0.0	2.0	1.0	1174.54913855	22.0	5.0	6.0
1.0	0.90909094	1.0	1.0	0.00097395	0.07077931	0.76980036	8.0	0.0	1.0	2.0	1210.4703474	500.0	6.0	6.0
0.98989898	0.81818181	1.0	0.95833333	0.10203166	0.28050205	0.51639778	8.0	0.0	2.0	1.0	1233.59601855	24.0	7.0	6.0
0.969697	0.81818181	0.99586777	0.79166667	0.11308672	0.45920599	0.54166667	7.0	1.0	1.0	2.0	1254.84793282	16.0	8.0	6.0
1.0	1.0	1.0	1.0	0.00081824	0.10729276	1.0	8.0	0.0	0.0	3.0	1290.62468171	500.0	9.0	6.0
0.92929292	0.81818181	0.98169336	0.72222222	0.22493649	0.42283365	0.38888889	8.0	1.0	1.0	1.0	1317.55177879	8.0	0.0	7.0
0.9191919	0.90909094	0.95709382	0.88888889	0.23860835	0.36790994	0.67082039	9.0	0.0	1.0	1.0	1338.63833499	8.0	1.0	7.0
0.93939394	0.90909094	0.98798627	0.77777778	0.20090992	0.41824952	0.67082039	9.0	0.0	1.0	1.0	1361.78907037	9.0	2.0	7.0
1.0	1.0	1.0	1.0	0.00075849	0.00500359	1.0	9.0	0.0	0.0	2.0	1401.58636713	500.0	3.0	7.0
1.0	1.0	1.0	1.0	0.00083825	0.08339381	1.0	9.0	0.0	0.0	2.0	1436.37108207	500.0	4.0	7.0
0.98989898	0.90909094	1.0	0.95833333	0.07430239	0.26508185	0.81009259	7.0	1.0	0.0	3.0	1459.44089651	32.0	5.0	7.0
0.969697	0.81818181	0.99586777	0.91666667	0.13765643	0.37176988	0.54166667	7.0	1.0	1.0	2.0	1481.45149541	16.0	6.0	7.0
0.98989898	0.72727275	1.0	0.79166667	0.06603983	0.57909662	0.24056261	7.0	1.0	2.0	1.0	1503.87408662	30.0	7.0	7.0
0.969697	0.72727275	0.99527745	0.95833333	0.12542759	0.33343241	0.0	8.0	0.0	3.0	0.0	1527.15991974	18.0	8.0	7.0
0.969697	0.81818181	0.99232586	0.91666667	0.16411597	0.43957853	0.51639778	8.0	0.0	2.0	1.0	1550.19359446	15.0	9.0	7.0
1.0	0.81818181	1.0	0.88888889	0.0152932	0.25420198	0.38888889	8.0	1.0	1.0	1.0	1574.95919561	106.0	0.0	8.0
0.98989898	0.81818181	1.0	0.77777778	0.09609767	0.37500799	0.38888889	8.0	1.0	1.0	1.0	1599.95079327	27.0	1.0	8.0
1.0	1.0	1.0	1.0	0.00083441	0.03892044	1.0	9.0	0.0	0.0	2.0	1636.41554904	500.0	2.0	8.0
0.969697	0.90909094	0.99885584	1.0	0.10524171	0.19249316	0.67082039	9.0	0.0	1.0	1.0	1661.88543129	28.0	3.0	8.0
0.98989898	0.90909094	1.0	1.0	0.08169481	0.22711371	0.67082039	9.0	0.0	1.0	1.0	1687.71638036	29.0	4.0	8.0
0.97979796	0.81818181	0.99527745	0.83333333	0.13106939	0.54727155	0.51639778	8.0	0.0	2.0	1.0	1710.42371964	18.0	5.0	8.0
0.98989898	0.72727275	1.0	0.83333333	0.10589235	0.44918644	0.38575837	6.0	2.0	1.0	2.0	1733.38193583	20.0	6.0	8.0
1.0	0.90909094	1.0	1.0	0.00823523	0.16182567	0.81009259	7.0	1.0	0.0	3.0	1761.92942667	148.0	7.0	8.0
0.969697	0.72727275	0.99704841	0.875	0.14593098	0.46127984	0.0	8.0	0.0	3.0	0.0	1786.21213269	18.0	8.0	8.0
0.93939394	0.72727275	0.99114522	0.83333333	0.18604905	0.60948682	0.0	8.0	0.0	3.0	0.0	1810.9472928	10.0	9.0	8.0
1.0	0.81818181	1.0	0.88888889	0.05433719	0.34410214	0.0	9.0	0.0	2.0	0.0	1836.1354022	45.0	0.0	9.0
1.0	1.0	1.0	1.0	0.00098148	0.02547823	1.0	9.0	0.0	0.0	2.0	1877.07248425	500.0	1.0	9.0
