train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
0.76211452	0.57692307	0.86998299	0.4379085	0.49723665	0.73997607	-0.08618128	1.0	8.0	3.0	14.0	99.67737699	10.0	0.0	1.0
0.74449337	0.46153846	0.86335034	0.52287582	0.51228075	0.73630194	-0.3550358	0.0	9.0	5.0	12.0	129.11182332	8.0	1.0	1.0
0.76651984	0.65384614	0.87236395	0.60130719	0.50931411	0.64792809	0.13789005	2.0	7.0	2.0	15.0	158.29743123	9.0	2.0	1.0
0.75	0.60000002	0.87864282	0.52205882	0.50558117	0.6551203	-0.20228869	0.0	8.0	2.0	15.0	192.18355894	9.0	3.0	1.0
0.85526317	0.72000003	0.96494932	0.77777778	0.38500902	0.57809352	0.35460407	3.0	6.0	1.0	15.0	224.42343068	16.0	4.0	1.0
0.78947371	0.68000001	0.86807432	0.38194444	0.510676	0.80447952	0.27216553	1.0	8.0	0.0	16.0	261.72567797	8.0	5.0	1.0
0.74122804	0.56	0.85675676	0.45138889	0.51805749	0.71739381	-0.10001653	1.0	8.0	3.0	13.0	297.30246902	9.0	6.0	1.0
0.89035088	0.72000003	0.97795608	0.68055556	0.3713776	0.63208577	0.39317855	2.0	7.0	0.0	16.0	343.7026329	21.0	7.0	1.0
0.83771932	0.63999999	0.94966216	0.52083333	0.42026317	0.74231618	0.12729377	2.0	7.0	2.0	14.0	375.86148953	15.0	8.0	1.0
0.89035088	0.60000002	0.97103041	0.51388889	0.36999669	0.72857166	-0.02051525	1.0	8.0	2.0	14.0	412.3096292	23.0	9.0	1.0
0.8325991	0.76923078	0.9327381	0.75163399	0.43884736	0.55403346	0.49636359	3.0	6.0	0.0	17.0	453.1468854	15.0	0.0	2.0
0.84140968	0.53846157	0.93818027	0.52941176	0.41372134	0.68505433	-0.07711185	2.0	7.0	5.0	12.0	487.07720447	16.0	1.0	2.0
0.90308368	0.69230771	0.98664966	0.7254902	0.3227923	0.53105256	0.24331548	2.0	7.0	1.0	16.0	519.09677649	31.0	2.0	2.0
0.82456142	0.68000001	0.93961535	0.625	0.45132363	0.61347149	0.11378739	1.0	7.0	1.0	16.0	555.07581711	12.0	3.0	2.0
0.89473683	0.63999999	0.98226351	0.60416667	0.33842203	0.71298818	0.08600781	1.0	8.0	1.0	15.0	592.35418272	27.0	4.0	2.0
0.77631581	0.60000002	0.87483108	0.48611111	0.49789103	0.73721653	-0.15309311	0.0	9.0	1.0	15.0	631.96653438	8.0	5.0	2.0
0.88157892	0.60000002	0.96942568	0.58333333	0.38606881	0.68616448	-0.02051525	1.0	8.0	2.0	14.0	672.48009348	18.0	6.0	2.0
0.7631579	0.60000002	0.88555743	0.51388889	0.49070863	0.70957081	-0.15309311	0.0	9.0	1.0	15.0	707.2420094	10.0	7.0	2.0
0.78947371	0.60000002	0.89653716	0.55555556	0.4745716	0.68614103	-0.15309311	0.0	9.0	1.0	15.0	735.98329306	10.0	8.0	2.0
0.74561405	0.63999999	0.84552365	0.41666667	0.522172	0.77942001	0.08600781	1.0	8.0	1.0	15.0	781.10823917	8.0	9.0	2.0
0.78414094	0.65384614	0.89183673	0.52941176	0.4880526	0.67597572	0.13789005	2.0	7.0	2.0	15.0	810.18175244	10.0	0.0	3.0
0.78414094	0.69230771	0.87865646	0.55555556	0.49847089	0.67357471	0.26035959	3.0	6.0	2.0	15.0	844.03111482	9.0	1.0	3.0
0.98678416	0.65384614	0.99914966	0.70588235	0.1865867	0.61612267	0.09335201	1.0	8.0	1.0	16.0	879.99279046	61.0	2.0	3.0
0.89035088	0.60000002	0.98429495	0.66911765	0.33269564	0.63288527	0.01606231	2.0	6.0	4.0	13.0	912.28275299	29.0	3.0	3.0
0.80701756	0.56	0.91714527	0.48611111	0.45734587	0.77764576	-0.10001653	1.0	8.0	3.0	13.0	943.47533417	10.0	4.0	3.0
0.94298244	0.56	0.99197635	0.73611111	0.27885204	0.57406631	-0.10001653	1.0	8.0	3.0	13.0	977.80133915	36.0	5.0	3.0
0.95175439	0.68000001	0.99214527	0.59722222	0.28784814	0.67207579	0.23592536	2.0	7.0	1.0	15.0	1020.17925668	30.0	6.0	3.0
0.75438595	0.63999999	0.84940878	0.59027778	0.52305276	0.66819448	0.16390252	3.0	6.0	3.0	13.0	1059.89960289	8.0	7.0	3.0
0.75	0.63999999	0.86638514	0.52777778	0.51031322	0.69422327	0.08600781	1.0	8.0	1.0	15.0	1091.35519457	8.0	8.0	3.0
0.78070176	0.60000002	0.90793919	0.60416667	0.47717042	0.67326643	-0.02051525	1.0	8.0	2.0	14.0	1125.02383423	10.0	9.0	3.0
0.79295152	0.46153846	0.90833333	0.22875817	0.4660103	0.9067285	-0.3550358	0.0	9.0	5.0	12.0	1160.68266797	9.0	0.0	4.0
0.7709251	0.65384614	0.87653061	0.59477124	0.50260074	0.6401825	0.13789005	2.0	7.0	2.0	15.0	1192.8770957	9.0	1.0	4.0
0.80616742	0.61538464	0.90212585	0.49673203	0.47361557	0.69624317	-0.14552138	0.0	9.0	1.0	16.0	1223.89258385	12.0	2.0	4.0
0.75438595	0.56	0.85655497	0.61029412	0.52050456	0.64924867	-0.04583492	2.0	6.0	5.0	12.0	1265.56540513	8.0	3.0	4.0
0.74561405	0.56	0.87846284	0.64583333	0.5031109	0.62598454	-0.10001653	1.0	8.0	3.0	13.0	1316.36456132	8.0	4.0	4.0
0.7719298	0.60000002	0.85709459	0.40277778	0.51089716	0.72244589	-0.02051525	1.0	8.0	2.0	14.0	1347.08129311	8.0	5.0	4.0
0.81578946	0.47999999	0.915625	0.375	0.45052909	0.81124912	-0.32732684	0.0	9.0	4.0	12.0	1381.18230772	12.0	6.0	4.0
0.99122804	0.80000001	0.99991554	0.81944444	0.20626175	0.49922331	0.55414661	5.0	4.0	1.0	15.0	1415.38841772	45.0	7.0	4.0
0.7850877	0.60000002	0.87964527	0.52777778	0.49601788	0.6718827	0.04166667	2.0	7.0	3.0	13.0	1455.95844388	8.0	8.0	4.0
0.9780702	0.83999997	0.99923986	0.80555556	0.21811472	0.50676736	0.66666667	5.0	4.0	0.0	16.0	1500.8701818	47.0	9.0	4.0
0.78854626	0.57692307	0.91632653	0.36601307	0.44372715	0.80952722	-0.08618128	1.0	8.0	3.0	14.0	1547.7507062	11.0	0.0	5.0
0.77533042	0.57692307	0.87542517	0.58169935	0.50468292	0.65904141	-0.01476025	2.0	7.0	4.0	13.0	1578.67094445	9.0	1.0	5.0
0.78854626	0.65384614	0.89336735	0.58823529	0.48758298	0.67791412	0.13789005	2.0	7.0	2.0	15.0	1612.8284843	8.0	2.0	5.0
0.75877196	0.68000001	0.87217603	0.54411765	0.51728597	0.6391397	0.11378739	1.0	7.0	1.0	16.0	1646.58064198	8.0	3.0	5.0
0.81578946	0.51999998	0.89206081	0.4375	0.47471746	0.81109377	-0.27695585	0.0	9.0	3.0	13.0	1682.70897079	10.0	4.0	5.0
0.75877196	0.60000002	0.85548986	0.50694444	0.51281228	0.71597563	0.04166667	2.0	7.0	3.0	13.0	1725.52051067	8.0	5.0	5.0
0.7631579	0.63999999	0.85743243	0.59722222	0.5257612	0.64768913	0.12729377	2.0	7.0	2.0	14.0	1763.71350908	8.0	6.0	5.0
0.76754385	0.72000003	0.88961149	0.74305556	0.49574309	0.58539582	0.35902456	4.0	5.0	2.0	14.0	1797.20071602	9.0	7.0	5.0
0.95175439	0.68000001	0.99628378	0.72222222	0.25735237	0.60607748	0.27216553	1.0	8.0	0.0	16.0	1842.72264624	45.0	8.0	5.0
0.83333331	0.51999998	0.95422297	0.72222222	0.43374066	0.60057861	-0.16666667	1.0	8.0	4.0	12.0	1877.86764312	13.0	9.0	5.0
0.75770926	0.69230771	0.8542517	0.49673203	0.52348696	0.66515867	0.24331548	2.0	7.0	1.0	16.0	1920.5014267	8.0	0.0	6.0
0.74449337	0.53846157	0.82704082	0.5751634	0.5383037	0.64762986	-0.07711185	2.0	7.0	5.0	12.0	1956.346071	6.0	1.0	6.0
0.907489	0.73076922	0.98333333	0.69281046	0.35531684	0.57838375	0.36196138	3.0	6.0	1.0	16.0	1995.99345708	27.0	2.0	6.0
0.83333331	0.56	0.94020324	0.42647059	0.43219747	0.73241272	-0.12862394	1.0	7.0	4.0	13.0	2030.93299603	12.0	3.0	6.0
0.78070176	0.63999999	0.85755912	0.35416667	0.52032442	0.78068437	0.08600781	1.0	8.0	1.0	15.0	2072.50272322	8.0	4.0	6.0
0.79824561	0.56	0.89932432	0.51388889	0.4782894	0.74798596	-0.10001653	1.0	8.0	3.0	13.0	2113.4561398	8.0	5.0	6.0
0.88596493	0.63999999	0.96934122	0.70833333	0.38947911	0.64201148	0.08600781	1.0	8.0	1.0	15.0	2147.94219398	18.0	6.0	6.0
0.97368419	0.72000003	0.99907095	0.78472222	0.23738735	0.54357961	0.35460407	3.0	6.0	1.0	15.0	2190.31849337	38.0	7.0	6.0
0.77631581	0.63999999	0.890625	0.67361111	0.49629877	0.61143222	0.08600781	1.0	8.0	1.0	15.0	2224.63960743	8.0	8.0	6.0
0.87719297	0.63999999	0.97111486	0.67361111	0.37609011	0.62790471	0.23814484	5.0	4.0	5.0	11.0	2264.98342133	20.0	9.0	6.0
0.77533042	0.57692307	0.8829932	0.55555556	0.48985513	0.65936047	-0.08618128	1.0	8.0	3.0	14.0	2299.24758077	8.0	0.0	7.0
0.74449337	0.69230771	0.87185374	0.75163399	0.51720634	0.57635457	0.24331548	2.0	7.0	1.0	16.0	2338.19954228	9.0	1.0	7.0
0.90308368	0.61538464	0.97397959	0.61437908	0.36561339	0.64297813	0.1503268	4.0	5.0	5.0	12.0	2380.04275942	20.0	2.0	7.0
0.77631581	0.68000001	0.90173847	0.43382353	0.47165614	0.71967015	0.16840827	2.0	6.0	2.0	15.0	2418.93327332	11.0	3.0	7.0
0.7850877	0.56	0.89940878	0.52083333	0.48024568	0.68023866	-0.03121953	2.0	7.0	4.0	12.0	2456.79218054	10.0	4.0	7.0
0.82456142	0.68000001	0.94442568	0.6875	0.4331546	0.60146504	0.25	3.0	6.0	2.0	14.0	2492.01868343	13.0	5.0	7.0
0.80701756	0.60000002	0.91351351	0.58333333	0.46275825	0.66998521	-0.15309311	0.0	9.0	1.0	15.0	2527.52560115	12.0	6.0	7.0
0.79824561	0.68000001	0.91528716	0.73611111	0.47220764	0.59930945	0.23592536	2.0	7.0	1.0	15.0	2563.81214714	12.0	7.0	7.0
0.80263156	0.56	0.93766892	0.57638889	0.44065262	0.71025201	-0.03121953	2.0	7.0	4.0	12.0	2606.84065056	12.0	8.0	7.0
0.81140351	0.68000001	0.92744932	0.68055556	0.4452931	0.63339962	0.25	3.0	6.0	2.0	14.0	2645.43686295	12.0	9.0	7.0
0.87224668	0.5	0.9630102	0.54248366	0.37825119	0.70734237	-0.0766965	3.0	6.0	7.0	10.0	2681.08443022	19.0	0.0	8.0
0.76651984	0.65384614	0.87687075	0.64052288	0.50219276	0.62550416	0.0	0.0	9.0	0.0	17.0	2726.09536576	10.0	1.0	8.0
0.76651984	0.69230771	0.8712585	0.50980392	0.50425043	0.68634041	0.27487371	1.0	8.0	0.0	17.0	2766.20003152	8.0	2.0	8.0
0.79824561	0.60000002	0.88536155	0.49264706	0.493805	0.691826	-0.0654921	1.0	7.0	3.0	14.0	2803.50866079	10.0	3.0	8.0
0.77631581	0.60000002	0.89586149	0.5	0.48405828	0.68586906	-0.15309311	0.0	9.0	1.0	15.0	2840.29317617	10.0	4.0	8.0
0.76754385	0.56	0.86807432	0.58333333	0.50950262	0.6689039	-0.10001653	1.0	8.0	3.0	13.0	2886.38535905	8.0	5.0	8.0
0.7149123	0.51999998	0.80853041	0.56944444	0.55387653	0.67353443	-0.16666667	1.0	8.0	4.0	12.0	2924.43390393	6.0	6.0	8.0
0.73245615	0.63999999	0.84763514	0.60416667	0.53211344	0.65498909	0.08600781	1.0	8.0	1.0	15.0	2961.51945758	8.0	7.0	8.0
0.72368419	0.56	0.82035473	0.48611111	0.54298549	0.6967198	-0.22116293	0.0	9.0	2.0	14.0	3001.01051044	6.0	8.0	8.0
0.78947371	0.63999999	0.9035473	0.54861111	0.47756876	0.65983994	0.08600781	1.0	8.0	1.0	15.0	3036.5541501	8.0	9.0	8.0
0.77533042	0.61538464	0.87151361	0.64052288	0.50663412	0.65617806	0.05522779	2.0	7.0	3.0	14.0	3072.37377048	8.0	0.0	9.0
