filename	train_acc	val_acc	train_auc	val_auc	train_los	val_los	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
/home/ubuntu/gene-abundance/experiment/results/fc_model/qtf_pc576_10_fillseqf_nb10_auy_rainbow/colgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_fc_o1adam_lr-1.0de0.0e500_20200224_155954c255.0di-1ch3dfc0.0file_sum_ok.txt	0.926	0.769	0.972	0.8	0.281	0.474	0.501	7.0	1.0	2.0	3.0	54.258	9.0	0	1
/home/ubuntu/gene-abundance/experiment/results/fc_model/qtf_pc576_10_fillseqf_nb10_auy_rainbow/colgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_fc_o1adam_lr-1.0de0.0e500_20200224_155954c255.0di-1ch3dfc0.0file_sum_ok.txt	1.0	0.917	1.0	0.938	0.047	0.23	0.816	8.0	0.0	1.0	3.0	77.618	62.0	0	2
/home/ubuntu/gene-abundance/experiment/results/fc_model/qtf_pc576_10_fillseqf_nb10_auy_rainbow/colgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_fc_o1adam_lr-1.0de0.0e500_20200224_155954c255.0di-1ch3dfc0.0file_sum_ok.txt	1.0	0.917	1.0	0.969	0.04	0.356	0.837	7.0	1.0	0.0	4.0	100.171	73.0	0	3
/home/ubuntu/gene-abundance/experiment/results/fc_model/qtf_pc576_10_fillseqf_nb10_auy_rainbow/colgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_fc_o1adam_lr-1.0de0.0e500_20200224_155954c255.0di-1ch3dfc0.0file_sum_ok.txt	0.991	0.833	1.0	0.8	0.1	0.654	0.683	7.0	0.0	2.0	3.0	133.89	33.0	0	4
/home/ubuntu/gene-abundance/experiment/results/fc_model/qtf_pc576_10_fillseqf_nb10_auy_rainbow/colgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_fc_o1adam_lr-1.0de0.0e500_20200224_155954c255.0di-1ch3dfc0.0file_sum_ok.txt	0.954	0.833	0.993	0.829	0.211	0.538	0.683	7.0	0.0	2.0	3.0	153.807	15.0	0	5
/home/ubuntu/gene-abundance/experiment/results/fc_model/qtf_pc576_10_fillseqf_nb10_auy_rainbow/colgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_fc_o1adam_lr-1.0de0.0e500_20200224_155954c255.0di-1ch3dfc0.0file_sum_ok.txt	1.0	1.0	1.0	1.0	0.001	0.069	1.0	7.0	0.0	0.0	5.0	185.82	500.0	0	6
/home/ubuntu/gene-abundance/experiment/results/fc_model/qtf_pc576_10_fillseqf_nb10_auy_rainbow/colgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_fc_o1adam_lr-1.0de0.0e500_20200224_155954c255.0di-1ch3dfc0.0file_sum_ok.txt	0.853	0.667	0.931	0.657	0.364	0.614	0.293	6.0	1.0	3.0	2.0	207.135	6.0	0	7
/home/ubuntu/gene-abundance/experiment/results/fc_model/qtf_pc576_10_fillseqf_nb10_auy_rainbow/colgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_fc_o1adam_lr-1.0de0.0e500_20200224_155954c255.0di-1ch3dfc0.0file_sum_ok.txt	1.0	0.833	1.0	0.914	0.015	0.404	0.714	5.0	2.0	0.0	5.0	229.966	114.0	0	8
/home/ubuntu/gene-abundance/experiment/results/fc_model/qtf_pc576_10_fillseqf_nb10_auy_rainbow/colgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_fc_o1adam_lr-1.0de0.0e500_20200224_155954c255.0di-1ch3dfc0.0file_sum_ok.txt	1.0	0.917	1.0	0.943	0.009	0.283	0.845	6.0	1.0	0.0	5.0	255.442	168.0	0	9
/home/ubuntu/gene-abundance/experiment/results/fc_model/qtf_pc576_10_fillseqf_nb10_auy_rainbow/colgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_fc_o1adam_lr-1.0de0.0e500_20200224_155954c255.0di-1ch3dfc0.0file_sum_ok.txt	0.936	0.667	0.969	0.857	0.272	0.47	0.314	5.0	2.0	2.0	3.0	275.212	11.0	1	0
