train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
0.69579285	0.6857143	0.91825876	0.72222222	0.57356857	0.63219588	0.37340802	14.0	4.0	7.0	10.0	138.42178106	23.0	0.0	1.0
0.605178	0.48571429	0.85792693	0.57843137	0.669433	0.71728044	-0.0571662	14.0	4.0	14.0	3.0	177.87944746	9.0	1.0	1.0
0.55987054	0.54285717	0.84234121	0.58496732	0.71646188	0.66019832	0.08092173	13.0	5.0	11.0	6.0	218.56388474	9.0	2.0	1.0
0.70873785	0.65714288	0.92676387	0.72222222	0.56411227	0.59051707	0.31354672	13.0	5.0	7.0	10.0	261.42562795	22.0	3.0	1.0
0.7870968	0.58823532	0.95845302	0.6366782	0.48054974	0.71269039	0.2	14.0	3.0	11.0	6.0	305.43118024	40.0	4.0	1.0
0.9967742	0.67647058	1.0	0.76124567	0.16059182	0.62083334	0.35355339	11.0	6.0	5.0	12.0	360.30636668	124.0	5.0	1.0
0.61935484	0.52941179	0.88905541	0.68512111	0.63870066	0.68225927	0.0727393	14.0	3.0	13.0	4.0	399.03000426	14.0	6.0	1.0
0.97741938	0.7647059	0.99991674	0.82698962	0.21262433	0.51901238	0.53311399	12.0	5.0	3.0	14.0	449.94831371	143.0	7.0	1.0
0.69999999	0.61764705	0.92123559	0.69204152	0.55139424	0.65255782	0.23904572	12.0	5.0	8.0	9.0	501.88127542	22.0	8.0	1.0
0.58387095	0.61764705	0.83272969	0.5916955	0.70488597	0.73649564	0.25819889	14.0	3.0	10.0	7.0	541.53196931	9.0	9.0	1.0
0.70226538	0.62857145	0.90887381	0.65359477	0.58696203	0.65676197	0.25671802	13.0	5.0	8.0	9.0	583.34484673	14.0	0.0	2.0
0.54692554	0.5714286	0.82256578	0.6372549	0.7178822	0.7239965	0.14462031	14.0	4.0	11.0	6.0	623.08660817	9.0	1.0	2.0
0.74757284	0.6857143	0.94121837	0.7875817	0.53223287	0.59094469	0.39770584	16.0	2.0	9.0	8.0	666.97964215	29.0	2.0	2.0
0.55339807	0.60000002	0.84150327	0.59477124	0.70392889	0.71403558	0.25671802	17.0	1.0	13.0	4.0	706.35718131	9.0	3.0	2.0
0.71935487	0.58823532	0.934474	0.67128028	0.51893145	0.68490643	0.18156826	12.0	5.0	9.0	8.0	758.56835985	31.0	4.0	2.0
0.81935483	0.64705884	0.9743974	0.71626298	0.42136765	0.661289	0.29411765	11.0	6.0	6.0	11.0	807.12001157	54.0	5.0	2.0
0.71935487	0.61764705	0.92660589	0.67474048	0.55718997	0.65163292	0.23904572	12.0	5.0	8.0	9.0	854.61628318	27.0	6.0	2.0
0.67741936	0.67647058	0.87835644	0.69550173	0.60932413	0.62456813	0.36927447	14.0	3.0	8.0	9.0	896.80942512	16.0	7.0	2.0
0.60000002	0.5	0.85441905	0.57093426	0.65873647	0.7278953	0.0	10.0	7.0	10.0	7.0	948.89030814	11.0	8.0	2.0
