train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
0.90697676	0.5	0.97587719	0.64	0.32132739	0.75141096	0.0	1.0	4.0	1.0	4.0	33.14930367	17.0	0.0	1.0
0.95348835	0.60000002	0.99671053	0.64	0.26123706	0.82592058	0.21821789	4.0	1.0	3.0	2.0	56.22643495	22.0	1.0	1.0
1.0	0.80000001	1.0	0.8	0.1257946	0.51615369	0.6	4.0	1.0	1.0	4.0	71.0292263	47.0	2.0	1.0
0.91860467	0.5	0.97817785	0.5	0.34116326	0.71757996	-0.08908708	1.0	3.0	2.0	4.0	88.03601956	15.0	3.0	1.0
0.93023258	0.60000002	0.9858156	0.79166667	0.28442522	0.57848251	0.25	3.0	1.0	3.0	3.0	101.98401856	22.0	4.0	1.0
0.95348835	0.5	0.99672668	0.70833333	0.25697761	0.59005386	0.0	2.0	2.0	3.0	3.0	115.52501774	22.0	5.0	1.0
0.83908045	0.66666669	0.92467949	0.5	0.44781204	0.84126365	0.35	3.0	1.0	2.0	3.0	132.11704111	8.0	6.0	1.0
0.82758623	0.55555558	0.90598291	0.65	0.45757825	0.7138086	0.1	2.0	2.0	2.0	3.0	149.24540353	8.0	7.0	1.0
0.90804595	0.44444445	0.95245726	0.55	0.37025861	0.77851039	-0.1	2.0	2.0	3.0	2.0	164.71591711	12.0	8.0	1.0
1.0	0.77777779	1.0	1.0	0.00851377	0.41918242	0.63245553	4.0	0.0	2.0	3.0	187.92323613	306.0	9.0	1.0
0.89534885	0.69999999	0.96217105	0.68	0.37020573	0.65838039	0.40824829	4.0	1.0	2.0	3.0	201.16616368	13.0	0.0	2.0
0.93023258	0.80000001	0.9808114	0.76	0.32235828	0.59570044	0.65465367	3.0	2.0	0.0	5.0	216.37628174	17.0	1.0	2.0
0.88372093	0.5	0.96052632	0.68	0.37765442	0.66953963	0.0	1.0	4.0	1.0	4.0	232.5284543	11.0	2.0	2.0
