train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
0.84615386	0.70833331	0.93488716	0.79861111	0.56987716	0.62002496	0.41812101	8.0	4.0	3.0	9.0	936.24129128	500.0	0.0	1.0
0.86057693	0.75	0.93479467	0.90972222	0.57957731	0.57725739	0.50709255	10.0	2.0	4.0	8.0	1780.02817035	500.0	1.0	1.0
0.85576922	0.79166669	0.92915279	0.89583333	0.57605802	0.58843005	0.58536941	10.0	2.0	3.0	9.0	2620.14894843	500.0	2.0	1.0
0.83653843	0.91666669	0.92841287	0.97222222	0.57834329	0.57621411	0.83333333	11.0	1.0	1.0	11.0	3452.74264908	500.0	3.0	1.0
0.82296652	0.60869563	0.91500275	0.68939394	0.56192384	0.66432456	0.21969697	7.0	4.0	5.0	7.0	4509.13761544	500.0	4.0	1.0
0.80382776	0.9130435	0.90419491	0.97727273	0.57339931	0.57671574	0.82575758	10.0	1.0	1.0	11.0	5574.83737612	500.0	5.0	1.0
0.80382776	0.82608694	0.90813336	0.84848485	0.56945944	0.61632415	0.65909298	8.0	3.0	1.0	11.0	6622.98015714	500.0	6.0	1.0
0.80861247	0.78260869	0.90566038	0.87121212	0.57516156	0.57453716	0.58002308	7.0	4.0	1.0	11.0	7686.92098546	500.0	7.0	1.0
0.86190474	0.72727275	0.93430723	0.80991736	0.56499398	0.62111225	0.45454545	8.0	3.0	3.0	8.0	8725.1605742	500.0	8.0	1.0
0.8238095	0.63636363	0.92922602	0.76033058	0.56512313	0.63209676	0.39735971	3.0	8.0	0.0	11.0	9764.84332681	500.0	9.0	1.0
0.83653843	0.75	0.92656308	0.83333333	0.57388824	0.60777676	0.50709255	8.0	4.0	2.0	10.0	10822.14498687	500.0	0.0	2.0
0.84615386	0.875	0.93220496	0.88888889	0.58028095	0.56363969	0.75261781	11.0	1.0	2.0	10.0	11887.06954288	500.0	1.0	2.0
0.82211536	0.625	0.91990381	0.74305556	0.56982846	0.62744425	0.2508726	7.0	5.0	4.0	8.0	12952.2022543	500.0	2.0	2.0
0.85096157	0.79166669	0.92758047	0.91666667	0.57188743	0.61757743	0.60246408	11.0	1.0	4.0	8.0	14020.81646276	500.0	3.0	2.0
0.79425836	0.78260869	0.91097271	0.84848485	0.57140632	0.59705359	0.56818182	9.0	2.0	3.0	9.0	15045.51224494	500.0	4.0	2.0
0.81818181	0.78260869	0.90849973	0.85606061	0.57052022	0.59543887	0.56490196	8.0	3.0	2.0	10.0	16057.23870349	500.0	5.0	2.0
0.81818181	0.73913044	0.91335409	0.90151515	0.56807834	0.61157521	0.50168817	6.0	5.0	1.0	11.0	17100.79099274	500.0	6.0	2.0
0.81818181	0.78260869	0.91601026	0.90909091	0.57193097	0.58573677	0.56490196	8.0	3.0	2.0	10.0	18140.67990279	500.0	7.0	2.0
0.86666667	0.63636363	0.93176663	0.80991736	0.5686516	0.6103633	0.27272727	7.0	4.0	4.0	7.0	19171.21986175	500.0	8.0	2.0
0.8142857	0.68181819	0.92813719	0.85123967	0.56948437	0.60284754	0.37796447	6.0	5.0	2.0	9.0	20214.24604559	500.0	9.0	2.0
0.84615386	0.91666669	0.92267851	0.98611111	0.58529037	0.52976065	0.84515425	10.0	2.0	0.0	12.0	21242.55416465	500.0	0.0	3.0
0.84134614	0.70833331	0.92785794	0.79166667	0.56643934	0.64087735	0.41812101	9.0	3.0	4.0	8.0	22281.52189231	500.0	1.0	3.0
0.84134614	0.58333331	0.92425083	0.73611111	0.56810841	0.64223925	0.16903085	6.0	6.0	4.0	8.0	23353.85068226	500.0	2.0	3.0
0.86538464	0.66666669	0.93673696	0.88194444	0.57262624	0.61896946	0.3380617	9.0	3.0	5.0	7.0	24423.10940719	500.0	3.0	3.0
0.81339711	0.73913044	0.91582707	0.78787879	0.56821435	0.62265476	0.47727273	8.0	3.0	3.0	9.0	25441.78849745	500.0	4.0	3.0
0.80861247	0.73913044	0.91179703	0.83333333	0.57289563	0.59260444	0.47727273	8.0	3.0	3.0	9.0	26462.13523769	500.0	5.0	3.0
0.79425836	0.9130435	0.90758381	0.96969697	0.57649591	0.55568754	0.83971912	11.0	0.0	2.0	10.0	27478.81131148	500.0	6.0	3.0
0.81339711	0.82608694	0.91417842	0.89393939	0.56869672	0.61615873	0.65151515	9.0	2.0	2.0	10.0	28488.21334791	500.0	7.0	3.0
0.8238095	0.63636363	0.93276472	0.76033058	0.56401756	0.63382614	0.29277002	5.0	6.0	2.0	9.0	29493.15396214	500.0	8.0	3.0
0.8142857	0.77272725	0.91733962	0.80991736	0.57246556	0.59935285	0.54772256	8.0	3.0	2.0	9.0	30495.4269259	500.0	9.0	3.0
0.83173078	0.79166669	0.92656308	0.85416667	0.5721323	0.61374702	0.58536941	10.0	2.0	3.0	9.0	31526.77140975	500.0	0.0	4.0
0.84615386	0.79166669	0.92924528	0.88888889	0.57568704	0.59401548	0.58536941	9.0	3.0	2.0	10.0	32568.53855848	500.0	1.0	4.0
0.85096157	0.625	0.93229745	0.82638889	0.56936849	0.63156182	0.27500955	10.0	2.0	7.0	5.0	33620.79249835	500.0	2.0	4.0
0.82692307	0.75	0.91666667	0.92361111	0.57544699	0.58440111	0.50709255	8.0	4.0	2.0	10.0	34678.64796352	500.0	3.0	4.0
0.79904306	0.86956519	0.90822495	0.95454545	0.57630574	0.56682402	0.74242424	10.0	1.0	2.0	10.0	35733.51632404	500.0	4.0	4.0
0.81818181	0.65217394	0.91170544	0.84848485	0.57092453	0.60028764	0.3030303	7.0	4.0	4.0	8.0	36774.11331344	500.0	5.0	4.0
0.81339711	0.86956519	0.91747573	0.93181818	0.56966398	0.60384325	0.74047959	9.0	2.0	1.0	11.0	37809.42678738	500.0	6.0	4.0
0.83253586	0.78260869	0.9245283	0.85606061	0.56904552	0.61750108	0.58002308	7.0	4.0	1.0	11.0	38851.22184753	500.0	7.0	4.0
0.81904763	0.72727275	0.92977044	0.87603306	0.57327716	0.57569933	0.46225016	7.0	4.0	2.0	9.0	39889.04712582	500.0	8.0	4.0
