train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
0.6111111	0.61538464	0.88336315	0.6	0.62664264	0.66648841	0.0	8.0	0.0	5.0	0.0	266.68325877	221.0	0.0	1.0
0.67592591	0.61538464	0.90733453	1.0	0.59099488	0.58458626	0.0	8.0	0.0	5.0	0.0	893.5363791	500.0	1.0	1.0
0.73148149	0.61538464	0.91055456	0.8	0.57960945	0.62393951	0.0	8.0	0.0	5.0	0.0	1503.54382324	500.0	2.0	1.0
0.70642203	0.58333331	0.89534884	0.91428571	0.58659891	0.61473972	0.0	7.0	0.0	5.0	0.0	2288.99599385	500.0	3.0	1.0
0.72477067	0.58333331	0.91684285	0.74285714	0.57720421	0.64198166	0.0	7.0	0.0	5.0	0.0	3049.82509542	500.0	4.0	1.0
0.70642203	0.66666669	0.90803383	0.88571429	0.58413959	0.61150301	0.35675303	7.0	0.0	4.0	1.0	3800.79971457	500.0	5.0	1.0
0.70642203	0.58333331	0.89781536	0.85714286	0.58730762	0.61404943	0.0	7.0	0.0	5.0	0.0	4564.31077123	500.0	6.0	1.0
0.72477067	0.66666669	0.92847075	0.57142857	0.57291538	0.67118019	0.35675303	7.0	0.0	4.0	1.0	5020.7878859	500.0	7.0	1.0
0.69090909	0.72727275	0.92424242	0.96428571	0.58664175	0.58942801	0.41833001	7.0	0.0	3.0	1.0	5477.96428418	500.0	8.0	1.0
0.70909089	0.63636363	0.91976584	0.85714286	0.58273036	0.61367053	0.0	7.0	0.0	4.0	0.0	6061.0869205	500.0	9.0	1.0
0.72222221	0.69230771	0.92200358	0.575	0.57789516	0.65252548	0.36514837	8.0	0.0	4.0	1.0	6695.12776208	500.0	0.0	2.0
0.7037037	0.61538464	0.90840787	0.775	0.58101624	0.6297518	0.0	8.0	0.0	5.0	0.0	7306.09752154	500.0	1.0	2.0
