train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
0.77551019	0.75	0.94976077	0.88888889	0.51169211	0.55411774	0.0	9.0	0.0	3.0	0.0	312.21490741	291.0	0.0	1.0
0.77551019	0.75	0.93480861	0.88888889	0.49534594	0.55043477	0.0	9.0	0.0	3.0	0.0	1026.16930461	500.0	1.0	1.0
0.77551019	0.75	0.98325359	0.77777778	0.49682906	0.53599954	0.0	9.0	0.0	3.0	0.0	2008.38214374	500.0	2.0	1.0
0.77551019	0.75	0.94916268	0.7037037	0.51117012	0.55597049	0.0	9.0	0.0	3.0	0.0	2548.42194152	271.0	3.0	1.0
0.77551019	0.75	0.97727273	0.85185185	0.49752221	0.54858071	0.0	9.0	0.0	3.0	0.0	3530.0806756	500.0	4.0	1.0
0.76999998	0.80000001	0.97741389	1.0	0.506289	0.46777859	0.0	8.0	0.0	2.0	0.0	4495.48070979	500.0	5.0	1.0
0.76999998	0.80000001	0.97459063	0.9375	0.50203147	0.48395029	0.0	8.0	0.0	2.0	0.0	5444.49455786	500.0	6.0	1.0
0.76999998	0.80000001	0.96103896	0.625	0.49533245	0.50012314	0.0	8.0	0.0	2.0	0.0	5911.25154495	500.0	7.0	1.0
0.76999998	0.80000001	0.97289667	0.75	0.50132815	0.49248496	0.0	8.0	0.0	2.0	0.0	6419.3577733	500.0	8.0	1.0
0.76999998	0.80000001	0.96950875	1.0	0.50128381	0.48575458	0.0	8.0	0.0	2.0	0.0	7071.71335101	500.0	9.0	1.0
0.77551019	0.75	0.96949761	0.92592593	0.49746972	0.54531676	0.0	9.0	0.0	3.0	0.0	7713.7837851	500.0	0.0	2.0
0.77551019	0.75	0.9312201	0.51851852	0.51336473	0.56256127	0.0	9.0	0.0	3.0	0.0	8054.69028878	243.0	1.0	2.0
0.77551019	0.75	0.97308612	0.92592593	0.49617851	0.54185009	0.0	9.0	0.0	3.0	0.0	8751.48472977	500.0	2.0	2.0
0.77551019	0.75	0.96889952	1.0	0.50074996	0.53525954	0.0	9.0	0.0	3.0	0.0	9486.51113987	500.0	3.0	2.0
0.77551019	0.75	0.96052632	0.7037037	0.51001659	0.55717665	0.0	9.0	0.0	3.0	0.0	9769.77309632	282.0	4.0	2.0
0.76999998	0.80000001	0.96499153	0.9375	0.50030852	0.48917189	0.0	8.0	0.0	2.0	0.0	10272.63756108	500.0	5.0	2.0
