train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
0.64757711	0.65384614	0.82517007	0.5751634	0.58785115	0.6346819	0.0	0.0	9.0	0.0	17.0	927.70540428	500.0	0.0	1.0
0.64757711	0.65384614	0.79362245	0.64052288	0.62656261	0.63834161	0.0	0.0	9.0	0.0	17.0	1250.12169647	179.0	1.0	1.0
0.64757711	0.65384614	0.77355442	0.5620915	0.63509561	0.64554071	0.0	0.0	9.0	0.0	17.0	1429.84195304	98.0	2.0	1.0
0.64473683	0.68000001	0.83429915	0.66176471	0.59139301	0.61301029	0.0	0.0	8.0	0.0	17.0	2312.31082726	500.0	3.0	1.0
0.64912283	0.63999999	0.83412162	0.74305556	0.59384202	0.62430946	0.0	0.0	9.0	0.0	16.0	3178.22340298	500.0	4.0	1.0
0.65350878	0.63999999	0.82787162	0.56944444	0.58761277	0.64716846	0.0	0.0	9.0	0.0	16.0	4024.25716782	500.0	5.0	1.0
0.64912283	0.63999999	0.8120777	0.59027778	0.61176211	0.65137551	0.0	0.0	9.0	0.0	16.0	4500.95938683	279.0	6.0	1.0
0.64912283	0.63999999	0.84366554	0.61111111	0.58988106	0.63287121	0.0	0.0	9.0	0.0	16.0	5346.28783679	500.0	7.0	1.0
0.64912283	0.63999999	0.82652027	0.57638889	0.59046528	0.64505603	0.0	0.0	9.0	0.0	16.0	6130.64830947	466.0	8.0	1.0
0.64912283	0.63999999	0.83530405	0.65972222	0.5896166	0.63076423	0.0	0.0	9.0	0.0	16.0	6972.8046484	500.0	9.0	1.0
0.65198237	0.65384614	0.84294218	0.63398693	0.59075361	0.62783924	0.0	0.0	9.0	0.0	17.0	7804.98642159	500.0	0.0	2.0
0.64757711	0.65384614	0.7627551	0.59477124	0.63421394	0.6440119	0.0	0.0	9.0	0.0	17.0	8030.64861488	101.0	1.0	2.0
0.64757711	0.65384614	0.82636054	0.71895425	0.59264499	0.61955478	0.0	0.0	9.0	0.0	17.0	9106.87499809	500.0	2.0	2.0
0.64473683	0.68000001	0.83203158	0.69117647	0.59414453	0.59766587	0.0	0.0	8.0	0.0	17.0	10189.24089861	500.0	3.0	2.0
0.64912283	0.63999999	0.83277027	0.64583333	0.58955776	0.64081227	0.0	0.0	9.0	0.0	16.0	11264.57694149	500.0	4.0	2.0
0.64912283	0.63999999	0.75168919	0.40277778	0.63885964	0.65572451	0.0	0.0	9.0	0.0	16.0	11409.91309047	63.0	5.0	2.0
0.64912283	0.63999999	0.82702703	0.84722222	0.59431993	0.60864861	0.0	0.0	9.0	0.0	16.0	12481.00100112	500.0	6.0	2.0
0.64912283	0.63999999	0.77998311	0.64583333	0.62875459	0.64981321	0.0	0.0	9.0	0.0	16.0	12815.63619876	151.0	7.0	2.0
0.64912283	0.63999999	0.83834459	0.625	0.58849927	0.64385172	0.0	0.0	9.0	0.0	16.0	13889.02519608	500.0	8.0	2.0
0.64912283	0.63999999	0.76418919	0.44444444	0.63847053	0.65411786	0.0	0.0	9.0	0.0	16.0	14040.81963587	69.0	9.0	2.0
0.64757711	0.65384614	0.81113946	0.48366013	0.60341979	0.64429522	0.0	0.0	9.0	0.0	17.0	14793.59577727	347.0	0.0	3.0
0.64757711	0.65384614	0.84158163	0.66666667	0.59061213	0.62397514	0.0	0.0	9.0	0.0	17.0	15874.64794302	500.0	1.0	3.0
0.64757711	0.65384614	0.8337585	0.69281046	0.59188	0.63367399	0.0	0.0	9.0	0.0	17.0	16984.06083035	500.0	2.0	3.0
0.64473683	0.68000001	0.8005375	0.55147059	0.62195948	0.628219	0.0	0.0	8.0	0.0	17.0	17446.50560093	209.0	3.0	3.0
0.64912283	0.63999999	0.75481419	0.49305556	0.63620198	0.65151277	0.0	0.0	9.0	0.0	16.0	17645.99666572	87.0	4.0	3.0
0.64912283	0.63999999	0.82103041	0.72916667	0.59290401	0.62392782	0.0	0.0	9.0	0.0	16.0	18737.99777532	500.0	5.0	3.0
0.64912283	0.63999999	0.765625	0.45833333	0.63589576	0.65581856	0.0	0.0	9.0	0.0	16.0	18947.73119569	91.0	6.0	3.0
0.64912283	0.63999999	0.83521959	0.63888889	0.5888283	0.64152198	0.0	0.0	9.0	0.0	16.0	20030.21146226	500.0	7.0	3.0
0.64912283	0.63999999	0.83462838	0.75694444	0.59168517	0.61677127	0.0	0.0	9.0	0.0	16.0	21100.3270762	500.0	8.0	3.0
0.64912283	0.63999999	0.83285473	0.68055556	0.59002387	0.62992787	0.0	0.0	9.0	0.0	16.0	22186.42689443	500.0	9.0	3.0
0.64757711	0.65384614	0.76318027	0.47058824	0.6353002	0.64692413	0.0	0.0	9.0	0.0	17.0	22407.99533296	97.0	0.0	4.0
0.64757711	0.65384614	0.8327381	0.62745098	0.58984725	0.62840658	0.0	0.0	9.0	0.0	17.0	23477.67404008	500.0	1.0	4.0
0.65198237	0.65384614	0.8162415	0.56862745	0.58922713	0.6405219	0.0	0.0	9.0	0.0	17.0	24560.209656	500.0	2.0	4.0
0.64473683	0.68000001	0.84395734	0.72794118	0.59674049	0.59066783	0.0	0.0	8.0	0.0	17.0	25657.73623824	500.0	3.0	4.0
0.64912283	0.63999999	0.79222973	0.65277778	0.62638489	0.65047334	0.0	0.0	9.0	0.0	16.0	26029.36074877	167.0	4.0	4.0
0.64912283	0.63999999	0.76173986	0.45833333	0.6377741	0.65605755	0.0	0.0	9.0	0.0	16.0	26198.7907393	72.0	5.0	4.0
0.64912283	0.63999999	0.75515203	0.33333333	0.64009832	0.65918034	0.0	0.0	9.0	0.0	16.0	26338.22976184	60.0	6.0	4.0
0.64912283	0.63999999	0.83876689	0.84027778	0.59466191	0.60839476	0.0	0.0	9.0	0.0	16.0	27428.96152139	500.0	7.0	4.0
