filename	train_acc	val_acc	train_auc	val_auc	train_los	val_los	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
/home/ubuntu/gene-families/experiment/results/fc_model/raw/wt2dgene_raw/a10_estopc5_fc_o1adam_lr-1.0de0.0e500_20200226_072901c1.0di-1ch3dfc0.0file_sum_ok.txt	0.895	0.7	0.957	0.72	0.638	0.682	0.408	3.0	2.0	1.0	4.0	394.503	500.0	0	1
/home/ubuntu/gene-families/experiment/results/fc_model/raw/wt2dgene_raw/a10_estopc5_fc_o1adam_lr-1.0de0.0e500_20200226_072901c1.0di-1ch3dfc0.0file_sum_ok.txt	0.558	0.5	0.909	0.52	0.689	0.693	0.0	0.0	5.0	0.0	5.0	413.236	23.0	0	2
/home/ubuntu/gene-families/experiment/results/fc_model/raw/wt2dgene_raw/a10_estopc5_fc_o1adam_lr-1.0de0.0e500_20200226_072901c1.0di-1ch3dfc0.0file_sum_ok.txt	0.663	0.6	0.987	0.76	0.639	0.663	0.218	2.0	3.0	1.0	4.0	805.171	500.0	0	3
/home/ubuntu/gene-families/experiment/results/fc_model/raw/wt2dgene_raw/a10_estopc5_fc_o1adam_lr-1.0de0.0e500_20200226_072901c1.0di-1ch3dfc0.0file_sum_ok.txt	0.453	0.4	0.914	0.542	0.693	0.693	0.0	4.0	0.0	6.0	0.0	814.421	6.0	0	4
/home/ubuntu/gene-families/experiment/results/fc_model/raw/wt2dgene_raw/a10_estopc5_fc_o1adam_lr-1.0de0.0e500_20200226_072901c1.0di-1ch3dfc0.0file_sum_ok.txt	0.837	0.7	0.969	0.708	0.642	0.68	0.535	4.0	0.0	3.0	3.0	1304.19	500.0	0	5
/home/ubuntu/gene-families/experiment/results/fc_model/raw/wt2dgene_raw/a10_estopc5_fc_o1adam_lr-1.0de0.0e500_20200226_072901c1.0di-1ch3dfc0.0file_sum_ok.txt	0.453	0.4	0.934	0.667	0.693	0.693	0.0	4.0	0.0	6.0	0.0	1312.891	6.0	0	6
/home/ubuntu/gene-families/experiment/results/fc_model/raw/wt2dgene_raw/a10_estopc5_fc_o1adam_lr-1.0de0.0e500_20200226_072901c1.0di-1ch3dfc0.0file_sum_ok.txt	0.851	0.778	0.961	0.95	0.64	0.643	0.55	3.0	1.0	1.0	4.0	1638.489	500.0	0	7
/home/ubuntu/gene-families/experiment/results/fc_model/raw/wt2dgene_raw/a10_estopc5_fc_o1adam_lr-1.0de0.0e500_20200226_072901c1.0di-1ch3dfc0.0file_sum_ok.txt	0.828	0.778	0.955	0.85	0.635	0.664	0.598	2.0	2.0	0.0	5.0	1961.641	500.0	0	8
/home/ubuntu/gene-families/experiment/results/fc_model/raw/wt2dgene_raw/a10_estopc5_fc_o1adam_lr-1.0de0.0e500_20200226_072901c1.0di-1ch3dfc0.0file_sum_ok.txt	0.782	0.667	0.948	0.6	0.629	0.679	0.395	1.0	3.0	0.0	5.0	2348.051	500.0	0	9
/home/ubuntu/gene-families/experiment/results/fc_model/raw/wt2dgene_raw/a10_estopc5_fc_o1adam_lr-1.0de0.0e500_20200226_072901c1.0di-1ch3dfc0.0file_sum_ok.txt	0.839	0.667	0.944	0.75	0.637	0.664	0.316	2.0	2.0	1.0	4.0	2838.234	500.0	1	0
