train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
0.76375407	0.77142859	0.84896095	0.80718954	0.6033443	0.63237432	0.54754393	13.0	5.0	3.0	14.0	1408.91036415	500.0	0.0	1.0
0.7669903	0.60000002	0.85486844	0.64379085	0.59677629	0.65947281	0.19802951	12.0	6.0	8.0	9.0	2725.22917867	500.0	1.0	1.0
0.77669901	0.60000002	0.84171275	0.66993464	0.59652925	0.65751203	0.21004201	9.0	9.0	5.0	12.0	4067.44504189	500.0	2.0	1.0
0.74757284	0.62857145	0.84782973	0.73856209	0.6000869	0.646926	0.27380495	9.0	9.0	4.0	13.0	5411.16146803	500.0	3.0	1.0
0.7516129	0.61764705	0.83606011	0.69896194	0.59651752	0.65953101	0.23570226	10.0	7.0	6.0	11.0	6672.67719007	500.0	4.0	1.0
0.75806451	0.7352941	0.83614337	0.76816609	0.60386481	0.62576213	0.49236596	10.0	7.0	2.0	15.0	7927.33318639	500.0	5.0	1.0
0.75483871	0.7352941	0.83685109	0.77854671	0.60009327	0.64347308	0.47140452	13.0	4.0	5.0	12.0	9195.89389277	500.0	6.0	1.0
0.7516129	0.64705884	0.83556055	0.7266436	0.60335982	0.6243404	0.29617444	10.0	7.0	5.0	12.0	10486.34762931	500.0	7.0	1.0
0.74193549	0.7647059	0.8407227	0.80968858	0.60289882	0.62122885	0.54470478	11.0	6.0	2.0	15.0	11771.741153	500.0	8.0	1.0
0.77419353	0.61764705	0.84342867	0.65397924	0.59800657	0.6508874	0.23904572	12.0	5.0	8.0	9.0	13064.06893301	500.0	9.0	1.0
0.74757284	0.82857144	0.84041394	0.94117647	0.60915409	0.58995861	0.67680204	13.0	5.0	1.0	16.0	14360.99169755	500.0	0.0	2.0
0.75728154	0.48571429	0.84485504	0.55555556	0.60962103	0.68794981	-0.03718339	11.0	7.0	11.0	6.0	15374.34567451	391.0	1.0	2.0
0.75728154	0.71428573	0.84133568	0.74836601	0.60230608	0.64249218	0.43278921	12.0	6.0	4.0	13.0	16665.91338086	500.0	2.0	2.0
0.55663431	0.40000001	0.80471761	0.50980392	0.69269219	0.69325234	-0.25671802	1.0	17.0	4.0	13.0	16696.33951664	6.0	3.0	2.0
0.75483871	0.64705884	0.83635153	0.74740484	0.59846628	0.63597873	0.29617444	10.0	7.0	5.0	12.0	17985.52427387	500.0	4.0	2.0
0.76451612	0.67647058	0.84267932	0.71280277	0.5986381	0.64728742	0.35355339	11.0	6.0	5.0	12.0	19272.16735458	500.0	5.0	2.0
0.72903228	0.70588237	0.83418675	0.78546713	0.60352737	0.6263083	0.41464421	11.0	6.0	4.0	13.0	20565.50139141	500.0	6.0	2.0
0.7483871	0.61764705	0.84380334	0.70588235	0.6017884	0.63732207	0.23904572	9.0	8.0	5.0	12.0	21857.47475886	500.0	7.0	2.0
0.76129031	0.64705884	0.84288747	0.69204152	0.59764256	0.64525713	0.29411765	11.0	6.0	6.0	11.0	23154.84699464	500.0	8.0	2.0
0.76774192	0.64705884	0.83389534	0.76816609	0.60207188	0.63060363	0.30261377	9.0	8.0	4.0	13.0	24446.68120456	500.0	9.0	2.0
0.74757284	0.65714288	0.84175465	0.66666667	0.59537465	0.67061581	0.36155076	8.0	10.0	2.0	15.0	26106.94190645	500.0	0.0	3.0
0.77022654	0.65714288	0.84451986	0.75490196	0.60359275	0.6303541	0.31774895	14.0	4.0	8.0	9.0	27755.22566104	500.0	1.0	3.0
0.75728154	0.54285717	0.8555388	0.60130719	0.594082	0.67164525	0.08496732	10.0	8.0	8.0	9.0	29418.98742485	500.0	2.0	3.0
0.76375407	0.80000001	0.86605497	0.83660131	0.60823829	0.61164753	0.60678804	16.0	2.0	5.0	12.0	31045.21424699	500.0	3.0	3.0
0.77741933	0.58823532	0.84421964	0.5916955	0.59530081	0.67827538	0.18156826	8.0	9.0	5.0	12.0	32704.78279662	500.0	4.0	3.0
0.7516129	0.55882353	0.83581033	0.68858131	0.60016278	0.64599943	0.11952286	8.0	9.0	6.0	11.0	34365.22045684	500.0	5.0	3.0
0.76451612	0.64705884	0.8452604	0.67474048	0.59750438	0.64997172	0.29411765	11.0	6.0	6.0	11.0	36037.27057123	500.0	6.0	3.0
0.7516129	0.55882353	0.82644353	0.66782007	0.5985755	0.64988622	0.11952286	8.0	9.0	6.0	11.0	37695.30744982	500.0	7.0	3.0
0.73225808	0.7647059	0.83131427	0.80968858	0.60546437	0.60889365	0.53311399	12.0	5.0	3.0	14.0	39323.72258949	500.0	8.0	3.0
0.75806451	0.7352941	0.83735065	0.78892734	0.60244206	0.62838601	0.47140452	12.0	5.0	4.0	13.0	40968.97437739	500.0	9.0	3.0
0.76375407	0.6857143	0.84414279	0.80392157	0.60313487	0.63195813	0.37955656	11.0	7.0	4.0	13.0	42612.75001788	500.0	0.0	4.0
0.75404531	0.62857145	0.8468242	0.66666667	0.59707417	0.65496851	0.25816993	11.0	7.0	6.0	11.0	44256.42604589	500.0	1.0	4.0
