train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
0.89534885	0.69999999	0.95723684	0.72	0.63816357	0.68160754	0.40824829	3.0	2.0	1.0	4.0	394.50308537	500.0	0.0	1.0
0.55813956	0.5	0.90899123	0.52	0.6890301	0.69300371	0.0	0.0	5.0	0.0	5.0	413.23599172	23.0	1.0	1.0
0.66279072	0.60000002	0.98684211	0.76	0.63930892	0.66314459	0.21821789	2.0	3.0	1.0	4.0	805.17120242	500.0	2.0	1.0
0.45348838	0.40000001	0.91434806	0.54166667	0.69306712	0.693497	0.0	4.0	0.0	6.0	0.0	814.42074585	6.0	3.0	1.0
0.83720928	0.69999999	0.96890344	0.70833333	0.64181446	0.67954588	0.53452248	4.0	0.0	3.0	3.0	1304.19028091	500.0	4.0	1.0
0.45348838	0.40000001	0.933988	0.66666667	0.69302854	0.69346309	0.0	4.0	0.0	6.0	0.0	1312.89086366	6.0	5.0	1.0
0.85057473	0.77777779	0.96100427	0.95	0.6395224	0.64328432	0.55	3.0	1.0	1.0	4.0	1638.48880577	500.0	6.0	1.0
0.82758623	0.77777779	0.95459402	0.85	0.63475966	0.66444862	0.5976143	2.0	2.0	0.0	5.0	1961.64101577	500.0	7.0	1.0
0.78160918	0.66666669	0.94818376	0.6	0.62907179	0.6789763	0.39528471	1.0	3.0	0.0	5.0	2348.05140424	500.0	8.0	1.0
0.83908045	0.66666669	0.94391026	0.75	0.63709158	0.66352838	0.31622777	2.0	2.0	1.0	4.0	2838.23379564	500.0	9.0	1.0
0.93023258	0.5	0.97039474	0.68	0.64056215	0.67072773	0.0	3.0	2.0	3.0	2.0	3343.37560749	500.0	0.0	2.0
0.8488372	0.5	0.95778509	0.76	0.63230132	0.68936622	0.0	0.0	5.0	0.0	5.0	4068.18476009	500.0	1.0	2.0
0.75581396	0.60000002	0.9566886	0.88	0.63964712	0.65487373	0.33333333	1.0	4.0	0.0	5.0	4776.18581867	500.0	2.0	2.0
0.76744187	0.80000001	0.95853792	0.91666667	0.63611921	0.64973289	0.61237244	2.0	2.0	0.0	6.0	5110.45820236	500.0	3.0	2.0
0.82558137	0.5	0.93671577	0.70833333	0.63877919	0.66766012	0.08908708	3.0	1.0	4.0	2.0	5528.79338622	500.0	4.0	2.0
0.45348838	0.40000001	0.93889798	0.75	0.69298223	0.69335943	0.0	4.0	0.0	6.0	0.0	5537.97667909	6.0	5.0	2.0
0.83908045	0.55555558	0.96047009	0.65	0.63475272	0.67761898	0.05976143	1.0	3.0	1.0	4.0	6039.87153411	500.0	6.0	2.0
0.7011494	0.22222222	0.92147436	0.2	0.6927554	0.69328809	-0.55	1.0	3.0	4.0	1.0	6050.22674656	6.0	7.0	2.0
0.82758623	0.66666669	0.95405983	0.8	0.63738341	0.67320913	0.31622777	2.0	2.0	1.0	4.0	6557.51944518	500.0	8.0	2.0
0.73563218	0.55555558	0.96100427	0.8	0.63169679	0.66433483	0.0	0.0	4.0	0.0	5.0	7080.87855721	500.0	9.0	2.0
0.66279072	0.69999999	0.98190789	0.88	0.6378524	0.66366422	0.5	2.0	3.0	0.0	5.0	7595.65077162	500.0	0.0	3.0
0.80232561	0.69999999	0.96600877	0.76	0.63716419	0.657812	0.40824829	3.0	2.0	1.0	4.0	8097.35937071	500.0	1.0	3.0
0.46511629	0.5	0.9314693	0.28	0.69292442	0.69326097	0.0	5.0	0.0	5.0	0.0	8105.983495	6.0	2.0	3.0
0.87209302	0.80000001	0.9634479	1.0	0.64370877	0.66310787	0.66666667	4.0	0.0	2.0	4.0	8503.98489881	500.0	3.0	3.0
0.88372093	0.60000002	0.94380797	0.58333333	0.63969206	0.66880929	0.10206207	1.0	3.0	1.0	5.0	8981.84145403	500.0	4.0	3.0
0.86046511	0.69999999	0.9563557	0.79166667	0.63654934	0.66969454	0.40824829	3.0	1.0	2.0	4.0	9605.48393297	500.0	5.0	3.0
0.85057473	0.77777779	0.95138889	0.85	0.63724406	0.65128613	0.55	3.0	1.0	1.0	4.0	10234.67503405	500.0	6.0	3.0
0.81609195	0.77777779	0.95192308	0.9	0.63688334	0.66524643	0.5976143	2.0	2.0	0.0	5.0	10863.41186023	500.0	7.0	3.0
0.7011494	0.44444445	0.91185897	0.45	0.69097466	0.69331419	-0.31622777	0.0	4.0	1.0	4.0	10891.60521412	20.0	8.0	3.0
0.7241379	0.55555558	0.95886752	0.55	0.63008911	0.68352497	0.0	0.0	4.0	0.0	5.0	11501.01426649	500.0	9.0	3.0
0.66279072	0.5	0.94243421	0.68	0.68782872	0.69312704	0.0	0.0	5.0	0.0	5.0	11557.74266696	42.0	0.0	4.0
0.62790698	0.60000002	0.94517544	0.76	0.63392514	0.66031325	0.33333333	1.0	4.0	0.0	5.0	12165.72355199	500.0	1.0	4.0
0.46511629	0.5	0.95339912	0.36	0.69290194	0.69325215	0.0	5.0	0.0	5.0	0.0	12174.62104845	6.0	2.0	4.0
0.83720928	0.80000001	0.96890344	0.83333333	0.64553064	0.66404963	0.66666667	4.0	0.0	2.0	4.0	12544.68507242	500.0	3.0	4.0
0.45348838	0.40000001	0.91871249	0.58333333	0.69298706	0.69351262	0.0	4.0	0.0	6.0	0.0	12555.4086225	6.0	4.0	4.0
0.86046511	0.69999999	0.94762684	0.70833333	0.63706699	0.67350864	0.40824829	1.0	3.0	0.0	6.0	13153.68371439	500.0	5.0	4.0
0.85057473	0.66666669	0.96153846	0.8	0.63777012	0.65504497	0.39528471	1.0	3.0	0.0	5.0	13758.55912161	500.0	6.0	4.0
0.86206895	0.66666669	0.94711538	0.9	0.63943676	0.65285629	0.39528471	1.0	3.0	0.0	5.0	14348.10851765	500.0	7.0	4.0
0.83908045	0.55555558	0.95405983	0.5	0.63438651	0.68490303	0.05976143	1.0	3.0	1.0	4.0	14934.93729591	500.0	8.0	4.0
0.74712646	0.66666669	0.97061966	0.8	0.63482317	0.65533739	0.39528471	1.0	3.0	0.0	5.0	15528.71918988	500.0	9.0	4.0
0.91860467	0.80000001	0.95997807	1.0	0.6438357	0.65625727	0.65465367	3.0	2.0	0.0	5.0	16149.93733454	500.0	0.0	5.0
0.69767439	0.60000002	0.94901316	0.68	0.63053746	0.68154687	0.33333333	1.0	4.0	0.0	5.0	16776.28952169	500.0	1.0	5.0
0.8488372	0.60000002	0.95559211	0.88	0.638182	0.65872347	0.33333333	1.0	4.0	0.0	5.0	17437.33378863	500.0	2.0	5.0
0.88372093	0.60000002	0.96399345	0.79166667	0.64200094	0.65610236	0.16666667	2.0	2.0	2.0	4.0	18119.16278553	500.0	3.0	5.0
0.45348838	0.40000001	0.92580469	0.45833333	0.69297257	0.69343519	0.0	4.0	0.0	6.0	0.0	18129.4100132	6.0	4.0	5.0
0.45348838	0.40000001	0.93889798	0.58333333	0.69295504	0.69341457	0.0	4.0	0.0	6.0	0.0	18140.49341893	6.0	5.0	5.0
0.66666669	0.44444445	0.92254274	0.5	0.68676295	0.69302666	-0.31622777	0.0	4.0	1.0	4.0	18192.16411328	51.0	6.0	5.0
0.81609195	0.55555558	0.96207265	0.65	0.63681619	0.67720056	0.0	0.0	4.0	0.0	5.0	18856.4762466	500.0	7.0	5.0
0.64367819	0.44444445	0.97008547	0.55	0.64812093	0.68699461	-0.31622777	0.0	4.0	1.0	4.0	19301.66105151	338.0	8.0	5.0
0.81609195	0.77777779	0.9599359	1.0	0.63937583	0.6571629	0.5976143	2.0	2.0	0.0	5.0	19948.89681458	500.0	9.0	5.0
0.94186044	0.60000002	0.98245614	0.64	0.64011744	0.6772905	0.21821789	2.0	3.0	1.0	4.0	20584.49769545	500.0	0.0	6.0
0.82558137	0.5	0.94901316	0.92	0.63208004	0.67800856	0.0	0.0	5.0	0.0	5.0	21244.77039433	500.0	1.0	6.0
0.83720928	0.69999999	0.95449561	0.8	0.63708272	0.6523279	0.5	2.0	3.0	0.0	5.0	21901.92989874	500.0	2.0	6.0
0.74418604	0.69999999	0.95253682	0.625	0.634115	0.67210674	0.40824829	1.0	3.0	0.0	6.0	22574.45759773	500.0	3.0	6.0
0.80232561	0.40000001	0.95581015	0.5	0.63460706	0.67853177	-0.40824829	0.0	4.0	2.0	4.0	23255.90822911	500.0	4.0	6.0
0.45348838	0.40000001	0.93671577	0.625	0.69301997	0.69342405	0.0	4.0	0.0	6.0	0.0	23269.70210409	6.0	5.0	6.0
0.83908045	0.55555558	0.94123932	0.65	0.63523761	0.67822701	0.0	0.0	4.0	0.0	5.0	23962.22911453	500.0	6.0	6.0
0.88505745	0.66666669	0.97222222	0.85	0.64108588	0.65700877	0.47809144	4.0	0.0	3.0	2.0	24642.84732056	500.0	7.0	6.0
0.71264368	0.55555558	0.95619658	0.75	0.63098877	0.68131423	0.0	0.0	4.0	0.0	5.0	25338.03481531	500.0	8.0	6.0
0.80459768	0.55555558	0.94925214	0.55	0.63342864	0.68254662	0.15811388	3.0	1.0	3.0	2.0	26054.48502588	500.0	9.0	6.0
0.72093022	0.60000002	0.96107456	0.52	0.62948132	0.68011349	0.33333333	1.0	4.0	0.0	5.0	26561.26665568	500.0	0.0	7.0
0.91860467	0.60000002	0.97587719	0.76	0.64627476	0.66595006	0.2	3.0	2.0	2.0	3.0	27032.24174547	500.0	1.0	7.0
0.88372093	0.5	0.96655702	0.6	0.63800676	0.6874634	0.0	2.0	3.0	2.0	3.0	27503.76861954	500.0	2.0	7.0
0.45348838	0.40000001	0.94817239	0.58333333	0.69300849	0.69342309	0.0	4.0	0.0	6.0	0.0	27518.52838922	6.0	3.0	7.0
0.81395346	0.60000002	0.93889798	0.66666667	0.6355078	0.6831665	0.16666667	2.0	2.0	2.0	4.0	28159.16393876	500.0	4.0	7.0
0.70930231	0.69999999	0.96781233	1.0	0.63825736	0.65632039	0.40824829	1.0	3.0	0.0	6.0	28820.88715816	500.0	5.0	7.0
0.71264368	0.66666669	0.95192308	0.8	0.6338348	0.65554911	0.39528471	1.0	3.0	0.0	5.0	29479.86890626	500.0	6.0	7.0
0.83908045	0.55555558	0.94925214	0.75	0.63690344	0.67356133	0.0	0.0	4.0	0.0	5.0	30153.34243655	500.0	7.0	7.0
0.83908045	0.44444445	0.95619658	0.5	0.63156214	0.68829834	-0.31622777	0.0	4.0	1.0	4.0	30835.75061059	500.0	8.0	7.0
0.80459768	0.77777779	0.94230769	0.95	0.63711021	0.65907848	0.5976143	2.0	2.0	0.0	5.0	31509.38367534	500.0	9.0	7.0
0.81395346	0.60000002	0.95010965	0.8	0.63404775	0.67494011	0.33333333	1.0	4.0	0.0	5.0	32174.75450969	500.0	0.0	8.0
0.68604654	0.69999999	0.96436404	0.92	0.6383618	0.64981937	0.5	2.0	3.0	0.0	5.0	32628.82362151	500.0	1.0	8.0
0.46511629	0.5	0.93530702	0.48	0.69292278	0.69318759	0.0	5.0	0.0	5.0	0.0	32644.11565876	6.0	2.0	8.0
0.45348838	0.40000001	0.93507911	0.625	0.6930192	0.6934182	0.0	4.0	0.0	6.0	0.0	32660.65326095	6.0	3.0	8.0
0.73255813	0.60000002	0.95471904	0.41666667	0.63110481	0.67793638	0.0	0.0	4.0	0.0	6.0	33365.6618855	500.0	4.0	8.0
0.87209302	0.40000001	0.94871795	0.58333333	0.63163057	0.68561971	-0.25	1.0	3.0	3.0	3.0	34132.27043653	500.0	5.0	8.0
0.85057473	0.66666669	0.95299145	0.95	0.6384017	0.64612335	0.39528471	1.0	3.0	0.0	5.0	34895.44360805	500.0	6.0	8.0
0.80459768	0.55555558	0.96848291	0.65	0.6388778	0.66035223	0.05976143	1.0	3.0	1.0	4.0	35694.54625821	500.0	7.0	8.0
0.86206895	0.66666669	0.96688034	0.8	0.63904195	0.66122013	0.35	3.0	1.0	2.0	3.0	36513.03203464	500.0	8.0	8.0
0.85057473	0.44444445	0.9508547	0.55	0.63843373	0.68985248	-0.15811388	1.0	3.0	2.0	3.0	36930.04521942	444.0	9.0	8.0
0.79069769	0.69999999	0.94517544	0.92	0.6376724	0.65158308	0.5	2.0	3.0	0.0	5.0	37695.26152062	500.0	0.0	9.0
0.93023258	0.60000002	0.95942982	0.68	0.63927921	0.68247116	0.21821789	2.0	3.0	1.0	4.0	38461.04629564	500.0	1.0	9.0
0.89534885	0.69999999	0.95394737	1.0	0.64368238	0.66720521	0.5	2.0	3.0	0.0	5.0	38974.15555477	500.0	2.0	9.0
0.45348838	0.40000001	0.92089471	0.5	0.69300006	0.69362819	0.0	4.0	0.0	6.0	0.0	38996.56593704	6.0	3.0	9.0
0.89534885	0.40000001	0.96890344	0.41666667	0.63399608	0.68398035	-0.16666667	2.0	2.0	4.0	2.0	39501.62542391	500.0	4.0	9.0
0.8488372	0.80000001	0.96126568	1.0	0.64504204	0.66224802	0.66666667	4.0	0.0	2.0	4.0	40310.56660557	500.0	5.0	9.0
0.68965518	0.55555558	0.97649573	0.6	0.63140549	0.67823213	0.05976143	1.0	3.0	1.0	4.0	41096.39643717	500.0	6.0	9.0
0.75862068	0.66666669	0.96794872	0.6	0.63206314	0.67872578	0.31622777	2.0	2.0	1.0	4.0	41894.09672928	500.0	7.0	9.0
0.85057473	0.55555558	0.94818376	0.8	0.6370003	0.6647169	0.05976143	1.0	3.0	1.0	4.0	42670.07378292	500.0	8.0	9.0
0.77011496	0.66666669	0.95032051	0.55	0.63479019	0.6637215	0.39528471	1.0	3.0	0.0	5.0	43477.91089153	500.0	9.0	9.0
0.82558137	0.60000002	0.93585526	0.68	0.6331013	0.67747015	0.21821789	2.0	3.0	1.0	4.0	44283.02367496	500.0	0.0	10.0
0.74418604	0.5	0.90734649	0.4	0.69272489	0.69322747	0.0	2.0	3.0	2.0	3.0	44306.1282146	6.0	1.0	10.0
0.89534885	0.40000001	0.95339912	0.64	0.63822139	0.68407619	-0.21821789	1.0	4.0	2.0	3.0	45115.85877371	500.0	2.0	10.0
0.88372093	0.60000002	0.95744681	0.875	0.63575132	0.66668981	0.10206207	1.0	3.0	1.0	5.0	45942.83522606	500.0	3.0	10.0
0.86046511	0.60000002	0.98363339	0.70833333	0.6454145	0.66074079	0.16666667	2.0	2.0	2.0	4.0	46775.9654007	500.0	4.0	10.0
0.8488372	0.89999998	0.94871795	0.875	0.63826442	0.64885819	0.80178373	3.0	1.0	0.0	6.0	47584.1074357	500.0	5.0	10.0
0.7241379	0.66666669	0.96581197	0.6	0.63673943	0.67244965	0.31622777	2.0	2.0	1.0	4.0	48402.07028413	500.0	6.0	10.0
0.83908045	0.44444445	0.95192308	0.8	0.6348202	0.66947764	-0.31622777	0.0	4.0	1.0	4.0	49246.59731221	500.0	7.0	10.0
0.7011494	0.66666669	0.96047009	0.95	0.63472769	0.66279709	0.39528471	1.0	3.0	0.0	5.0	50088.50502229	500.0	8.0	10.0
0.85057473	0.44444445	0.94818376	0.55	0.63585131	0.67655939	-0.15811388	1.0	3.0	2.0	3.0	50928.51283669	500.0	9.0	10.0
