train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
0.98557693	0.79166669	0.99972253	0.90277778	0.08216806	0.38780165	0.58536941	10.0	2.0	3.0	9.0	145.86266541	59.0	0.0	1.0
0.97115386	0.95833331	0.99602294	0.97222222	0.13015366	0.22112226	0.91986621	12.0	0.0	1.0	11.0	184.89685011	45.0	1.0	1.0
0.89473683	0.73913044	0.96701484	0.79545455	0.29714762	0.60281755	0.47727273	9.0	3.0	3.0	8.0	215.83795595	14.0	2.0	1.0
0.9665072	0.82608694	0.99560198	0.9469697	0.14874162	0.29514244	0.66414149	9.0	3.0	1.0	10.0	251.60794401	40.0	3.0	1.0
0.97607654	0.82608694	0.99963363	0.91666667	0.08290758	0.37011284	0.65151515	9.0	2.0	2.0	10.0	289.3634367	55.0	4.0	1.0
0.93301433	0.95652175	0.98790987	0.99242424	0.19938684	0.19128625	0.91605722	10.0	1.0	0.0	12.0	323.88365722	34.0	5.0	1.0
0.88995218	0.86956519	0.97893387	0.90151515	0.25822169	0.41510128	0.74047959	9.0	2.0	1.0	11.0	375.1596446	22.0	6.0	1.0
1.0	0.86956519	1.0	0.95454545	0.05573477	0.26134043	0.74242424	10.0	1.0	2.0	10.0	413.46299505	67.0	7.0	1.0
0.97129184	0.78260869	0.99542041	0.90909091	0.15472515	0.38799232	0.56818182	9.0	2.0	3.0	9.0	448.03168964	39.0	8.0	1.0
0.99043059	0.86956519	0.99899249	0.89393939	0.10819455	0.36910188	0.74242424	10.0	1.0	2.0	10.0	483.69823289	50.0	9.0	1.0
1.0	0.91666669	1.0	0.99305556	0.00563619	0.13270781	0.83333333	11.0	1.0	1.0	11.0	530.89339805	148.0	0.0	2.0
0.89903843	0.75	0.96651868	0.86805556	0.28704022	0.49455937	0.53033009	11.0	1.0	5.0	7.0	563.88590145	16.0	1.0	2.0
1.0	0.9130435	1.0	0.97727273	0.01489044	0.1807895	0.82575758	11.0	1.0	1.0	10.0	606.466784	109.0	2.0	2.0
0.91387558	0.82608694	0.98130841	0.9469697	0.24024192	0.3566451	0.66414149	9.0	3.0	1.0	10.0	640.98303938	25.0	3.0	2.0
0.96172249	0.82608694	0.99340539	0.92424242	0.17063406	0.36885848	0.65909298	8.0	3.0	1.0	11.0	676.44858885	37.0	4.0	2.0
0.94736844	0.86956519	0.9966111	0.87121212	0.17407882	0.48361682	0.74047959	9.0	2.0	1.0	11.0	711.31764221	33.0	5.0	2.0
1.0	0.82608694	1.0	0.9469697	0.03692279	0.28237674	0.65909298	8.0	3.0	1.0	11.0	752.37777066	75.0	6.0	2.0
1.0	0.95652175	1.0	1.0	0.00010192	0.06263918	0.91666667	11.0	0.0	1.0	11.0	846.35185361	500.0	7.0	2.0
0.97129184	0.86956519	0.99688588	0.95454545	0.14733412	0.37441388	0.76277007	8.0	3.0	0.0	12.0	883.24597359	40.0	8.0	2.0
0.94258374	0.82608694	0.99203151	0.92424242	0.17647742	0.4454852	0.66414149	10.0	1.0	3.0	9.0	919.86588573	39.0	9.0	2.0
0.89423078	0.91666669	0.97142064	0.90277778	0.26972274	0.40180044	0.84515425	10.0	2.0	0.0	12.0	953.64536572	15.0	0.0	3.0
1.0	0.91666669	1.0	0.99305556	0.0007461	0.1381485	0.83333333	11.0	1.0	1.0	11.0	1023.76560044	293.0	1.0	3.0
0.94736844	0.73913044	0.99092908	0.88636364	0.21376712	0.48934512	0.48856385	8.0	4.0	2.0	9.0	1061.86888599	33.0	2.0	3.0
0.99043059	0.86956519	1.0	0.95454545	0.06249636	0.27081359	0.74047959	11.0	1.0	2.0	9.0	1102.51006532	61.0	3.0	3.0
0.95693779	0.82608694	0.9932222	0.85606061	0.16992382	0.44837693	0.66414149	10.0	1.0	3.0	9.0	1140.54299235	36.0	4.0	3.0
0.98086125	0.82608694	0.99679428	1.0	0.11781345	0.27673722	0.69084928	7.0	4.0	0.0	12.0	1179.16271687	51.0	5.0	3.0
0.97129184	0.82608694	0.99532881	0.90909091	0.1412773	0.39718211	0.66414149	10.0	1.0	3.0	9.0	1218.49092412	43.0	6.0	3.0
0.90909094	0.78260869	0.98067412	0.88636364	0.25460563	0.45041612	0.58930667	10.0	1.0	4.0	8.0	1254.31544089	23.0	7.0	3.0
0.90909094	0.86956519	0.97215607	0.93181818	0.26548994	0.31386592	0.74242424	10.0	1.0	2.0	10.0	1289.26407313	22.0	8.0	3.0
0.96172249	0.82608694	0.99505404	0.96212121	0.16834482	0.30473827	0.65151515	9.0	2.0	2.0	10.0	1325.7979219	39.0	9.0	3.0
0.89903843	0.79166669	0.97114317	0.88194444	0.26694833	0.43546952	0.58536941	10.0	2.0	3.0	9.0	1362.13329816	19.0	0.0	4.0
0.95192307	0.91666669	0.99482057	0.96527778	0.1410071	0.25662191	0.84515425	12.0	0.0	2.0	10.0	1402.52566743	46.0	1.0	4.0
0.98086125	0.9130435	0.99880887	0.93181818	0.10610417	0.30896361	0.82575758	11.0	1.0	1.0	10.0	1445.16259313	57.0	2.0	4.0
0.86602873	0.82608694	0.97141286	0.89393939	0.30742191	0.47460613	0.66414149	9.0	3.0	1.0	10.0	1481.9424119	21.0	3.0	4.0
1.0	0.95652175	1.0	1.0	0.00012329	0.06477149	0.91666667	11.0	0.0	1.0	11.0	1585.49252748	500.0	4.0	4.0
0.94736844	0.82608694	0.9944129	0.96212121	0.16172484	0.29086002	0.66414149	10.0	1.0	3.0	9.0	1625.81976414	44.0	5.0	4.0
0.9665072	0.78260869	0.99716065	0.88636364	0.13381908	0.4787276	0.56490196	8.0	3.0	2.0	10.0	1665.45993853	44.0	6.0	4.0
0.91387558	0.9130435	0.97838432	0.9469697	0.23777357	0.29192342	0.82575758	10.0	1.0	1.0	11.0	1703.68324399	25.0	7.0	4.0
0.98086125	0.78260869	0.99697747	0.85606061	0.13265286	0.4582973	0.56490196	8.0	3.0	2.0	10.0	1743.22987795	47.0	8.0	4.0
0.98086125	0.82608694	0.99761861	0.93181818	0.12449268	0.34757179	0.65909298	8.0	3.0	1.0	11.0	1786.16672492	56.0	9.0	4.0
0.96634614	0.83333331	0.99509804	0.9375	0.13594931	0.3133286	0.6761234	11.0	1.0	3.0	9.0	1829.51195049	46.0	0.0	5.0
0.88942307	0.83333331	0.96762856	0.89583333	0.28844808	0.43448667	0.6761234	11.0	1.0	3.0	9.0	1866.66069722	15.0	1.0	5.0
0.99043059	0.86956519	0.99990837	0.96969697	0.07201795	0.20611272	0.74242424	10.0	2.0	1.0	10.0	1909.33071446	63.0	2.0	5.0
1.0	0.95652175	1.0	0.98484848	0.00011758	0.14877696	0.91666667	11.0	1.0	0.0	11.0	2021.86844563	500.0	3.0	5.0
1.0	0.9130435	1.0	0.93939394	0.01667097	0.29935334	0.83743579	9.0	2.0	0.0	12.0	2073.93681669	113.0	4.0	5.0
1.0	0.95652175	1.0	0.97727273	0.00011	0.18404808	0.91666667	11.0	0.0	1.0	11.0	2183.22640395	500.0	5.0	5.0
0.89952153	0.82608694	0.97737681	0.84090909	0.28120913	0.55940364	0.65909298	8.0	3.0	1.0	11.0	2220.98688269	23.0	6.0	5.0
1.0	0.95652175	1.0	0.97727273	0.02426787	0.18990611	0.91666667	11.0	0.0	1.0	11.0	2272.77382636	100.0	7.0	5.0
0.94736844	0.73913044	0.99358857	0.88636364	0.17181127	0.46038574	0.50168817	6.0	5.0	1.0	11.0	2311.47887063	37.0	8.0	5.0
0.90430623	0.73913044	0.9797582	0.88636364	0.23979397	0.43868321	0.5164589	10.0	1.0	5.0	7.0	2349.79468894	27.0	9.0	5.0
