train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
0.9537037	0.92307693	0.97674419	0.95	0.24185714	0.34801719	0.84327404	8.0	0.0	1.0	4.0	52.32032537	16.0	0.0	1.0
0.97247708	0.91666669	0.98776224	0.78125	0.1640067	0.39541677	0.81649658	8.0	0.0	1.0	3.0	74.3467133	24.0	1.0	1.0
1.0	0.91666669	1.0	1.0	0.02356495	0.31105557	0.83666003	7.0	1.0	0.0	4.0	99.6746068	58.0	2.0	1.0
0.82568806	0.75	0.90521494	0.6	0.40711678	0.8112455	0.52915026	7.0	0.0	3.0	2.0	134.51665044	6.0	3.0	1.0
0.95412844	0.83333331	0.98343904	0.77142857	0.19941644	0.53541589	0.68313005	7.0	0.0	2.0	3.0	156.92950082	21.0	4.0	1.0
1.0	1.0	1.0	1.0	0.00013118	0.04899956	1.0	7.0	0.0	0.0	5.0	214.63738441	500.0	5.0	1.0
0.96330273	0.66666669	0.98449612	0.74285714	0.2079505	0.60015494	0.29277002	6.0	1.0	3.0	2.0	237.60283756	19.0	6.0	1.0
1.0	0.83333331	1.0	1.0	0.01079942	0.30251125	0.71428571	5.0	2.0	0.0	5.0	265.04663587	68.0	7.0	1.0
1.0	0.91666669	1.0	1.0	9.17e-05	0.10310108	0.84515425	6.0	1.0	0.0	5.0	319.13499165	500.0	8.0	1.0
0.92660552	0.75	0.96546864	0.82857143	0.27286369	0.47185206	0.50709255	5.0	2.0	1.0	4.0	340.34757876	16.0	9.0	1.0
1.0	0.92307693	1.0	1.0	0.00029918	0.13077068	0.84327404	8.0	0.0	1.0	4.0	391.12948942	411.0	0.0	2.0
0.99082571	0.91666669	1.0	0.8125	0.06957789	0.52528852	0.81649658	8.0	0.0	1.0	3.0	414.20211887	32.0	1.0	2.0
0.89908254	0.83333331	0.93636364	0.90625	0.3230836	0.47411594	0.625	7.0	1.0	1.0	3.0	435.8049407	11.0	2.0	2.0
1.0	0.83333331	1.0	0.91428571	0.01343701	0.42520389	0.65714286	6.0	1.0	1.0	4.0	462.22109795	63.0	3.0	2.0
1.0	0.83333331	1.0	0.91428571	0.04343268	0.37521932	0.65714286	6.0	1.0	1.0	4.0	489.60999393	42.0	4.0	2.0
0.93577981	0.91666669	0.96053559	0.94285714	0.28694384	0.35566843	0.83666003	7.0	0.0	1.0	4.0	510.26102018	14.0	5.0	2.0
1.0	0.83333331	1.0	0.97142857	0.04174289	0.27473888	0.71428571	5.0	2.0	0.0	5.0	540.21070933	48.0	6.0	2.0
1.0	0.91666669	1.0	0.97142857	0.008415	0.21416004	0.84515425	6.0	1.0	0.0	5.0	567.48881865	84.0	7.0	2.0
0.98165137	0.83333331	0.99894292	0.8	0.12883775	0.54695183	0.65714286	6.0	1.0	1.0	4.0	592.02336788	30.0	8.0	2.0
0.85321099	0.5	0.94186047	0.45714286	0.33393427	1.26930201	-0.02857143	4.0	3.0	3.0	2.0	615.60542536	6.0	9.0	2.0
1.0	0.92307693	1.0	0.9	0.02328699	0.26751822	0.84327404	8.0	0.0	1.0	4.0	641.98678374	59.0	0.0	3.0
0.99082571	0.91666669	1.0	0.75	0.07905463	0.42790937	0.81649658	8.0	0.0	1.0	3.0	667.17845798	36.0	1.0	3.0
0.83486241	0.75	0.91818182	0.65625	0.39945417	0.75512666	0.40824829	7.0	1.0	2.0	2.0	693.37605357	6.0	2.0	3.0
1.0	0.83333331	1.0	0.94285714	0.03233795	0.32023269	0.65714286	6.0	1.0	1.0	4.0	724.10604286	54.0	3.0	3.0
0.8440367	0.41666666	0.8957012	0.45714286	0.40863553	0.87823695	-0.11952286	2.0	5.0	2.0	3.0	750.14749503	6.0	4.0	3.0
0.95412844	0.91666669	0.97533474	1.0	0.22174599	0.30634624	0.83666003	7.0	0.0	1.0	4.0	775.74759841	19.0	5.0	3.0
0.96330273	0.83333331	0.98238196	0.85714286	0.18291276	0.52035052	0.65714286	6.0	1.0	1.0	4.0	800.07009912	21.0	6.0	3.0
1.0	0.91666669	1.0	1.0	0.0017864	0.2408701	0.84515425	6.0	1.0	0.0	5.0	836.4729178	193.0	7.0	3.0
0.98165137	0.91666669	0.99964764	1.0	0.13185635	0.27058777	0.83666003	7.0	0.0	1.0	4.0	869.61807966	26.0	8.0	3.0
1.0	0.91666669	1.0	0.94285714	0.02358608	0.2499274	0.83666003	7.0	0.0	1.0	4.0	898.26246667	56.0	9.0	3.0
0.8425926	0.76923078	0.92307692	0.675	0.36705064	0.72578323	0.53674504	6.0	2.0	1.0	4.0	923.21757174	8.0	0.0	4.0
1.0	0.75	1.0	0.90625	0.07390248	0.44329473	0.40824829	7.0	1.0	2.0	2.0	951.09620547	36.0	1.0	4.0
1.0	0.91666669	1.0	0.96875	0.03270647	0.2374835	0.81649658	8.0	0.0	1.0	3.0	982.95318604	49.0	2.0	4.0
0.96330273	0.66666669	0.97427766	0.71428571	0.20102081	0.65344518	0.37142857	4.0	3.0	1.0	4.0	1008.41099072	18.0	3.0	4.0
1.0	0.83333331	1.0	0.94285714	0.04533477	0.2812815	0.65714286	6.0	1.0	1.0	4.0	1039.51222968	44.0	4.0	4.0
0.88990825	0.66666669	0.9379845	0.82857143	0.34200744	0.59039289	0.31428571	5.0	2.0	2.0	3.0	1070.05993581	11.0	5.0	4.0
1.0	0.91666669	1.0	0.97142857	0.00593238	0.25178903	0.83666003	7.0	0.0	1.0	4.0	1103.31380391	98.0	6.0	4.0
0.83486241	0.75	0.90873855	0.68571429	0.40604227	0.75750846	0.47809144	6.0	1.0	2.0	3.0	1127.97884989	6.0	7.0	4.0
0.90825689	0.75	0.9577167	0.85714286	0.28610033	0.45515367	0.47809144	6.0	1.0	2.0	3.0	1153.5393765	14.0	8.0	4.0
1.0	0.91666669	1.0	1.0	0.00019171	0.15778337	0.84515425	6.0	1.0	0.0	5.0	1218.31635666	500.0	9.0	4.0
0.98148149	0.76923078	0.99821109	0.75	0.13471906	0.58090675	0.50069396	7.0	1.0	2.0	3.0	1247.6866889	31.0	0.0	5.0
0.93577981	0.75	0.97342657	0.84375	0.23108715	0.48177147	0.47809144	6.0	2.0	1.0	3.0	1273.67136073	17.0	1.0	5.0
0.96330273	0.75	0.97657343	0.875	0.23257826	0.54433399	0.47809144	6.0	2.0	1.0	3.0	1299.5431602	18.0	2.0	5.0
1.0	0.91666669	1.0	1.0	0.00027764	0.09684063	0.84515425	6.0	1.0	0.0	5.0	1357.62125516	366.0	3.0	5.0
1.0	0.75	1.0	0.97142857	0.02222379	0.32500243	0.52915026	7.0	0.0	3.0	2.0	1389.17039704	67.0	4.0	5.0
0.98165137	0.75	1.0	0.85714286	0.12300545	0.53401083	0.47809144	6.0	1.0	2.0	3.0	1417.66767073	29.0	5.0	5.0
0.85321099	0.75	0.92952784	0.74285714	0.35665654	0.70769614	0.47809144	6.0	1.0	2.0	3.0	1450.84171915	9.0	6.0	5.0
0.96330273	1.0	0.98484848	1.0	0.19585355	0.23126185	1.0	7.0	0.0	0.0	5.0	1477.8940587	20.0	7.0	5.0
0.99082571	0.83333331	1.0	0.91428571	0.08329356	0.42255947	0.68313005	7.0	0.0	2.0	3.0	1508.44740129	32.0	8.0	5.0
0.94495416	0.66666669	0.97885835	0.88571429	0.2382571	0.48795557	0.37142857	4.0	3.0	1.0	4.0	1536.68136954	21.0	9.0	5.0
1.0	0.92307693	1.0	1.0	0.00418607	0.1737801	0.85391256	7.0	1.0	0.0	5.0	1575.70462823	129.0	0.0	6.0
1.0	0.83333331	1.0	0.84375	0.04183997	0.44290158	0.63245553	8.0	0.0	2.0	2.0	1610.05539179	52.0	1.0	6.0
0.95412844	0.66666669	0.97202797	0.84375	0.23445049	0.66266704	0.35355339	5.0	3.0	1.0	3.0	1641.92422485	17.0	2.0	6.0
0.91743118	0.75	0.95877378	0.94285714	0.29139193	0.36354318	0.47809144	6.0	1.0	2.0	3.0	1670.51551294	15.0	3.0	6.0
1.0	0.83333331	1.0	0.94285714	0.01115251	0.30979747	0.65714286	6.0	1.0	1.0	4.0	1703.5135076	74.0	4.0	6.0
0.98165137	0.75	1.0	0.77142857	0.09459396	0.54492402	0.47809144	6.0	1.0	2.0	3.0	1731.45284271	35.0	5.0	6.0
0.83486241	0.75	0.91050035	0.71428571	0.38565516	0.73747808	0.50709255	5.0	2.0	1.0	4.0	1760.67378712	8.0	6.0	6.0
0.97247708	0.91666669	0.98766737	0.88571429	0.16296538	0.38951442	0.83666003	7.0	0.0	1.0	4.0	1790.93560624	24.0	7.0	6.0
0.99082571	0.91666669	1.0	0.8	0.07772098	0.5656625	0.83666003	7.0	0.0	1.0	4.0	1827.08350801	32.0	8.0	6.0
0.98165137	0.83333331	0.99859056	0.91428571	0.12950102	0.37125781	0.65714286	6.0	1.0	1.0	4.0	1855.60606527	26.0	9.0	6.0
0.82407409	0.69230771	0.91592129	0.7	0.39270951	0.72704476	0.31754265	7.0	1.0	3.0	2.0	1884.48414612	8.0	0.0	7.0
1.0	0.83333331	1.0	0.875	0.04316935	0.40617386	0.63245553	8.0	0.0	2.0	2.0	1916.31048393	45.0	1.0	7.0
0.88073397	0.75	0.93111888	0.78125	0.34867023	0.5585174	0.40824829	7.0	1.0	2.0	2.0	1947.49071288	10.0	2.0	7.0
0.90825689	0.91666669	0.94714588	0.85714286	0.32164318	0.44271088	0.84515425	6.0	1.0	0.0	5.0	1981.07128525	12.0	3.0	7.0
1.0	0.91666669	1.0	0.94285714	0.04719728	0.23342395	0.83666003	7.0	0.0	1.0	4.0	2013.36284351	40.0	4.0	7.0
0.89908254	0.75	0.94890768	0.88571429	0.32127758	0.45134655	0.50709255	5.0	2.0	1.0	4.0	2041.01959705	14.0	5.0	7.0
0.98165137	0.58333331	1.0	0.88571429	0.08059611	0.55481339	0.23904572	3.0	4.0	1.0	4.0	2077.93971992	35.0	6.0	7.0
1.0	0.83333331	1.0	0.94285714	0.03230536	0.33742738	0.65714286	6.0	1.0	1.0	4.0	2111.80770135	53.0	7.0	7.0
0.89908254	0.66666669	0.95912615	0.85714286	0.30425238	0.64004475	0.29277002	6.0	1.0	3.0	2.0	2144.49056578	17.0	8.0	7.0
0.98165137	0.91666669	0.99788584	0.85714286	0.12849621	0.40232229	0.83666003	7.0	0.0	1.0	4.0	2177.94557977	29.0	9.0	7.0
0.8611111	0.69230771	0.9177102	0.725	0.37774822	0.64954144	0.31754265	7.0	1.0	3.0	2.0	2206.36690259	9.0	0.0	8.0
0.94495416	0.58333331	0.96923077	0.6875	0.25175288	0.68232012	0.11952286	5.0	3.0	2.0	2.0	2240.70690489	16.0	1.0	8.0
1.0	0.91666669	1.0	1.0	0.00043792	0.1166824	0.83666003	7.0	1.0	0.0	4.0	2302.31509399	321.0	2.0	8.0
0.99082571	0.66666669	1.0	0.88571429	0.08372806	0.42703167	0.29277002	6.0	1.0	3.0	2.0	2333.55081868	34.0	3.0	8.0
1.0	0.91666669	1.0	1.0	0.00018119	0.07858749	0.83666003	7.0	0.0	1.0	4.0	2413.69674444	500.0	4.0	8.0
0.96330273	0.83333331	0.99083862	0.8	0.16750669	0.59457749	0.65714286	6.0	1.0	1.0	4.0	2447.21767807	23.0	5.0	8.0
1.0	0.91666669	1.0	1.0	0.00016971	0.16379075	0.83666003	7.0	0.0	1.0	4.0	2528.47320008	500.0	6.0	8.0
1.0	1.0	1.0	1.0	0.00014603	0.03273746	1.0	7.0	0.0	0.0	5.0	2607.68194532	500.0	7.0	8.0
1.0	1.0	1.0	1.0	0.00018427	0.05495331	1.0	7.0	0.0	0.0	5.0	2690.2644918	500.0	8.0	8.0
0.89908254	0.66666669	0.94679352	0.77142857	0.32110912	0.65039366	0.31428571	5.0	2.0	2.0	3.0	2730.93690467	9.0	9.0	8.0
0.97222221	0.69230771	0.98282648	0.825	0.21585602	0.58237445	0.41475753	5.0	3.0	1.0	4.0	2765.60695601	21.0	0.0	9.0
1.0	0.91666669	1.0	0.96875	0.04994538	0.26973882	0.81649658	8.0	0.0	1.0	3.0	2803.33141398	44.0	1.0	9.0
1.0	0.83333331	1.0	0.9375	0.02681082	0.32061365	0.625	7.0	1.0	1.0	3.0	2840.42975664	61.0	2.0	9.0
0.95412844	0.83333331	0.99365751	0.91428571	0.18009031	0.39322495	0.68313005	7.0	0.0	2.0	3.0	2876.8289535	22.0	3.0	9.0
0.82568806	0.66666669	0.92706131	0.62857143	0.36136032	0.8919192	0.29277002	6.0	1.0	3.0	2.0	2910.42143464	6.0	4.0	9.0
0.95412844	0.83333331	0.98520085	0.77142857	0.20631583	0.5377714	0.65714286	6.0	1.0	1.0	4.0	2949.25454855	21.0	5.0	9.0
0.98165137	0.75	0.99929528	0.94285714	0.11851119	0.34578395	0.50709255	5.0	2.0	1.0	4.0	2987.48301625	26.0	6.0	9.0
0.99082571	0.91666669	0.99788584	0.85714286	0.13046724	0.46207836	0.83666003	7.0	0.0	1.0	4.0	3026.9122541	26.0	7.0	9.0
1.0	0.83333331	1.0	0.94285714	0.00191695	0.27578321	0.65714286	6.0	1.0	1.0	4.0	3074.40748096	167.0	8.0	9.0
0.99082571	0.83333331	1.0	0.88571429	0.08652566	0.4453145	0.68313005	7.0	0.0	2.0	3.0	3113.63623524	31.0	9.0	9.0
1.0	0.61538464	1.0	0.8	0.03072027	0.50482172	0.21957752	5.0	3.0	2.0	3.0	3155.07815146	57.0	0.0	10.0
0.95412844	0.91666669	0.96398601	1.0	0.26925867	0.25108159	0.81649658	8.0	0.0	1.0	3.0	3197.86631036	18.0	1.0	10.0
0.98165137	0.75	0.99825175	0.8125	0.14263629	0.54966927	0.47809144	6.0	2.0	1.0	3.0	3237.55711603	28.0	2.0	10.0
0.92660552	0.83333331	0.96476392	1.0	0.27900971	0.3167806	0.68313005	7.0	0.0	2.0	3.0	3270.4805963	13.0	3.0	10.0
0.98165137	0.83333331	0.99647639	0.8	0.16675862	0.56042266	0.65714286	6.0	1.0	1.0	4.0	3304.29446554	24.0	4.0	10.0
0.95412844	0.83333331	0.99400987	0.77142857	0.18612427	0.59223133	0.68313005	7.0	0.0	2.0	3.0	3339.13771462	20.0	5.0	10.0
