train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
0.93939394	0.72727275	0.98970252	0.83333333	0.18060512	0.43844888	0.24056261	7.0	2.0	1.0	1.0	40.93281102	16.0	0.0	1.0
0.97979796	0.81818181	0.99771167	0.88888889	0.08454986	0.30880472	0.0	9.0	0.0	2.0	0.0	59.48934937	36.0	1.0	1.0
0.969697	0.90909094	0.99256293	0.88888889	0.13487548	0.24087958	0.76980036	8.0	1.0	0.0	2.0	77.08573604	27.0	2.0	1.0
0.95959598	0.90909094	0.99713959	1.0	0.09994994	0.15747727	0.67082039	9.0	0.0	1.0	1.0	95.22159123	33.0	3.0	1.0
0.93939394	0.81818181	0.9902746	0.77777778	0.18859559	0.41215923	0.38888889	8.0	1.0	1.0	1.0	112.69266891	21.0	4.0	1.0
1.0	1.0	1.0	1.0	0.02385375	0.10735182	1.0	8.0	0.0	0.0	3.0	135.63237119	84.0	5.0	1.0
0.98989898	0.72727275	1.0	0.91666667	0.07396607	0.36630151	0.24056261	7.0	1.0	2.0	1.0	154.70878077	39.0	6.0	1.0
1.0	0.90909094	1.0	0.95833333	0.01905819	0.21199302	0.76980036	8.0	0.0	1.0	2.0	175.24960208	79.0	7.0	1.0
0.85858583	0.72727275	0.96989374	0.54166667	0.29405104	0.60650307	0.24056261	7.0	1.0	2.0	1.0	191.53078246	9.0	8.0	1.0
1.0	0.90909094	1.0	1.0	0.03243044	0.18259501	0.76980036	8.0	0.0	1.0	2.0	212.86246395	62.0	9.0	1.0
0.98989898	0.90909094	0.99828375	0.94444444	0.0866612	0.23014979	0.67082039	9.0	0.0	1.0	1.0	236.1977706	35.0	0.0	2.0
1.0	0.81818181	1.0	0.94444444	0.07789411	0.2597419	0.38888889	8.0	1.0	1.0	1.0	255.74283814	41.0	1.0	2.0
1.0	0.90909094	1.0	0.94444444	0.01865772	0.24968004	0.76980036	8.0	1.0	0.0	2.0	278.85701323	88.0	2.0	2.0
0.98989898	0.90909094	0.99885584	0.94444444	0.08032313	0.19084257	0.67082039	9.0	0.0	1.0	1.0	299.93076587	42.0	3.0	2.0
1.0	0.90909094	1.0	1.0	0.00025944	0.14946896	0.76980036	8.0	1.0	0.0	2.0	349.78369069	500.0	4.0	2.0
0.97979796	0.90909094	0.99940968	1.0	0.09307834	0.15593003	0.81009259	7.0	1.0	0.0	3.0	370.51668644	30.0	5.0	2.0
0.969697	0.72727275	0.99409681	1.0	0.13541162	0.4062497	0.0	8.0	0.0	3.0	0.0	394.04324937	22.0	6.0	2.0
0.92929292	0.81818181	0.97638725	0.79166667	0.19875141	0.54247302	0.51639778	8.0	0.0	2.0	1.0	413.49836445	18.0	7.0	2.0
0.9191919	0.72727275	0.97284534	0.70833333	0.24040202	0.57523119	0.24056261	7.0	1.0	2.0	1.0	433.29807091	13.0	8.0	2.0
1.0	0.72727275	1.0	0.79166667	0.04896566	0.4306083	0.24056261	7.0	1.0	2.0	1.0	454.98658776	59.0	9.0	2.0
1.0	0.90909094	1.0	0.94444444	0.045415	0.20409426	0.67082039	9.0	0.0	1.0	1.0	477.29478335	58.0	0.0	3.0
1.0	1.0	1.0	1.0	0.00027228	0.03530769	1.0	9.0	0.0	0.0	2.0	528.89152813	500.0	1.0	3.0
0.79797977	0.81818181	0.97540046	0.44444444	0.35737882	0.53260487	0.0	9.0	0.0	2.0	0.0	549.15032649	8.0	2.0	3.0
0.94949496	0.72727275	0.98741419	0.88888889	0.15218132	0.27907041	-0.1490712	8.0	1.0	2.0	0.0	572.27337623	22.0	3.0	3.0
0.93939394	0.81818181	0.98340961	0.61111111	0.21088146	0.44759414	0.38888889	8.0	1.0	1.0	1.0	592.10593104	17.0	4.0	3.0
0.98989898	0.90909094	1.0	1.0	0.05037307	0.23783278	0.76980036	8.0	0.0	1.0	2.0	616.75181246	57.0	5.0	3.0
1.0	0.90909094	1.0	0.95833333	0.00759339	0.19215892	0.76980036	8.0	0.0	1.0	2.0	644.7160697	111.0	6.0	3.0
1.0	0.90909094	1.0	1.0	0.01869223	0.19303916	0.76980036	8.0	0.0	1.0	2.0	670.0918324	75.0	7.0	3.0
1.0	0.81818181	1.0	0.91666667	0.01816973	0.25344059	0.51639778	8.0	0.0	2.0	1.0	695.63110065	80.0	8.0	3.0
0.94949496	0.72727275	0.98701299	0.79166667	0.18545511	0.46787274	0.24056261	7.0	1.0	2.0	1.0	717.69789052	19.0	9.0	3.0
