train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
0.71806169	0.61538464	0.80646259	0.5620915	0.55508752	0.67538371	-0.00973262	1.0	8.0	2.0	15.0	102.186728	7.0	0.0	1.0
0.72687227	0.57692307	0.83596939	0.49019608	0.54193123	0.71271431	-0.08618128	1.0	8.0	3.0	14.0	131.76462531	8.0	1.0	1.0
0.83700442	0.61538464	0.94965986	0.61437908	0.43152306	0.6466022	0.05522779	2.0	7.0	3.0	14.0	163.57199764	15.0	2.0	1.0
0.75438595	0.68000001	0.90518183	0.58088235	0.49569283	0.64859696	0.0	0.0	8.0	0.0	17.0	201.0733602	11.0	3.0	1.0
0.9649123	0.72000003	0.99746622	0.77777778	0.24194931	0.54375643	0.35460407	3.0	6.0	1.0	15.0	234.95031667	22.0	4.0	1.0
0.75438595	0.60000002	0.84738176	0.52083333	0.5281639	0.70678407	-0.15309311	0.0	9.0	1.0	15.0	270.29265928	9.0	5.0	1.0
0.71929824	0.56	0.81461149	0.46527778	0.55623285	0.68113085	-0.22116293	0.0	9.0	2.0	14.0	309.68693471	8.0	6.0	1.0
0.84210527	0.63999999	0.95608108	0.72916667	0.41646401	0.62688378	0.08600781	1.0	8.0	1.0	15.0	358.43953586	15.0	7.0	1.0
0.99122804	0.72000003	0.99991554	0.75694444	0.19459347	0.59530938	0.35902456	4.0	5.0	2.0	14.0	393.80889487	28.0	8.0	1.0
0.73245615	0.68000001	0.82195946	0.52083333	0.55590911	0.67919176	0.27216553	1.0	8.0	0.0	16.0	433.56796503	8.0	9.0	1.0
0.81497794	0.65384614	0.93154762	0.66013072	0.44501528	0.61120678	0.09335201	1.0	8.0	1.0	16.0	477.2729063	14.0	0.0	2.0
0.79295152	0.61538464	0.87670068	0.53594771	0.4910877	0.694672	0.05522779	2.0	7.0	3.0	14.0	509.83837891	10.0	1.0	2.0
0.97797358	0.76923078	0.9997449	0.81699346	0.22767473	0.49656543	0.46549138	4.0	5.0	1.0	16.0	544.47872281	30.0	2.0	2.0
0.90789473	0.63999999	0.98815823	0.67647059	0.32270765	0.61694933	0.01055501	1.0	7.0	2.0	15.0	583.52320671	20.0	3.0	2.0
0.9868421	0.75999999	0.9995777	0.71527778	0.18117667	0.61921327	0.46028325	5.0	4.0	2.0	14.0	623.96908045	32.0	4.0	2.0
0.71929824	0.63999999	0.80337838	0.49305556	0.56581575	0.68890174	0.0	0.0	9.0	0.0	16.0	667.31484652	6.0	5.0	2.0
0.92543858	0.72000003	0.99518581	0.75	0.30426093	0.59141189	0.39317855	2.0	7.0	0.0	16.0	711.78293252	23.0	6.0	2.0
0.72368419	0.63999999	0.84037162	0.60416667	0.54645881	0.64200882	0.12729377	2.0	7.0	2.0	14.0	750.03702283	9.0	7.0	2.0
0.75	0.60000002	0.85050676	0.5625	0.52150004	0.7074055	-0.15309311	0.0	9.0	1.0	15.0	783.39856982	8.0	8.0	2.0
0.71052629	0.63999999	0.79653716	0.38194444	0.56338606	0.75732568	0.0	0.0	9.0	0.0	16.0	827.77784348	6.0	9.0	2.0
0.75770926	0.73076922	0.87465986	0.5751634	0.50558265	0.64712037	0.36196138	3.0	6.0	1.0	16.0	858.38214898	10.0	0.0	3.0
0.85022026	0.69230771	0.93571429	0.60784314	0.43452793	0.64436115	0.24331548	2.0	7.0	1.0	16.0	895.69417357	14.0	1.0	3.0
1.0	0.73076922	1.0	0.78431373	0.08888759	0.53029231	0.39674602	2.0	7.0	0.0	17.0	938.66640544	45.0	2.0	3.0
0.69736844	0.63999999	0.77324263	0.53676471	0.58197656	0.64676438	0.01055501	1.0	7.0	2.0	15.0	971.36616397	6.0	3.0	3.0
0.70614034	0.63999999	0.83648649	0.52083333	0.53235453	0.72209888	0.08600781	1.0	8.0	1.0	15.0	1004.81224751	7.0	4.0	3.0
