train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
0.75404531	0.65714288	0.91432043	0.69607843	0.51436449	0.63826426	0.31372549	12.0	6.0	6.0	11.0	154.64172649	20.0	0.0	1.0
0.66343039	0.51428574	0.79721803	0.57189542	0.63493777	0.70050498	0.020646	12.0	6.0	11.0	6.0	197.4373064	8.0	1.0	1.0
0.75080907	0.62857145	0.90832914	0.59150327	0.53281603	0.68949878	0.25816993	11.0	7.0	6.0	11.0	242.41387248	20.0	2.0	1.0
0.83818769	0.80000001	0.95923412	0.73202614	0.39767145	0.61620131	0.61059098	13.0	5.0	2.0	15.0	289.60911489	29.0	3.0	1.0
0.84516132	0.70588237	0.96174181	0.6816609	0.43137515	0.67071053	0.41464421	13.0	4.0	6.0	11.0	339.71537733	28.0	4.0	1.0
0.70322579	0.67647058	0.86819866	0.68512111	0.55729881	0.64194306	0.35355339	12.0	5.0	6.0	11.0	386.19782829	15.0	5.0	1.0
0.7903226	0.55882353	0.94388244	0.70242215	0.44591315	0.65851927	0.12309149	12.0	5.0	10.0	7.0	430.43774652	23.0	6.0	1.0
0.87096775	0.64705884	0.97343991	0.69204152	0.37971268	0.65515821	0.29411765	11.0	6.0	6.0	11.0	483.55559015	34.0	7.0	1.0
0.73870969	0.64705884	0.87386037	0.68858131	0.54269068	0.64174634	0.30261377	9.0	8.0	4.0	13.0	538.0731051	16.0	8.0	1.0
0.87096775	0.58823532	0.97822738	0.66089965	0.36955594	0.69237806	0.18860838	13.0	4.0	10.0	7.0	585.71998572	32.0	9.0	1.0
0.73462784	0.6857143	0.88989442	0.73202614	0.52468072	0.60293565	0.37049379	13.0	5.0	6.0	11.0	633.0073719	16.0	0.0	2.0
0.66666669	0.48571429	0.77706553	0.51633987	0.64346386	0.71961235	-0.03718339	11.0	7.0	11.0	6.0	678.12492394	8.0	1.0	2.0
0.9644013	0.6857143	0.99903637	0.7875817	0.1900008	0.55631641	0.37340802	14.0	4.0	7.0	10.0	728.28710651	51.0	2.0	2.0
0.65695792	0.40000001	0.78171611	0.45751634	0.64396394	0.74028607	-0.19943817	5.0	13.0	8.0	9.0	771.21358418	8.0	3.0	2.0
0.74193549	0.67647058	0.89788102	0.71280277	0.5288325	0.63047936	0.35355339	12.0	5.0	6.0	11.0	828.83550072	20.0	4.0	2.0
0.86774194	0.64705884	0.97373132	0.71280277	0.39093391	0.62062977	0.29411765	11.0	6.0	6.0	11.0	878.64559984	33.0	5.0	2.0
0.81935483	0.67647058	0.95712085	0.74740484	0.41736991	0.60445237	0.35355339	12.0	5.0	6.0	11.0	931.29236341	30.0	6.0	2.0
0.80967742	0.70588237	0.94729612	0.67820069	0.43609594	0.63637959	0.41464421	13.0	4.0	6.0	11.0	976.42234254	27.0	7.0	2.0
0.68387097	0.61764705	0.8303984	0.61245675	0.58665451	0.691053	0.23570226	11.0	6.0	7.0	10.0	1032.56333637	11.0	8.0	2.0
0.93870968	0.7647059	0.99608676	0.82352941	0.26836373	0.54818095	0.52941176	13.0	4.0	4.0	13.0	1087.07225394	42.0	9.0	2.0
0.63430423	0.54285717	0.75483912	0.55882353	0.65687881	0.70253112	0.09335201	8.0	10.0	6.0	11.0	1132.50971413	8.0	0.0	3.0
0.75728154	0.74285716	0.90849673	0.7124183	0.50219097	0.62880293	0.49009803	15.0	3.0	6.0	11.0	1180.00579882	21.0	1.0	3.0
0.70226538	0.5714286	0.86035696	0.58823529	0.58084498	0.68977251	0.14002801	12.0	6.0	9.0	8.0	1227.18298006	13.0	2.0	3.0
0.91262138	0.74285716	0.99593598	0.80392157	0.27444048	0.52622942	0.48524851	14.0	4.0	5.0	12.0	1278.13376808	41.0	3.0	3.0
0.63870966	0.55882353	0.80691895	0.58823529	0.63026155	0.692334	0.12909944	6.0	11.0	4.0	13.0	1322.01298904	11.0	4.0	3.0
0.61612904	0.44117647	0.73660547	0.51211073	0.66125416	0.70409047	-0.11952286	6.0	11.0	8.0	9.0	1365.93851185	8.0	5.0	3.0
0.73225808	0.58823532	0.88168686	0.64705882	0.54382236	0.66879309	0.17770466	11.0	6.0	8.0	9.0	1410.23233461	18.0	6.0	3.0
0.64516127	0.52941179	0.72765497	0.4982699	0.65922061	0.70012548	0.06286946	6.0	11.0	5.0	12.0	1459.86150599	8.0	7.0	3.0
0.90967745	0.7352941	0.98530453	0.83044983	0.32931649	0.53209213	0.47809144	14.0	3.0	6.0	11.0	1511.51200843	41.0	8.0	3.0
0.99032259	0.64705884	0.99991674	0.73010381	0.14635181	0.57433338	0.29617444	12.0	5.0	7.0	10.0	1567.47785902	61.0	9.0	3.0
0.83495146	0.65714288	0.95986258	0.68954248	0.39439022	0.63802219	0.31372549	12.0	6.0	6.0	11.0	1620.70009661	31.0	0.0	4.0
0.60841423	0.51428574	0.77140942	0.5751634	0.65380928	0.70206897	0.03300492	8.0	10.0	7.0	10.0	1669.07160926	8.0	1.0	4.0
0.64401293	0.48571429	0.78490028	0.54901961	0.64081021	0.69969308	-0.02622965	8.0	10.0	8.0	9.0	1716.91683912	9.0	2.0	4.0
0.61488676	0.48571429	0.76378415	0.39542484	0.65342411	0.79603698	-0.023338	7.0	11.0	7.0	10.0	1767.2003777	8.0	3.0	4.0
0.92903227	0.82352942	0.99650306	0.85467128	0.26326289	0.50610127	0.65158377	15.0	2.0	4.0	13.0	1821.80162716	41.0	4.0	4.0
0.76129031	0.61764705	0.90670663	0.67128028	0.51473682	0.64966834	0.23904572	12.0	5.0	8.0	9.0	1871.24589992	22.0	5.0	4.0
0.92903227	0.7647059	0.99300612	0.76470588	0.28750244	0.56398717	0.56582515	16.0	1.0	7.0	10.0	1922.90454555	42.0	6.0	4.0
0.74516129	0.70588237	0.88851422	0.73356401	0.53622463	0.60378167	0.41464421	13.0	4.0	6.0	11.0	1968.60616231	20.0	7.0	4.0
0.73225808	0.64705884	0.90062862	0.62975779	0.5395634	0.66615422	0.29411765	11.0	6.0	6.0	11.0	2017.75453687	20.0	8.0	4.0
0.57741934	0.44117647	0.72024479	0.47404844	0.66650585	0.72256369	-0.15430335	2.0	15.0	4.0	13.0	2064.4262259	8.0	9.0	4.0
0.82847899	0.65714288	0.95722306	0.75816993	0.40630345	0.6045843	0.3180345	11.0	7.0	5.0	12.0	2119.61486459	32.0	0.0	5.0
0.65372169	0.62857145	0.8063097	0.58169935	0.62008566	0.68913206	0.25573908	12.0	6.0	7.0	10.0	2168.88894677	11.0	1.0	5.0
0.60194176	0.65714288	0.7572901	0.54248366	0.65790146	0.69593844	0.36155076	8.0	10.0	2.0	15.0	2218.73417854	10.0	2.0	5.0
0.88996762	0.5714286	0.98399531	0.71895425	0.32176499	0.60356733	0.14002801	12.0	6.0	9.0	8.0	2277.19735074	39.0	3.0	5.0
0.79677421	0.61764705	0.93339162	0.60207612	0.47719604	0.71353911	0.23904572	12.0	5.0	8.0	9.0	2332.97367191	26.0	4.0	5.0
0.77741933	0.70588237	0.92069439	0.69204152	0.49624151	0.6516808	0.42365927	10.0	7.0	3.0	14.0	2387.54711127	25.0	5.0	5.0
0.97419357	0.82352942	0.99979185	0.85121107	0.1719812	0.48396146	0.64705882	14.0	3.0	3.0	14.0	2454.66969323	55.0	6.0	5.0
0.83548385	0.7647059	0.96923525	0.80622837	0.41443297	0.53241385	0.54470478	15.0	2.0	6.0	11.0	2511.90308428	31.0	7.0	5.0
0.88709676	0.7647059	0.98759419	0.74740484	0.32706803	0.65096714	0.54470478	15.0	2.0	6.0	11.0	2565.74647045	40.0	8.0	5.0
0.59354836	0.41176471	0.72049457	0.33217993	0.67009695	0.73710661	-0.18156826	5.0	12.0	8.0	9.0	2611.33588958	8.0	9.0	5.0
0.84142393	0.62857145	0.95328473	0.76143791	0.42240486	0.55937952	0.27380495	9.0	9.0	4.0	13.0	2665.512079	29.0	0.0	6.0
0.69902915	0.5714286	0.85679571	0.63398693	0.57507412	0.66399164	0.14098436	11.0	7.0	8.0	9.0	2758.41519451	17.0	1.0	6.0
0.62459546	0.45714286	0.76491537	0.44117647	0.65396299	0.76263634	-0.08496732	8.0	10.0	9.0	8.0	2809.03731275	8.0	2.0	6.0
0.74110031	0.5714286	0.90082956	0.66013072	0.51218566	0.67834188	0.14108102	13.0	5.0	10.0	7.0	2863.04324389	23.0	3.0	6.0
0.77741933	0.64705884	0.92735523	0.69896194	0.4852353	0.66149986	0.29617444	10.0	7.0	5.0	12.0	2914.18567753	26.0	4.0	6.0
0.84516132	0.64705884	0.96120062	0.75778547	0.40791066	0.60337359	0.29411765	11.0	6.0	6.0	11.0	2981.4424026	33.0	5.0	6.0
0.81612903	0.61764705	0.95699596	0.75086505	0.42154448	0.6170901	0.23904572	12.0	5.0	8.0	9.0	3039.88722277	35.0	6.0	6.0
0.70322579	0.61764705	0.85437742	0.62975779	0.57931011	0.65893626	0.23570226	11.0	6.0	7.0	10.0	3088.64162636	15.0	7.0	6.0
0.75806451	0.55882353	0.9044586	0.61937716	0.51418737	0.6747832	0.11785113	10.0	7.0	8.0	9.0	3145.2490685	22.0	8.0	6.0
0.86451614	0.7647059	0.97614587	0.80276817	0.3607897	0.5376999	0.52941176	13.0	4.0	4.0	13.0	3211.89363384	36.0	9.0	6.0
0.59870553	0.60000002	0.75544662	0.52614379	0.66914192	0.70183295	0.19934641	11.0	7.0	7.0	10.0	3262.32601762	8.0	0.0	7.0
0.74757284	0.65714288	0.88616558	0.69607843	0.54650611	0.63835603	0.31372549	12.0	6.0	6.0	11.0	3316.1127367	20.0	1.0	7.0
1.0	0.65714288	1.0	0.81372549	0.06026439	0.51480805	0.31354672	13.0	5.0	7.0	10.0	3384.21253395	76.0	2.0	7.0
0.72815531	0.5714286	0.88159879	0.63398693	0.5618208	0.68699194	0.14379085	10.0	8.0	7.0	10.0	3438.29249454	19.0	3.0	7.0
0.58709675	0.52941179	0.71970359	0.49480969	0.67290854	0.7112342	0.06286946	6.0	11.0	5.0	12.0	3494.76934958	8.0	4.0	7.0
0.86451614	0.61764705	0.97710337	0.79930796	0.36204468	0.55805998	0.23904572	12.0	5.0	8.0	9.0	3551.24214959	34.0	5.0	7.0
0.95483869	0.7647059	0.99966696	0.86851211	0.1995025	0.49200044	0.53311399	14.0	3.0	5.0	12.0	3616.59939456	54.0	6.0	7.0
0.82903224	0.7647059	0.95861954	0.8200692	0.41972783	0.52605707	0.53311399	14.0	3.0	5.0	12.0	3673.03910136	34.0	7.0	7.0
0.60000002	0.47058824	0.78710295	0.43944637	0.65864169	0.7433669	-0.06286946	5.0	12.0	6.0	11.0	3726.22165012	8.0	8.0	7.0
0.7903226	0.61764705	0.92577328	0.67128028	0.48140079	0.6729347	0.23570226	11.0	6.0	7.0	10.0	3785.25583959	28.0	9.0	7.0
0.75404531	0.62857145	0.91260265	0.66013072	0.51994833	0.66927834	0.25573908	12.0	6.0	7.0	10.0	3841.01773214	22.0	0.0	8.0
0.82200646	0.6857143	0.95935981	0.7875817	0.40720658	0.55987766	0.37254902	12.0	6.0	5.0	12.0	3897.66000891	32.0	1.0	8.0
0.74433655	0.74285716	0.88767387	0.71895425	0.56132104	0.62451826	0.49009803	15.0	3.0	6.0	11.0	3953.98995137	17.0	2.0	8.0
0.84466022	0.74285716	0.96870287	0.78431373	0.39430547	0.57867607	0.49009803	15.0	3.0	6.0	11.0	4013.50609016	33.0	3.0	8.0
0.65483868	0.52941179	0.8057533	0.56747405	0.63211447	0.6897585	0.05923489	8.0	9.0	7.0	10.0	4065.2945323	10.0	4.0	8.0
0.82258064	0.55882353	0.9596603	0.6366782	0.41167546	0.66340807	0.11952286	11.0	6.0	9.0	8.0	4127.28724432	31.0	5.0	8.0
0.63870966	0.32352942	0.77182465	0.43252595	0.6480216	0.71861821	-0.35856858	4.0	13.0	10.0	7.0	4177.29046226	8.0	6.0	8.0
0.80000001	0.67647058	0.95241664	0.71280277	0.44647895	0.65480927	0.35856858	10.0	7.0	4.0	13.0	4234.99546933	29.0	7.0	8.0
0.91290325	0.70588237	0.98930103	0.76124567	0.30963417	0.58498662	0.41176471	12.0	5.0	5.0	12.0	4295.84405184	41.0	8.0	8.0
0.81290323	0.64705884	0.94592232	0.69550173	0.45054683	0.63316662	0.29617444	12.0	5.0	7.0	10.0	4355.07175732	27.0	9.0	8.0
0.86084145	0.71428573	0.96551869	0.7254902	0.39593485	0.62428968	0.42810458	13.0	5.0	5.0	12.0	4417.18654084	33.0	0.0	9.0
0.67313915	0.65714288	0.78988604	0.59150327	0.6426563	0.69400569	0.31372549	12.0	6.0	6.0	11.0	4470.68531799	9.0	1.0	9.0
0.73462784	0.5714286	0.90116474	0.64379085	0.52169065	0.69474569	0.14852213	9.0	9.0	6.0	11.0	4529.94533992	19.0	2.0	9.0
0.79935277	0.74285716	0.94808949	0.75816993	0.45167082	0.6368576	0.48524851	14.0	4.0	5.0	12.0	4588.75204754	28.0	3.0	9.0
0.7870968	0.67647058	0.93684693	0.76470588	0.47819445	0.56160932	0.35856858	13.0	4.0	7.0	10.0	4644.97786617	24.0	4.0	9.0
0.84193546	0.67647058	0.96669581	0.68858131	0.40076719	0.65224776	0.36927447	14.0	3.0	8.0	9.0	4703.47318172	30.0	5.0	9.0
0.66129035	0.64705884	0.79451313	0.58131488	0.62898002	0.7026054	0.29617444	12.0	5.0	7.0	10.0	4757.48527193	9.0	6.0	9.0
0.68064517	0.55882353	0.80791807	0.61937716	0.61967515	0.68274306	0.11952286	11.0	6.0	9.0	8.0	4811.41513276	12.0	7.0	9.0
0.85806453	0.61764705	0.96602972	0.70934256	0.40572734	0.62047793	0.23570226	11.0	6.0	7.0	10.0	4869.78095365	31.0	8.0	9.0
0.81290323	0.61764705	0.92365014	0.64359862	0.4864013	0.65623375	0.23570226	10.0	7.0	6.0	11.0	4931.30342555	23.0	9.0	9.0
0.64401293	0.54285717	0.7933635	0.53594771	0.64530807	0.70826574	0.08496732	10.0	8.0	8.0	9.0	4988.63159704	9.0	0.0	10.0
0.79288024	0.71428573	0.94255907	0.70588235	0.46664598	0.63875891	0.42906394	14.0	4.0	6.0	11.0	5050.05064726	28.0	1.0	10.0
0.89644015	0.65714288	0.98487515	0.68627451	0.32654975	0.67676149	0.31372549	12.0	6.0	6.0	11.0	5116.48138332	42.0	2.0	10.0
0.80582523	0.60000002	0.94310374	0.67320261	0.45550114	0.65368712	0.19802951	12.0	6.0	8.0	9.0	5177.30981827	29.0	3.0	10.0
0.89354837	0.58823532	0.98380584	0.71626298	0.31780634	0.61315487	0.18156826	12.0	5.0	9.0	8.0	5246.52507591	41.0	4.0	10.0
0.99354839	0.7352941	0.99983348	0.83737024	0.14215088	0.49700064	0.47140452	13.0	4.0	5.0	12.0	5322.2483139	65.0	5.0	10.0
0.89354837	0.7647059	0.98151617	0.79584775	0.34725931	0.55428462	0.53311399	12.0	5.0	3.0	14.0	5389.22055435	37.0	6.0	10.0
0.74193549	0.64705884	0.91773865	0.67820069	0.52191348	0.63969893	0.29617444	12.0	5.0	7.0	10.0	5447.24620724	23.0	7.0	10.0
1.0	0.7647059	1.0	0.84083045	0.05434484	0.5394818	0.54470478	15.0	2.0	6.0	11.0	5521.68737578	88.0	8.0	10.0
0.69999999	0.58823532	0.84938179	0.6816609	0.57037651	0.66094455	0.17647059	10.0	7.0	7.0	10.0	5578.03166652	16.0	9.0	10.0
