train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
0.98837209	0.60000002	1.0	0.76	0.16067506	0.60697603	0.21821789	2.0	3.0	1.0	4.0	36.0632844	49.0	0.0	1.0
0.77906978	0.60000002	0.87664474	0.52	0.50131712	0.76929468	0.21821789	2.0	3.0	1.0	4.0	58.67354608	10.0	1.0	1.0
0.95348835	0.69999999	0.99013158	0.92	0.24839607	0.44228166	0.40824829	3.0	2.0	1.0	4.0	74.71928978	33.0	2.0	1.0
0.74418604	0.5	0.85051828	0.375	0.56812857	0.72834778	-0.08908708	1.0	3.0	2.0	4.0	94.22011209	8.0	3.0	1.0
0.87209302	0.69999999	0.94871795	0.83333333	0.35812813	0.52365762	0.40824829	3.0	1.0	2.0	4.0	110.65235448	24.0	4.0	1.0
1.0	0.80000001	1.0	0.91666667	0.0401093	0.40631804	0.66666667	4.0	0.0	2.0	4.0	129.11253047	75.0	5.0	1.0
0.77011496	0.77777779	0.88194444	0.6	0.51407702	0.71017861	0.55	3.0	1.0	1.0	4.0	147.81239748	9.0	6.0	1.0
1.0	0.77777779	1.0	0.8	0.03781253	0.50211263	0.55	3.0	1.0	1.0	4.0	170.31577945	88.0	7.0	1.0
0.81609195	0.66666669	0.90224359	0.55	0.45869569	0.72942567	0.31622777	2.0	2.0	1.0	4.0	187.73217916	12.0	8.0	1.0
0.90804595	0.77777779	0.96474359	0.85	0.33013261	0.54782665	0.63245553	4.0	0.0	2.0	3.0	206.31183958	27.0	9.0	1.0
0.98837209	0.69999999	1.0	0.88	0.16590718	0.48812562	0.40824829	4.0	1.0	2.0	3.0	224.02410865	49.0	0.0	2.0
0.88372093	0.60000002	0.96710526	0.88	0.33530518	0.60805357	0.33333333	1.0	4.0	0.0	5.0	241.58509517	25.0	1.0	2.0
0.87209302	0.80000001	0.94901316	0.8	0.38908609	0.55831236	0.65465367	3.0	2.0	0.0	5.0	259.35938692	20.0	2.0	2.0
0.86046511	0.69999999	0.91543917	0.70833333	0.44964924	0.63317358	0.40824829	3.0	1.0	2.0	4.0	275.7851243	13.0	3.0	2.0
0.81395346	0.5	0.93344244	0.58333333	0.40812003	0.66137093	0.0	2.0	2.0	3.0	3.0	292.69109321	18.0	4.0	2.0
0.79069769	0.69999999	0.90780142	0.54166667	0.5366843	0.701199	0.40824829	3.0	1.0	2.0	4.0	310.37129974	8.0	5.0	2.0
0.81609195	0.77777779	0.9017094	0.6	0.46942383	0.67566442	0.5976143	2.0	2.0	0.0	5.0	327.64560843	15.0	6.0	2.0
0.78160918	0.22222222	0.88568376	0.1	0.57781651	0.85608369	-0.55	1.0	3.0	4.0	1.0	346.55601311	6.0	7.0	2.0
0.81609195	0.55555558	0.91826923	0.55	0.43413224	0.67132342	0.05976143	1.0	3.0	1.0	4.0	362.94478869	16.0	8.0	2.0
0.86206895	0.77777779	0.93482906	0.8	0.40451023	0.55124474	0.5976143	2.0	2.0	0.0	5.0	381.46122122	20.0	9.0	2.0
0.90697676	0.69999999	0.97203947	0.8	0.32428079	0.51209986	0.40824829	3.0	2.0	1.0	4.0	400.06269383	24.0	0.0	3.0
0.8488372	0.5	0.90131579	0.6	0.48710946	0.72130477	0.0	1.0	4.0	1.0	4.0	417.75497174	11.0	1.0	3.0
0.76744187	0.40000001	0.87445175	0.2	0.58753119	0.83246422	-0.2	2.0	3.0	3.0	2.0	435.46730399	6.0	2.0	3.0
1.0	0.80000001	1.0	0.91666667	0.04084549	0.38910031	0.66666667	4.0	0.0	2.0	4.0	462.26365161	81.0	3.0	3.0
0.77906978	0.5	0.87015821	0.5	0.55632239	0.7283141	0.0	2.0	2.0	3.0	3.0	479.9353869	8.0	4.0	3.0
0.88372093	0.69999999	0.95471904	0.83333333	0.35335165	0.56725693	0.53452248	4.0	0.0	3.0	3.0	500.35297036	23.0	5.0	3.0
1.0	1.0	1.0	1.0	0.00044316	0.08942389	1.0	4.0	0.0	0.0	5.0	550.67538023	500.0	6.0	3.0
0.87356323	0.66666669	0.94123932	0.7	0.37893761	0.61028188	0.35	3.0	1.0	2.0	3.0	571.3509953	21.0	7.0	3.0
0.81609195	0.66666669	0.91613248	0.6	0.42680518	0.6841504	0.31622777	2.0	2.0	1.0	4.0	589.66849256	16.0	8.0	3.0
0.82758623	0.66666669	0.91720085	0.6	0.4944932	0.7060917	0.31622777	2.0	2.0	1.0	4.0	609.64814138	10.0	9.0	3.0
0.79069769	0.60000002	0.89638158	0.56	0.52332546	0.70505017	0.21821789	2.0	3.0	1.0	4.0	630.934376	10.0	0.0	4.0
0.86046511	0.60000002	0.92214912	0.72	0.4369445	0.62527287	0.21821789	2.0	3.0	1.0	4.0	648.72803569	16.0	1.0	4.0
0.76744187	0.60000002	0.88157895	0.68	0.52016002	0.71243286	0.21821789	4.0	1.0	3.0	2.0	665.44275093	12.0	2.0	4.0
0.86046511	0.5	0.96235679	0.75	0.36686615	0.53975141	-0.08908708	1.0	3.0	2.0	4.0	684.91108441	24.0	3.0	4.0
0.79069769	0.40000001	0.87288598	0.41666667	0.54670454	0.75407469	-0.16666667	2.0	2.0	4.0	2.0	703.69649935	8.0	4.0	4.0
1.0	0.80000001	1.0	0.875	0.08550747	0.45230046	0.58333333	3.0	1.0	1.0	5.0	729.0555141	63.0	5.0	4.0
0.85057473	0.77777779	0.93002137	0.65	0.40984383	0.62151647	0.55	3.0	1.0	1.0	4.0	749.22269201	18.0	6.0	4.0
0.82758623	0.77777779	0.93162393	0.6	0.44265908	0.61836642	0.5976143	2.0	2.0	0.0	5.0	770.11381841	20.0	7.0	4.0
0.80459768	0.77777779	0.90384615	0.65	0.49788339	0.70486236	0.55	3.0	1.0	1.0	4.0	790.32758737	11.0	8.0	4.0
