train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
0.92307693	0.79166669	0.98575657	0.86805556	0.21109045	0.42854536	0.60246408	11.0	1.0	4.0	8.0	90.35437083	19.0	0.0	1.0
1.0	0.875	1.0	0.96527778	0.05348062	0.21380064	0.75261781	11.0	1.0	2.0	10.0	123.80556297	38.0	1.0	1.0
0.88995218	0.69565219	0.96509071	0.78787879	0.2918975	0.672708	0.39393939	8.0	4.0	3.0	8.0	152.60676551	10.0	2.0	1.0
1.0	0.9130435	1.0	0.97727273	0.01027358	0.18524665	0.82575758	11.0	1.0	1.0	10.0	189.41077781	70.0	3.0	1.0
0.9665072	0.78260869	0.9966111	0.90909091	0.15068539	0.38395239	0.56818182	9.0	2.0	3.0	9.0	221.90382314	26.0	4.0	1.0
1.0	0.95652175	1.0	0.99242424	0.04581418	0.14506406	0.91605722	10.0	1.0	0.0	12.0	256.07773256	41.0	5.0	1.0
0.90909094	0.9130435	0.98452097	0.90151515	0.23022146	0.42513884	0.82575758	10.0	1.0	1.0	11.0	302.02469993	18.0	6.0	1.0
0.9952153	0.82608694	0.99990841	0.96212121	0.08517338	0.32371825	0.65151515	9.0	2.0	2.0	10.0	334.78659511	35.0	7.0	1.0
0.9665072	0.78260869	0.9978018	0.92424242	0.13780312	0.36217681	0.56818182	9.0	2.0	3.0	9.0	367.70652437	26.0	8.0	1.0
1.0	0.82608694	1.0	0.90909091	0.0591859	0.38228268	0.66414149	10.0	1.0	3.0	9.0	402.33855605	41.0	9.0	1.0
1.0	0.875	1.0	0.96527778	0.01730685	0.23527064	0.75261781	11.0	1.0	2.0	10.0	439.24391389	63.0	0.0	2.0
0.89903843	0.79166669	0.96466889	0.84027778	0.27101711	0.50851683	0.60246408	11.0	1.0	4.0	8.0	470.60924149	12.0	1.0	2.0
1.0	0.9130435	1.0	0.97727273	0.03663948	0.21045266	0.82575758	11.0	1.0	1.0	10.0	507.73249078	51.0	2.0	2.0
0.89952153	0.78260869	0.97416163	0.9469697	0.25871629	0.36693499	0.56818182	9.0	3.0	2.0	9.0	538.44841146	16.0	3.0	2.0
0.9952153	0.86956519	1.0	0.92424242	0.06534688	0.30555066	0.74047959	9.0	2.0	1.0	11.0	572.42211914	39.0	4.0	2.0
0.9665072	0.86956519	0.99926727	0.91666667	0.13324399	0.44913352	0.74242424	10.0	1.0	2.0	10.0	606.76053381	29.0	5.0	2.0
0.9952153	0.86956519	0.99981682	0.9469697	0.08358389	0.31513162	0.74047959	9.0	2.0	1.0	11.0	640.78014326	36.0	6.0	2.0
1.0	0.95652175	1.0	0.97727273	0.00943327	0.17272611	0.91666667	11.0	0.0	1.0	11.0	680.8936379	79.0	7.0	2.0
0.9952153	0.9130435	1.0	0.98484848	0.08094012	0.29221692	0.83743579	9.0	2.0	0.0	12.0	716.05404091	39.0	8.0	2.0
0.97607654	0.86956519	0.99899249	0.91666667	0.10967384	0.50585729	0.74242424	10.0	1.0	2.0	10.0	750.0973537	33.0	9.0	2.0
0.88942307	0.91666669	0.96966334	0.90277778	0.25332392	0.39815796	0.84515425	10.0	2.0	0.0	12.0	783.35150433	13.0	0.0	3.0
1.0	0.91666669	1.0	0.98611111	0.01014669	0.16707995	0.84515425	10.0	2.0	0.0	12.0	826.2459681	74.0	1.0	3.0
0.98086125	0.73913044	0.99935862	0.86363636	0.10623051	0.51279804	0.48856385	8.0	4.0	2.0	9.0	862.89272165	35.0	2.0	3.0
0.9952153	0.86956519	0.99981675	0.96212121	0.08766169	0.27394282	0.74047959	11.0	1.0	2.0	9.0	901.02870083	34.0	3.0	3.0
0.97607654	0.78260869	0.99899249	0.90151515	0.12110545	0.40900163	0.56818182	9.0	2.0	3.0	9.0	937.3286016	31.0	4.0	3.0
0.97129184	0.86956519	0.99835135	0.98484848	0.11668322	0.27897678	0.76277007	8.0	3.0	0.0	12.0	972.90159154	33.0	5.0	3.0
0.84688997	0.73913044	0.95887525	0.84090909	0.33982944	0.48552377	0.48856385	9.0	2.0	4.0	8.0	1007.69808125	12.0	6.0	3.0
0.92344499	0.78260869	0.98571167	0.83333333	0.22453582	0.48342704	0.58930667	10.0	1.0	4.0	8.0	1041.66478968	19.0	7.0	3.0
0.90909094	0.86956519	0.97490383	0.93939394	0.24806456	0.28143657	0.74242424	10.0	1.0	2.0	10.0	1077.36551404	20.0	8.0	3.0
1.0	0.95652175	1.0	0.97727273	0.05592952	0.20319554	0.91605722	10.0	1.0	0.0	12.0	1115.43887615	40.0	9.0	3.0
0.90865386	0.79166669	0.97058824	0.88194444	0.25068909	0.42471789	0.58536941	10.0	2.0	3.0	9.0	1152.97209239	14.0	0.0	4.0
0.98557693	0.875	0.99898261	0.95833333	0.10333949	0.2674883	0.75261781	11.0	1.0	2.0	10.0	1190.17499614	31.0	1.0	4.0
0.94736844	0.82608694	0.99010445	0.90909091	0.19620318	0.38047105	0.65151515	10.0	2.0	2.0	9.0	1226.00910139	22.0	2.0	4.0
0.85167462	0.82608694	0.9578523	0.87878788	0.34678476	0.53142014	0.66414149	9.0	3.0	1.0	10.0	1261.81904364	13.0	3.0	4.0
1.0	0.95652175	1.0	1.0	0.00066391	0.10929859	0.91666667	11.0	0.0	1.0	11.0	1326.40572	213.0	4.0	4.0
0.98564595	0.86956519	1.0	0.95454545	0.08507476	0.28906	0.74242424	10.0	1.0	2.0	10.0	1363.9556601	36.0	5.0	4.0
0.97607654	0.78260869	0.99871771	0.87121212	0.11721629	0.53115569	0.56490196	8.0	3.0	2.0	10.0	1403.1420486	30.0	6.0	4.0
0.89473683	0.82608694	0.97215607	0.95454545	0.25220348	0.29184697	0.66414149	10.0	1.0	3.0	9.0	1437.55008006	14.0	7.0	4.0
0.98086125	0.82608694	0.99899249	0.87121212	0.11764008	0.51400941	0.65151515	9.0	2.0	2.0	10.0	1476.07202268	33.0	8.0	4.0
0.9952153	0.82608694	1.0	0.92424242	0.07790004	0.34064184	0.65909298	8.0	3.0	1.0	11.0	1514.96636057	38.0	9.0	4.0
0.98076922	0.83333331	0.99852016	0.95833333	0.10885049	0.32058899	0.6761234	11.0	1.0	3.0	9.0	1555.5289979	32.0	0.0	5.0
0.88942307	0.83333331	0.96466889	0.90277778	0.27549938	0.46236865	0.6761234	11.0	1.0	3.0	9.0	1594.33770537	11.0	1.0	5.0
1.0	0.95652175	1.0	0.93939394	0.03632914	0.2029969	0.91605722	12.0	0.0	1.0	10.0	1637.31197238	50.0	2.0	5.0
0.90430623	0.86956519	0.98103353	0.96969697	0.24606509	0.2795148	0.74242424	10.0	2.0	1.0	10.0	1674.47500086	19.0	3.0	5.0
1.0	0.86956519	1.0	0.95454545	0.00297451	0.2658724	0.74047959	9.0	2.0	1.0	11.0	1727.03405547	127.0	4.0	5.0
