train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
0.96296299	0.84615386	0.97889088	0.875	0.2334196	0.42007998	0.675	7.0	1.0	1.0	4.0	52.23693895	10.0	0.0	1.0
1.0	0.91666669	1.0	0.84375	0.05733094	0.32181492	0.81649658	8.0	0.0	1.0	3.0	75.00131607	26.0	1.0	1.0
1.0	0.91666669	1.0	1.0	0.00842119	0.30725467	0.83666003	7.0	1.0	0.0	4.0	100.24750876	60.0	2.0	1.0
0.97247708	0.66666669	0.98555321	0.68571429	0.18039073	0.84016079	0.31428571	5.0	2.0	2.0	3.0	134.08579421	13.0	3.0	1.0
0.97247708	0.83333331	0.9918957	0.8	0.17056062	0.55617768	0.68313005	7.0	0.0	2.0	3.0	155.2642312	14.0	4.0	1.0
1.0	1.0	1.0	1.0	6.37e-05	0.01597615	1.0	7.0	0.0	0.0	5.0	209.22048712	500.0	5.0	1.0
0.98165137	0.5	0.98801973	0.62857143	0.17116051	0.65811986	-0.02857143	4.0	3.0	3.0	2.0	231.7712059	14.0	6.0	1.0
1.0	0.66666669	1.0	0.85714286	0.02027733	0.47076479	0.37142857	4.0	3.0	1.0	4.0	254.9073205	34.0	7.0	1.0
1.0	1.0	1.0	1.0	5.095e-05	0.02757809	1.0	7.0	0.0	0.0	5.0	307.79963684	500.0	8.0	1.0
0.96330273	0.83333331	0.98308668	0.91428571	0.19987027	0.42212844	0.65714286	6.0	1.0	1.0	4.0	328.74856973	13.0	9.0	1.0
1.0	0.84615386	1.0	1.0	0.01105213	0.17353933	0.69282032	8.0	0.0	2.0	3.0	355.6518352	61.0	0.0	2.0
0.99082571	0.91666669	1.0	0.84375	0.05738761	0.60325855	0.81649658	8.0	0.0	1.0	3.0	379.28768802	23.0	1.0	2.0
0.97247708	0.75	0.98146853	0.875	0.19234666	0.4438065	0.40824829	7.0	1.0	2.0	2.0	402.09090233	15.0	2.0	2.0
1.0	0.66666669	1.0	0.82857143	0.03043402	0.48432264	0.31428571	5.0	2.0	2.0	3.0	427.62643242	32.0	3.0	2.0
1.0	0.75	1.0	0.8	0.0657345	0.53726351	0.47809144	6.0	1.0	2.0	3.0	455.36591291	24.0	4.0	2.0
1.0	0.83333331	1.0	0.94285714	0.03120586	0.27390626	0.68313005	7.0	0.0	2.0	3.0	476.82148147	34.0	5.0	2.0
1.0	0.75	1.0	0.94285714	0.03410603	0.40955743	0.50709255	5.0	2.0	1.0	4.0	505.03977609	36.0	6.0	2.0
0.94495416	0.66666669	0.96441156	0.88571429	0.26666056	0.43157375	0.37142857	4.0	3.0	1.0	4.0	527.49848676	10.0	7.0	2.0
0.98165137	0.75	0.9982382	0.8	0.14900673	0.54366964	0.50709255	5.0	2.0	1.0	4.0	552.65614176	18.0	8.0	2.0
0.99082571	0.5	0.98907681	0.4	0.14412714	1.44071054	-0.02857143	4.0	3.0	3.0	2.0	579.73927593	13.0	9.0	2.0
1.0	0.92307693	1.0	0.925	0.02078623	0.29699129	0.84327404	8.0	0.0	1.0	4.0	606.09207559	42.0	0.0	3.0
0.96330273	0.83333331	0.98601399	0.75	0.23170232	0.6371569	0.63245553	8.0	0.0	2.0	2.0	629.29090762	12.0	1.0	3.0
0.99082571	0.66666669	0.99230769	0.65625	0.15862752	0.8571406	0.15811388	7.0	1.0	3.0	1.0	654.47840333	14.0	2.0	3.0
1.0	0.75	1.0	0.88571429	0.03554794	0.39342019	0.47809144	6.0	1.0	2.0	3.0	684.97842646	34.0	3.0	3.0
0.95412844	0.41666666	0.98731501	0.42857143	0.21007091	0.90909362	-0.11952286	2.0	5.0	2.0	3.0	709.67801142	13.0	4.0	3.0
0.95412844	0.75	0.96476392	0.94285714	0.26034386	0.38028726	0.47809144	6.0	1.0	2.0	3.0	733.83016253	11.0	5.0	3.0
0.98165137	0.75	1.0	0.82857143	0.08689717	0.55436772	0.47809144	6.0	1.0	2.0	3.0	759.06696129	23.0	6.0	3.0
1.0	0.91666669	1.0	1.0	0.00843994	0.2424529	0.84515425	6.0	1.0	0.0	5.0	785.07403851	66.0	7.0	3.0
