train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
0.97979796	0.72727275	0.98855835	0.77777778	0.13351303	0.44788691	0.24056261	7.0	2.0	1.0	1.0	38.64023662	12.0	0.0	1.0
0.969697	0.81818181	0.99885584	0.94444444	0.07829081	0.28865138	0.0	9.0	0.0	2.0	0.0	55.59986615	22.0	1.0	1.0
0.97979796	0.90909094	0.99485126	0.88888889	0.10964876	0.22615805	0.76980036	8.0	1.0	0.0	2.0	71.90012789	17.0	2.0	1.0
0.98989898	0.90909094	1.0	1.0	0.07501419	0.12823927	0.67082039	9.0	0.0	1.0	1.0	90.12387323	21.0	3.0	1.0
0.92929292	0.81818181	0.96967963	0.66666667	0.2173902	0.46907663	0.38888889	8.0	1.0	1.0	1.0	107.55348277	12.0	4.0	1.0
1.0	0.90909094	1.0	1.0	0.01692043	0.11613087	0.76980036	8.0	0.0	1.0	2.0	126.7601676	49.0	5.0	1.0
1.0	0.72727275	1.0	0.875	0.04521882	0.36844653	0.24056261	7.0	1.0	2.0	1.0	144.2697618	30.0	6.0	1.0
1.0	0.90909094	1.0	0.95833333	0.01476953	0.1988339	0.76980036	8.0	0.0	1.0	2.0	163.35291648	48.0	7.0	1.0
0.93939394	0.72727275	0.97461629	0.58333333	0.18754603	0.70442957	0.38575837	6.0	2.0	1.0	2.0	179.12250113	9.0	8.0	1.0
1.0	0.81818181	1.0	1.0	0.03847778	0.2194386	0.51639778	8.0	0.0	2.0	1.0	197.13938379	30.0	9.0	1.0
0.97979796	0.90909094	0.99885584	0.94444444	0.0853799	0.2185073	0.67082039	9.0	0.0	1.0	1.0	217.99210668	21.0	0.0	2.0
0.98989898	0.72727275	1.0	0.88888889	0.08131428	0.33589116	-0.1490712	8.0	1.0	2.0	0.0	236.08654499	29.0	1.0	2.0
1.0	0.81818181	1.0	0.88888889	0.03702267	0.30582681	0.38888889	8.0	1.0	1.0	1.0	255.92570639	40.0	2.0	2.0
1.0	0.90909094	1.0	1.0	0.03414572	0.16347796	0.67082039	9.0	0.0	1.0	1.0	276.29901075	37.0	3.0	2.0
