train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
0.7709251	0.69230771	0.86709184	0.5751634	0.51769642	0.6885162	0.24331548	2.0	7.0	1.0	16.0	103.19639063	6.0	0.0	1.0
0.75330395	0.57692307	0.8577381	0.55555556	0.52753627	0.68547964	-0.21004201	0.0	9.0	2.0	15.0	131.84800839	6.0	1.0	1.0
0.91189426	0.65384614	0.99047619	0.64705882	0.36504653	0.62799931	0.13789005	2.0	7.0	2.0	15.0	166.86851287	13.0	2.0	1.0
0.84649122	0.63999999	0.94389855	0.55147059	0.45927192	0.63018289	-0.14002801	0.0	8.0	1.0	16.0	201.87260318	9.0	3.0	1.0
0.96052629	0.63999999	0.99873311	0.83333333	0.26783367	0.5545034	0.08600781	1.0	8.0	1.0	15.0	234.86460447	14.0	4.0	1.0
0.82017541	0.60000002	0.93521959	0.44444444	0.47004494	0.78453384	-0.15309311	0.0	9.0	1.0	15.0	270.80535173	8.0	5.0	1.0
0.81578946	0.47999999	0.9183277	0.51388889	0.48560741	0.70092552	-0.32732684	0.0	9.0	4.0	12.0	309.47189021	8.0	6.0	1.0
0.90789473	0.68000001	0.98961149	0.70138889	0.35190917	0.63563098	0.27216553	1.0	8.0	0.0	16.0	357.34634733	13.0	7.0	1.0
0.85087717	0.63999999	0.96182432	0.53472222	0.42125106	0.73162697	0.12729377	2.0	7.0	2.0	14.0	390.1021688	10.0	8.0	1.0
0.94736844	0.60000002	0.99898649	0.59027778	0.27603086	0.70659233	0.04166667	2.0	7.0	3.0	13.0	428.32942677	17.0	9.0	1.0
0.81497794	0.61538464	0.94642857	0.60784314	0.45804281	0.64065186	-0.00973262	1.0	8.0	2.0	15.0	470.66675258	9.0	0.0	2.0
0.907489	0.53846157	0.98341837	0.5620915	0.33558277	0.69708743	-0.149904	1.0	8.0	4.0	13.0	505.1635139	13.0	1.0	2.0
0.907489	0.69230771	0.99311224	0.76470588	0.34433857	0.59287342	0.27487371	1.0	8.0	0.0	17.0	539.18154788	16.0	2.0	2.0
0.91228068	0.63999999	0.99412111	0.63235294	0.31601707	0.61383615	0.01055501	1.0	7.0	2.0	15.0	577.85866952	14.0	3.0	2.0
0.9868421	0.68000001	0.99915541	0.59722222	0.22919133	0.71226836	0.23592536	2.0	7.0	1.0	15.0	617.98767662	20.0	4.0	2.0
0.83333331	0.60000002	0.94738176	0.52777778	0.44637277	0.70724973	-0.15309311	0.0	9.0	1.0	15.0	665.51683903	9.0	5.0	2.0
0.91666669	0.68000001	0.99324324	0.66666667	0.33907042	0.62851824	0.23592536	2.0	7.0	1.0	15.0	709.76931667	15.0	6.0	2.0
0.83771932	0.56	0.95067568	0.63194444	0.44807706	0.64861699	-0.10001653	1.0	8.0	3.0	13.0	747.06466413	10.0	7.0	2.0
0.86403507	0.60000002	0.96782095	0.59722222	0.39955441	0.70559227	-0.15309311	0.0	9.0	1.0	15.0	779.08506608	11.0	8.0	2.0
0.75877196	0.56	0.85912162	0.40277778	0.52187153	0.76407167	-0.22116293	0.0	9.0	2.0	14.0	827.07614827	6.0	9.0	2.0
0.74008811	0.61538464	0.86241497	0.62091503	0.52775409	0.66778572	-0.00973262	1.0	8.0	2.0	15.0	858.86563015	7.0	0.0	3.0
0.85903084	0.65384614	0.93214286	0.60130719	0.46007368	0.66072458	0.13789005	2.0	7.0	2.0	15.0	897.1971128	9.0	1.0	3.0
0.91189426	0.69230771	0.98460884	0.70588235	0.35736836	0.59833808	0.27487371	1.0	8.0	0.0	17.0	931.79905701	14.0	2.0	3.0
0.9780702	0.68000001	0.99924414	0.71323529	0.2310305	0.60634396	0.11378739	1.0	7.0	1.0	16.0	966.32743764	21.0	3.0	3.0
0.75438595	0.63999999	0.87027027	0.49305556	0.51888493	0.73641235	0.08600781	1.0	8.0	1.0	15.0	999.50262833	6.0	4.0	3.0
0.7719298	0.63999999	0.88217905	0.5625	0.51220707	0.66909276	0.0	0.0	9.0	0.0	16.0	1037.2345295	8.0	5.0	3.0
0.99561405	0.75999999	1.0	0.73611111	0.18368721	0.60897864	0.49236596	3.0	6.0	0.0	16.0	1085.38971448	23.0	6.0	3.0
0.84210527	0.63999999	0.93361486	0.59722222	0.46025364	0.68865014	0.08600781	1.0	8.0	1.0	15.0	1127.41795492	10.0	7.0	3.0
0.79824561	0.56	0.93369932	0.5625	0.47046637	0.68068566	-0.22116293	0.0	9.0	2.0	14.0	1159.45960045	8.0	8.0	3.0
0.7149123	0.56	0.84746622	0.65277778	0.53580318	0.65028964	-0.22116293	0.0	9.0	2.0	14.0	1197.50900674	6.0	9.0	3.0
0.8017621	0.61538464	0.88435374	0.39869281	0.50506573	0.78858738	-0.00973262	1.0	8.0	2.0	15.0	1235.94298363	6.0	0.0	4.0
0.876652	0.69230771	0.98435374	0.70588235	0.38663384	0.59982674	0.24331548	2.0	7.0	1.0	16.0	1270.62037706	12.0	1.0	4.0
0.74889868	0.65384614	0.8582483	0.50326797	0.53169296	0.69188803	0.0	0.0	9.0	0.0	17.0	1302.36526561	6.0	2.0	4.0
0.79385966	0.56	0.90602167	0.65441176	0.50465673	0.60342008	-0.04583492	2.0	6.0	5.0	12.0	1346.6919558	8.0	3.0	4.0
0.89473683	0.63999999	0.98572635	0.75	0.36761183	0.56333609	0.12729377	2.0	7.0	2.0	14.0	1396.87689257	12.0	4.0	4.0
0.75	0.60000002	0.85929054	0.40972222	0.52466012	0.74423566	-0.15309311	0.0	9.0	1.0	15.0	1431.1718595	6.0	5.0	4.0
0.75877196	0.56	0.86385135	0.31944444	0.51229912	0.83484612	-0.22116293	0.0	9.0	2.0	14.0	1466.30328536	6.0	6.0	4.0
0.94736844	0.63999999	0.99847973	0.75694444	0.29806051	0.61081035	0.08600781	1.0	8.0	1.0	15.0	1503.31710672	15.0	7.0	4.0
