filename	train_acc	val_acc	train_auc	val_auc	train_los	val_los	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_rainbow/colgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200224_160047c255.0di-1ch3_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	0.963	0.846	0.979	0.875	0.233	0.42	0.675	7.0	1.0	1.0	4.0	52.237	10.0	0	1
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_rainbow/colgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200224_160047c255.0di-1ch3_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	1.0	0.917	1.0	0.844	0.057	0.322	0.816	8.0	0.0	1.0	3.0	75.001	26.0	0	2
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_rainbow/colgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200224_160047c255.0di-1ch3_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	1.0	0.917	1.0	1.0	0.008	0.307	0.837	7.0	1.0	0.0	4.0	100.248	60.0	0	3
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_rainbow/colgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200224_160047c255.0di-1ch3_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	0.972	0.667	0.986	0.686	0.18	0.84	0.314	5.0	2.0	2.0	3.0	134.086	13.0	0	4
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_rainbow/colgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200224_160047c255.0di-1ch3_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	0.972	0.833	0.992	0.8	0.171	0.556	0.683	7.0	0.0	2.0	3.0	155.264	14.0	0	5
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_rainbow/colgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200224_160047c255.0di-1ch3_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	1.0	1.0	1.0	1.0	0.0	0.016	1.0	7.0	0.0	0.0	5.0	209.22	500.0	0	6
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_rainbow/colgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200224_160047c255.0di-1ch3_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	0.982	0.5	0.988	0.629	0.171	0.658	-0.029	4.0	3.0	3.0	2.0	231.771	14.0	0	7
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_rainbow/colgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200224_160047c255.0di-1ch3_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	1.0	0.667	1.0	0.857	0.02	0.471	0.371	4.0	3.0	1.0	4.0	254.907	34.0	0	8
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_rainbow/colgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200224_160047c255.0di-1ch3_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	1.0	1.0	1.0	1.0	0.0	0.028	1.0	7.0	0.0	0.0	5.0	307.8	500.0	0	9
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_rainbow/colgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200224_160047c255.0di-1ch3_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	0.963	0.833	0.983	0.914	0.2	0.422	0.657	6.0	1.0	1.0	4.0	328.749	13.0	1	0
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_rainbow/colgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200224_160047c255.0di-1ch3_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	1.0	0.846	1.0	1.0	0.011	0.174	0.693	8.0	0.0	2.0	3.0	355.652	61.0	1	1
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_rainbow/colgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200224_160047c255.0di-1ch3_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	0.991	0.917	1.0	0.844	0.057	0.603	0.816	8.0	0.0	1.0	3.0	379.288	23.0	1	2
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_rainbow/colgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200224_160047c255.0di-1ch3_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	0.972	0.75	0.981	0.875	0.192	0.444	0.408	7.0	1.0	2.0	2.0	402.091	15.0	1	3
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_rainbow/colgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200224_160047c255.0di-1ch3_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	1.0	0.667	1.0	0.829	0.03	0.484	0.314	5.0	2.0	2.0	3.0	427.626	32.0	1	4
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_rainbow/colgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200224_160047c255.0di-1ch3_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	1.0	0.75	1.0	0.8	0.066	0.537	0.478	6.0	1.0	2.0	3.0	455.366	24.0	1	5
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_rainbow/colgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200224_160047c255.0di-1ch3_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	1.0	0.833	1.0	0.943	0.031	0.274	0.683	7.0	0.0	2.0	3.0	476.821	34.0	1	6
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_rainbow/colgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200224_160047c255.0di-1ch3_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	1.0	0.75	1.0	0.943	0.034	0.41	0.507	5.0	2.0	1.0	4.0	505.04	36.0	1	7
