train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
0.93527508	0.62857145	0.99786325	0.7254902	0.31553197	0.62508434	0.25671802	13.0	5.0	8.0	9.0	124.59005976	28.0	0.0	1.0
0.66990292	0.5714286	0.80404726	0.56862745	0.63661866	0.71597972	0.14098436	11.0	7.0	8.0	9.0	166.85230803	8.0	1.0	1.0
0.90291262	0.5714286	0.99509804	0.64379085	0.36232256	0.69087174	0.14098436	11.0	7.0	8.0	9.0	213.60906768	26.0	2.0	1.0
0.92556632	0.6857143	0.99530752	0.71568627	0.28439577	0.65319061	0.37254902	12.0	6.0	5.0	12.0	259.77780509	28.0	3.0	1.0
0.94838709	0.67647058	0.99879272	0.69204152	0.28738299	0.68303038	0.35856858	13.0	4.0	7.0	10.0	310.33332682	31.0	4.0	1.0
0.80000001	0.64705884	0.9511261	0.69204152	0.49166084	0.64822802	0.29617444	12.0	5.0	7.0	10.0	358.34829426	17.0	5.0	1.0
0.91612905	0.67647058	0.99121602	0.69204152	0.35568927	0.6527994	0.35856858	13.0	4.0	7.0	10.0	400.40940475	25.0	6.0	1.0
1.0	0.70588237	1.0	0.78200692	0.08015725	0.59557959	0.41176471	12.0	5.0	5.0	12.0	454.10373402	49.0	7.0	1.0
0.72580647	0.61764705	0.90562425	0.64013841	0.54526616	0.65652441	0.23570226	10.0	7.0	6.0	11.0	506.37494874	15.0	8.0	1.0
0.97419357	0.64705884	0.99920903	0.74740484	0.22685701	0.65066706	0.31434731	14.0	3.0	9.0	8.0	551.35989261	32.0	9.0	1.0
0.78317153	0.62857145	0.93510139	0.76470588	0.50310347	0.59479327	0.25671802	13.0	5.0	8.0	9.0	597.59538031	16.0	0.0	2.0
0.66666669	0.45714286	0.80999665	0.51633987	0.63796317	0.71240154	-0.08852507	9.0	9.0	10.0	7.0	639.50424123	9.0	1.0	2.0
0.95469254	0.65714288	0.99832412	0.75490196	0.2528306	0.63882606	0.31774895	14.0	4.0	8.0	9.0	685.42920899	33.0	2.0	2.0
0.64401293	0.42857143	0.81829227	0.43137255	0.64456886	0.75035643	-0.14108102	5.0	13.0	7.0	10.0	728.48088741	8.0	3.0	2.0
0.92903227	0.67647058	0.99766871	0.75432526	0.31078667	0.59123016	0.35856858	13.0	4.0	7.0	10.0	784.10257506	31.0	4.0	2.0
1.0	0.7352941	1.0	0.76470588	0.12690969	0.6005728	0.47809144	14.0	3.0	6.0	11.0	838.05669379	45.0	5.0	2.0
0.9967742	0.64705884	1.0	0.78546713	0.15329871	0.5804329	0.30261377	13.0	4.0	8.0	9.0	889.98089337	42.0	6.0	2.0
0.92258066	0.58823532	0.99729403	0.68858131	0.29012351	0.66936154	0.17647059	10.0	7.0	7.0	10.0	936.11786866	30.0	7.0	2.0
0.70322579	0.58823532	0.87369385	0.59861592	0.55961947	0.69334163	0.17647059	10.0	7.0	7.0	10.0	989.47844887	12.0	8.0	2.0
0.86774194	0.70588237	0.98555431	0.74048443	0.38194281	0.6153983	0.41464421	11.0	6.0	4.0	13.0	1038.53270006	26.0	9.0	2.0
0.60194176	0.54285717	0.78829395	0.54901961	0.6558264	0.71683769	0.09978902	7.0	11.0	5.0	12.0	1083.78756237	8.0	0.0	3.0
0.87378639	0.6857143	0.99007039	0.7254902	0.36418753	0.66054164	0.38195106	15.0	3.0	8.0	9.0	1133.90831542	28.0	1.0	3.0
0.71844661	0.54285717	0.8844059	0.60784314	0.57128251	0.68572	0.08852507	9.0	9.0	7.0	10.0	1179.4399507	13.0	2.0	3.0
0.75080907	0.74285716	0.9262611	0.7745098	0.48373703	0.55985339	0.49009803	15.0	3.0	6.0	11.0	1227.67123318	18.0	3.0	3.0
0.86129034	0.52941179	0.98468007	0.60899654	0.38761125	0.69485391	0.06052275	7.0	10.0	6.0	11.0	1274.22465587	26.0	4.0	3.0
0.9580645	0.55882353	0.99941718	0.62975779	0.27594681	0.70170686	0.11785113	9.0	8.0	7.0	10.0	1321.17553997	35.0	5.0	3.0
0.80322582	0.55882353	0.94908622	0.65397924	0.48964102	0.6674826	0.11785113	9.0	8.0	7.0	10.0	1367.1435895	21.0	6.0	3.0
0.80322582	0.55882353	0.96178344	0.64013841	0.46941908	0.69936274	0.12309149	7.0	10.0	5.0	12.0	1418.91805744	23.0	7.0	3.0
1.0	0.79411763	1.0	0.8200692	0.08660321	0.54392178	0.5976143	15.0	2.0	5.0	12.0	1472.463907	56.0	8.0	3.0
0.9967742	0.70588237	1.0	0.8200692	0.13378175	0.53804106	0.41176471	12.0	5.0	5.0	12.0	1523.07151628	47.0	9.0	3.0
0.92556632	0.65714288	0.99405061	0.77777778	0.31803743	0.57031581	0.32720526	15.0	3.0	9.0	8.0	1574.14435744	28.0	0.0	4.0
0.63106793	0.51428574	0.83551198	0.58169935	0.64421146	0.70255214	0.03300492	8.0	10.0	7.0	10.0	1620.92512751	10.0	1.0	4.0
0.64401293	0.51428574	0.79013742	0.52614379	0.65262628	0.70150385	0.03718339	7.0	11.0	6.0	11.0	1669.83770847	8.0	2.0	4.0
0.58576053	0.40000001	0.79801408	0.43137255	0.64621252	0.85810122	-0.20406349	4.0	14.0	7.0	10.0	1719.5189271	8.0	3.0	4.0
0.9967742	0.7647059	1.0	0.83737024	0.1122625	0.49536218	0.56582515	16.0	1.0	7.0	10.0	1775.47537661	40.0	4.0	4.0
0.81612903	0.58823532	0.97102535	0.68512111	0.45554616	0.63811764	0.17770466	11.0	6.0	8.0	9.0	1820.89160824	22.0	5.0	4.0
0.88064516	0.7352941	0.98905125	0.76124567	0.38221745	0.57564992	0.47809144	14.0	3.0	6.0	11.0	1869.47603106	26.0	6.0	4.0
0.92903227	0.70588237	0.99746056	0.74740484	0.30659019	0.62012132	0.42365927	14.0	3.0	7.0	10.0	1916.83638477	28.0	7.0	4.0
0.84516132	0.61764705	0.97473044	0.6816609	0.42139842	0.6401904	0.23570226	11.0	6.0	7.0	10.0	1967.73229861	24.0	8.0	4.0
0.59032255	0.41176471	0.76737022	0.46712803	0.66060422	0.72723353	-0.31108551	0.0	17.0	3.0	14.0	2011.44813013	8.0	9.0	4.0
0.88996762	0.65714288	0.9913692	0.76143791	0.34250849	0.61172467	0.31372549	12.0	6.0	6.0	11.0	2061.20953488	30.0	0.0	5.0
0.64401293	0.62857145	0.82357131	0.59803922	0.62308008	0.69044792	0.25573908	12.0	6.0	7.0	10.0	2108.88796759	10.0	1.0	5.0
0.56634307	0.5714286	0.7861991	0.51960784	0.66322666	0.7020864	0.20008168	5.0	13.0	2.0	15.0	2157.93603969	8.0	2.0	5.0
0.82847899	0.60000002	0.96644042	0.70261438	0.4295617	0.61744089	0.19802951	12.0	6.0	8.0	9.0	2209.78385282	24.0	3.0	5.0
0.90967745	0.67647058	0.99229841	0.69204152	0.35926093	0.6657344	0.36927447	14.0	3.0	8.0	9.0	2266.47900796	30.0	4.0	5.0
0.85483873	0.61764705	0.97743641	0.68512111	0.41186786	0.64979132	0.23570226	11.0	6.0	7.0	10.0	2320.13466334	26.0	5.0	5.0
0.9612903	0.7352941	0.99962533	0.7716263	0.23697834	0.57495163	0.47809144	14.0	3.0	6.0	11.0	2382.92919159	36.0	6.0	5.0
0.82903224	0.7352941	0.97993422	0.77508651	0.41837737	0.5687303	0.47809144	14.0	3.0	6.0	11.0	2435.49289417	25.0	7.0	5.0
0.9967742	0.67647058	1.0	0.78200692	0.18485628	0.606879	0.36927447	14.0	3.0	8.0	9.0	2488.48992825	40.0	8.0	5.0
0.61290324	0.38235295	0.74301653	0.35294118	0.66760522	0.73004503	-0.24618298	4.0	13.0	8.0	9.0	2534.22519016	8.0	9.0	5.0
0.91585761	0.6857143	0.99597788	0.76797386	0.29662205	0.5617113	0.37049379	13.0	5.0	6.0	11.0	2588.59605956	30.0	0.0	6.0
0.97087377	0.5714286	0.99962293	0.69934641	0.25426638	0.66759972	0.14002801	12.0	6.0	9.0	8.0	2687.62234712	34.0	1.0	6.0
0.62135923	0.45714286	0.79139434	0.40522876	0.65643699	0.76992456	-0.0825123	7.0	11.0	8.0	9.0	2737.50412917	8.0	2.0	6.0
0.815534	0.5714286	0.96447126	0.59803922	0.44601206	0.71650553	0.14002801	12.0	6.0	9.0	8.0	2789.91307282	22.0	3.0	6.0
0.7903226	0.67647058	0.95541401	0.6366782	0.50355915	0.69880956	0.35355339	11.0	6.0	5.0	12.0	2841.22474051	20.0	4.0	6.0
1.0	0.7647059	1.0	0.84429066	0.07116608	0.52557585	0.53311399	14.0	3.0	5.0	12.0	2911.65704012	49.0	5.0	6.0
0.93870968	0.55882353	0.99704425	0.69896194	0.294655	0.65156892	0.12309149	12.0	5.0	10.0	7.0	2970.02528381	35.0	6.0	6.0
0.77096772	0.61764705	0.93809583	0.65743945	0.49959482	0.64405082	0.23570226	10.0	7.0	6.0	11.0	3017.94418359	19.0	7.0	6.0
0.783871	0.52941179	0.94596395	0.60553633	0.49329389	0.69414807	0.05882353	9.0	8.0	8.0	9.0	3073.87115574	20.0	8.0	6.0
0.9645161	0.7352941	0.9990425	0.816609	0.24642503	0.53790071	0.47809144	11.0	6.0	3.0	14.0	3141.16348958	33.0	9.0	6.0
0.64077669	0.54285717	0.79952237	0.53921569	0.65096253	0.70787609	0.08852507	9.0	9.0	7.0	10.0	3193.49426365	9.0	0.0	7.0
0.75080907	0.60000002	0.9407575	0.68300654	0.52752054	0.64087056	0.19802951	12.0	6.0	8.0	9.0	3245.91933775	21.0	1.0	7.0
0.88996762	0.71428573	0.9927937	0.73856209	0.34785592	0.61418193	0.43605973	15.0	3.0	7.0	10.0	3299.86170483	27.0	2.0	7.0
