train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
0.87209302	0.60000002	0.96107456	0.6	0.35619673	0.64554685	0.21821789	2.0	3.0	1.0	4.0	33.42037678	14.0	0.0	1.0
1.0	0.60000002	1.0	0.64	0.13194569	0.81768006	0.21821789	2.0	3.0	1.0	4.0	56.40981627	28.0	1.0	1.0
1.0	0.69999999	1.0	0.88	0.06406497	0.43393779	0.40824829	3.0	2.0	1.0	4.0	72.12836003	40.0	2.0	1.0
0.77906978	0.5	0.87997818	0.41666667	0.49000568	0.78588182	-0.08908708	1.0	3.0	2.0	4.0	90.39647937	8.0	3.0	1.0
0.89534885	0.69999999	0.96672122	0.83333333	0.32627029	0.50775307	0.35634832	2.0	2.0	1.0	5.0	106.52365065	16.0	4.0	1.0
1.0	0.69999999	1.0	0.83333333	0.10402792	0.47774729	0.40824829	3.0	1.0	2.0	4.0	121.79123211	31.0	5.0	1.0
0.78160918	0.55555558	0.8840812	0.55	0.501817	0.78520936	0.1	2.0	2.0	2.0	3.0	138.60290384	6.0	6.0	1.0
0.90804595	0.77777779	0.98290598	0.75	0.27667674	0.60684025	0.55	3.0	1.0	1.0	4.0	156.70102644	19.0	7.0	1.0
0.83908045	0.55555558	0.91292735	0.55	0.42036313	0.74237818	0.1	2.0	2.0	2.0	3.0	173.12200999	9.0	8.0	1.0
0.91954023	0.77777779	0.97275641	0.9	0.31375773	0.57847595	0.63245553	4.0	0.0	2.0	3.0	190.45443773	16.0	9.0	1.0
0.93023258	0.80000001	0.98739035	0.72	0.28601188	0.63272619	0.65465367	5.0	0.0	2.0	3.0	207.05602646	20.0	0.0	2.0
0.93023258	0.80000001	0.98355263	0.8	0.30220422	0.59674156	0.65465367	3.0	2.0	0.0	5.0	224.58421803	19.0	1.0	2.0
0.89534885	0.69999999	0.96984649	0.8	0.35741381	0.56956536	0.40824829	3.0	2.0	1.0	4.0	242.34950399	15.0	2.0	2.0
0.94186044	0.60000002	0.99563557	0.75	0.21732749	0.61814439	0.25	3.0	1.0	3.0	3.0	259.57072735	23.0	3.0	2.0
0.80232561	0.5	0.9198036	0.54166667	0.41889565	0.71415108	-0.08908708	1.0	3.0	2.0	4.0	275.77883911	11.0	4.0	2.0
0.86046511	0.69999999	0.94162575	0.5	0.39911106	0.80573618	0.40824829	3.0	1.0	2.0	4.0	292.45700002	11.0	5.0	2.0
0.79310346	0.77777779	0.89957265	0.55	0.47286687	0.71314502	0.5976143	2.0	2.0	0.0	5.0	309.52540731	9.0	6.0	2.0
0.82758623	0.22222222	0.88888889	0.1	0.50551936	0.96747524	-0.55	1.0	3.0	4.0	1.0	327.95650053	6.0	7.0	2.0
0.83908045	0.66666669	0.95032051	0.7	0.37913508	0.63320643	0.31622777	2.0	2.0	1.0	4.0	343.86996388	14.0	8.0	2.0
0.85057473	0.8888889	0.9417735	0.8	0.3790361	0.54005176	0.79056942	3.0	1.0	0.0	5.0	364.03502512	14.0	9.0	2.0
1.0	0.80000001	1.0	0.92	0.09872058	0.43202195	0.65465367	3.0	2.0	0.0	5.0	382.83418798	37.0	0.0	3.0
0.82558137	0.60000002	0.89528509	0.6	0.45116282	0.76969117	0.33333333	1.0	4.0	0.0	5.0	401.33424544	10.0	1.0	3.0
0.76744187	0.30000001	0.87774123	0.24	0.5177178	1.01167786	-0.40824829	1.0	4.0	3.0	2.0	417.19570112	6.0	2.0	3.0
0.89534885	0.80000001	0.96399345	0.83333333	0.3579335	0.48424315	0.66666667	4.0	0.0	2.0	4.0	439.91280556	16.0	3.0	3.0
0.79069769	0.5	0.87288598	0.58333333	0.49927101	0.79246777	0.0	2.0	2.0	3.0	3.0	457.50400496	8.0	4.0	3.0
0.93023258	0.89999998	0.98363339	0.83333333	0.27390324	0.51761305	0.81649658	4.0	0.0	1.0	5.0	475.48969436	21.0	5.0	3.0
1.0	0.8888889	1.0	1.0	0.00126644	0.18640648	0.79056942	3.0	1.0	0.0	5.0	512.5195868	260.0	6.0	3.0
0.87356323	0.66666669	0.95619658	0.7	0.35508648	0.58470744	0.35	3.0	1.0	2.0	3.0	534.6484859	16.0	7.0	3.0
0.82758623	0.55555558	0.92254274	0.55	0.41415862	0.66356951	0.05976143	1.0	3.0	1.0	4.0	552.3012526	11.0	8.0	3.0
0.82758623	0.66666669	0.91613248	0.5	0.49695669	0.71626449	0.31622777	2.0	2.0	1.0	4.0	571.87611914	6.0	9.0	3.0
0.77906978	0.60000002	0.91885965	0.64	0.4419645	0.70391089	0.21821789	2.0	3.0	1.0	4.0	593.76364994	10.0	0.0	4.0
0.82558137	0.60000002	0.92763158	0.72	0.41792379	0.66559112	0.21821789	2.0	3.0	1.0	4.0	613.03734803	11.0	1.0	4.0
0.79069769	0.60000002	0.89035088	0.64	0.49504604	0.72193778	0.21821789	4.0	1.0	3.0	2.0	630.29264545	8.0	2.0	4.0
1.0	0.69999999	1.0	0.83333333	0.09515353	0.43570524	0.40824829	3.0	1.0	2.0	4.0	652.83554006	38.0	3.0	4.0
0.76744187	0.60000002	0.88379705	0.33333333	0.4911992	0.84977186	0.40824829	4.0	0.0	4.0	2.0	673.44527793	7.0	4.0	4.0
1.0	0.89999998	1.0	0.91666667	0.00022758	0.2461503	0.80178373	3.0	1.0	0.0	6.0	731.17084956	500.0	5.0	4.0
0.88505745	0.77777779	0.93429487	0.7	0.39178685	0.61705834	0.55	3.0	1.0	1.0	4.0	750.41611409	12.0	6.0	4.0
